k,x,y,vx,vy
433,5.222911,3.210693,0.554223,0.640293
434,5.369646,3.192639,0.619979,0.625334
435,5.382046,3.205146,0.619979,0.625334
436,5.526558,3.346283,0.684046,0.687712
437,5.590614,3.383140,0.708479,0.698918
438,5.771564,3.455323,0.789381,0.727151
439,5.758742,3.450544,0.775500,0.717777
440,5.798854,3.456049,0.787439,0.713482
441,5.901782,3.456783,0.829751,0.706913
442,6.596680,3.110531,1.159039,0.531958
443,6.711512,3.164288,1.203542,0.552895
444,4.977516,3.975236,0.349665,0.941395
445,4.984509,3.994064,0.349665,0.941395
446,4.500722,4.749978,0.111220,1.299507
447,4.563118,4.735018,0.140456,1.279610
448,4.612375,4.771762,0.163027,1.285029
449,4.691383,4.737187,0.199840,1.255735
450,4.780281,4.683717,0.241108,1.217538
451,4.414121,6.285331,0.060757,1.984315
452,4.524649,6.277838,0.113908,1.961376
453,4.592753,6.337773,0.145921,1.971446
454,4.595672,6.377201,0.145921,1.971446
455,4.637207,6.366805,0.164705,1.947209
456,5.286826,7.907765,0.479102,2.677847
457,5.350511,7.910353,0.505421,2.653052
458,5.500948,7.955087,0.573691,2.649001
459,4.013943,8.957708,-0.155380,3.111040
460,4.027582,8.907755,-0.147231,3.056457
461,5.360774,9.049654,0.503004,3.095764
462,5.488048,9.032671,0.560055,3.057363
463,6.361284,7.399453,0.979692,2.232548
464,7.144377,6.503316,1.351426,1.774495
465,7.204761,6.437050,1.367670,1.724943
466,6.435136,6.945288,0.979485,1.955687
467,6.521342,6.888928,1.011939,1.909175
468,7.629488,5.266705,1.542059,1.100085
469,7.696259,5.262099,1.559571,1.087116
470,7.727451,5.283841,1.559571,1.087116
471,6.638894,5.881784,1.013643,1.368040
472,6.792707,5.871256,1.078754,1.349566
473,6.924496,5.819315,1.132497,1.311077
474,6.947146,5.845536,1.132497,1.311077
475,6.995554,7.041505,1.145057,1.881478
476,7.114382,6.963958,1.191831,1.825318
477,7.130820,6.944386,1.188223,1.797976
478,7.261706,6.914419,1.240452,1.765833
479,7.281810,6.920637,1.238158,1.751645
480,7.358046,6.947935,1.263255,1.747874
481,7.383311,6.982892,1.263255,1.747874
482,7.453843,6.934978,1.285323,1.707472
483,7.459744,6.898288,1.275669,1.672942
484,6.140127,6.749836,0.620044,1.584277
485,6.152528,6.781521,0.620044,1.584277
486,6.193259,6.749199,0.633847,1.553089
487,6.357727,6.779860,0.707789,1.552894
488,6.403481,6.765823,0.723178,1.530932
489,4.713458,8.135673,-0.106817,2.183067
490,4.711322,8.179335,-0.106817,2.183067
491,4.837836,8.093914,-0.044200,2.120241
492,6.167895,8.357282,0.603403,2.227755
493,6.334583,8.328740,0.678618,2.192197
494,6.467355,8.311133,0.736589,2.162312
495,6.537742,8.322821,0.763651,2.146967
496,6.631785,8.183517,0.801945,2.058368
497,5.576541,9.526175,0.281206,2.691009
498,5.656586,9.488004,0.317377,2.646298
499,5.764221,9.412184,0.366602,2.583729
500,5.862178,9.369454,0.410642,2.537851
501,5.297471,8.902050,0.132235,2.286053
502,5.399152,8.812419,0.180360,2.220280
503,5.560642,8.762098,0.257082,2.174248
504,5.565784,8.805583,0.257082,2.174248
505,5.702606,8.814981,0.321064,2.157686
506,5.709027,8.858135,0.321064,2.157686
507,5.842217,8.877082,0.382632,2.145930
508,5.936661,8.802074,0.424773,2.088671
509,6.041138,8.698504,0.471365,2.018118
510,6.201971,8.673124,0.544847,1.986211
511,6.354801,8.658987,0.613719,1.960075
512,6.446572,8.657687,0.652289,1.940425
513,6.518444,8.677064,0.680826,1.930998
514,6.661774,8.630326,0.743746,1.889594
515,6.717831,8.621751,0.763721,1.867104
516,6.825326,8.587846,0.808451,1.832547
517,6.936144,8.518888,0.854358,1.781324
518,7.063733,8.561963,0.907954,1.784937
519,7.196277,8.488729,0.963437,1.732099
520,7.309178,8.526664,1.008855,1.733697
521,7.365130,8.494628,1.026210,1.701335
522,7.361942,8.477478,1.014706,1.676505
523,7.429304,8.488097,1.037544,1.665389
524,7.510652,8.456892,1.066952,1.634081
525,7.522289,8.506215,1.062242,1.642158
526,7.585747,8.460390,1.082735,1.603968
527,7.649401,8.355278,1.103128,1.537355
528,7.642300,8.322467,1.088965,1.506488
529,7.686662,8.352774,1.099934,1.506574
530,7.718045,8.346323,1.104494,1.488800
531,7.851264,8.196247,1.158502,1.401392
532,7.847283,8.211685,1.145304,1.395272
533,8.008011,8.144618,1.212320,1.349091
534,7.986689,7.997507,1.190156,1.264412
535,7.416465,6.384721,0.901137,0.467420
536,8.239305,7.005270,1.292835,0.764886
537,8.322101,6.996477,1.320556,0.753158
538,8.417469,6.916601,1.354138,0.706922
539,8.444551,6.930740,1.354138,0.706922
540,8.471634,6.944878,1.354138,0.706922
541,8.600966,6.918968,1.403954,0.687411
542,8.629045,6.932716,1.403954,0.687411
543,8.696429,6.868175,1.423098,0.649277
544,7.129461,7.010385,0.646147,0.712208
545,7.246470,6.988213,0.696827,0.694476
546,7.374498,7.004171,0.752372,0.695484
547,7.454711,6.924353,0.784093,0.649859
548,7.547859,6.930559,0.821799,0.646553
549,7.564295,6.943490,0.821799,0.646553
550,7.648260,8.201976,0.854659,1.252634
551,7.665354,8.227029,0.854659,1.252634
552,7.712333,8.232403,0.869192,1.243064
553,6.272067,7.973580,0.160588,1.105158
554,6.371042,8.010387,0.207127,1.112303
555,7.718943,8.793992,0.859970,1.482197
556,7.787955,8.779742,0.885136,1.460877
557,7.914211,8.750362,0.937850,1.432422
558,8.008312,8.748829,0.974430,1.417768
559,8.974347,9.702186,1.433918,1.866798
560,9.047660,9.609793,1.455583,1.803831
561,9.163243,9.515452,1.497549,1.740536
562,9.241087,9.459704,1.520791,1.696589
563,9.307541,9.419805,1.538280,1.660761
564,9.330860,9.331343,1.534666,1.601717
565,9.459788,9.289245,1.582335,1.565744
566,9.512344,9.294874,1.592482,1.553279
567,9.571310,9.281773,1.605641,1.531845
568,7.854695,8.178856,0.756939,0.981703
569,7.974212,8.189568,0.807601,0.977372
570,8.142211,6.780801,0.881311,0.284036
571,8.204462,6.789524,0.902975,0.285513
572,8.256952,6.787192,0.919693,0.281608
573,8.275346,6.792824,0.919693,0.281608
574,8.389738,6.743172,0.966313,0.254761
575,8.433888,6.753096,0.978367,0.257106
