k,zx,zy,valid
0,-1.109931,0.259267,1
1,-3.940484,1.148096,1
2,3.308515,0.067878,1
3,-0.851594,-0.029168,1
4,-0.848219,-3.538937,1
5,1.348293,0.557736,1
6,3.053295,4.350003,1
7,-1.586415,-0.142047,1
8,-0.068304,0.798119,1
9,-0.808187,2.733912,1
10,0.784024,0.854603,1
11,3.486125,-0.117810,1
12,2.191196,-4.442922,1
13,3.307585,1.194283,1
14,-2.527810,2.933391,1
15,1.503433,-1.774844,1
16,1.038034,0.397796,1
17,1.672220,0.554833,1
18,2.014350,-1.375310,1
19,1.921474,1.725599,1
20,-2.632423,0.913975,1
21,1.751402,3.105159,1
22,2.471704,3.624197,1
23,2.305154,-3.328362,1
24,-2.082987,0.741554,1
25,-1.162552,-0.214098,1
26,0.515944,-1.981342,1
27,0.999922,0.645748,1
28,1.279740,-3.157975,1
29,-3.066474,1.296423,1
30,0.769157,2.611464,1
31,6.842193,0.749475,1
32,-0.125484,-0.553260,1
33,1.507341,5.238968,1
34,0.875858,-1.003766,1
35,3.136266,1.761645,1
36,-2.025666,-1.745650,1
37,0.579683,0.298358,1
38,4.718869,-2.198507,1
39,5.017183,-1.947732,1
40,3.090233,2.797988,1
41,4.060472,-0.631696,1
42,-1.004461,1.509274,1
43,-0.382470,-0.672412,1
44,6.086756,2.653610,1
45,-0.612539,-0.315008,1
46,-0.684094,-1.686287,1
47,4.477100,2.553422,1
48,-1.519574,-2.817676,1
49,-2.272340,0.067695,1
50,4.268458,-0.648126,1
51,1.307567,-1.245574,1
52,4.321239,3.758959,1
53,1.411837,-0.565270,1
54,4.344936,-1.264722,1
55,-0.381751,1.717551,1
56,-2.089134,0.483567,1
57,-0.122378,-2.228919,1
58,2.286656,0.906025,1
59,-1.381854,-1.218982,1
60,1.945308,-0.507599,1
61,1.485280,1.034345,1
62,1.053583,-1.315147,1
63,4.785774,3.024452,1
64,4.829281,-2.869312,1
65,1.392333,1.532911,1
66,2.740828,-3.544213,1
