k,yx,yy,Sx,Sy,NIS,q,r
0,-1.119114,-2.615964,29.004000,29.004000,0.279123,1.000000,4.000000
1,27.786990,59.637332,7.453455,7.453455,580.768018,1.000000,4.000000
2,-10.741195,-24.162139,5.862227,5.862227,119.269053,1.000000,4.000000
3,-9.359063,-17.557693,5.283440,5.283440,74.925555,1.000000,4.000000
4,-20.511536,-22.692018,4.988342,4.988342,187.567502,1.000000,4.000000
5,0.000000,0.000000,4.813035,4.813035,0.000000,1.000000,4.000000
6,48.169994,4.140319,4.841460,4.841460,482.806940,1.000000,4.000000
7,-8.523133,-5.800830,4.725867,4.725867,22.491836,1.000000,4.000000
8,-6.969502,-8.659067,4.647466,4.647466,26.585110,1.000000,4.000000
9,-9.952245,-9.595451,4.592813,4.592813,41.612813,1.000000,4.000000
10,-2.705302,-3.973662,4.554218,4.554218,5.074121,1.000000,4.000000
11,-9.124899,-7.900671,4.526901,4.526901,32.181930,1.000000,4.000000
12,-3.894663,-3.812406,4.507681,4.507681,6.589383,1.000000,4.000000
13,-39.133123,-16.760215,4.494324,4.494324,403.243288,1.000000,4.000000
14,0.281163,-2.558643,4.485195,4.485195,1.477239,1.000000,4.000000
15,-1.983706,-0.812236,4.479058,4.479058,1.025845,1.000000,4.000000
16,0.000000,0.000000,4.474968,4.474968,0.000000,1.000000,4.000000
17,-48.525830,36.352759,4.528067,4.528067,811.887150,1.000000,4.000000
18,5.898917,-4.048101,4.518820,4.518820,11.326925,1.000000,4.000000
19,4.930873,-2.230617,4.510696,4.510696,6.493269,1.000000,4.000000
20,3.337664,1.804178,4.503302,4.503302,3.196556,1.000000,4.000000
21,10.416146,-0.022555,4.496355,4.496355,24.129900,1.000000,4.000000
22,8.119389,-4.441178,4.489654,4.489654,19.076869,1.000000,4.000000
23,0.000000,0.000000,4.483059,4.483059,0.000000,1.000000,4.000000
24,5.880552,-0.163778,4.533924,4.533924,7.633061,1.000000,4.000000
25,9.350571,-4.000825,4.519587,4.519587,22.886998,1.000000,4.000000
26,4.742147,0.800109,4.506206,4.506206,5.132508,1.000000,4.000000
27,7.619715,-0.254358,4.493632,4.493632,12.934915,1.000000,4.000000
28,5.240168,2.690264,4.481750,4.481750,7.741814,1.000000,4.000000
29,1.594079,-2.789274,4.470469,4.470469,2.308737,1.000000,4.000000
30,3.073525,1.373429,4.459719,4.459719,2.541160,1.000000,4.000000
31,4.563967,-1.548241,4.449442,4.449442,5.220169,1.000000,4.000000
32,-56.906756,62.373819,4.439592,4.439592,1605.749250,1.000000,4.000000
33,11.421807,-7.572023,4.430133,4.430133,42.389972,1.000000,4.000000
34,8.446993,-9.059776,4.421033,4.421033,34.704835,1.000000,4.000000
35,5.652288,-5.200096,4.412267,4.412267,13.369400,1.000000,4.000000
36,8.369545,-3.205921,4.403813,4.403813,18.240378,1.000000,4.000000
37,9.413177,-5.865290,4.395652,4.395652,27.984366,1.000000,4.000000
38,5.004738,-2.566221,4.387769,4.387769,7.209334,1.000000,4.000000
39,8.805794,-6.426470,4.380148,4.380148,27.131853,1.000000,4.000000
40,6.756616,-0.943549,4.372778,4.372778,10.643613,1.000000,4.000000
41,6.510690,0.606400,4.365646,4.365646,9.793925,1.000000,4.000000
42,1.317267,1.436137,4.358742,4.358742,0.871279,1.000000,4.000000
43,-26.614474,-67.340647,4.352056,4.352056,1204.739246,1.000000,4.000000
44,8.602122,2.818486,4.345580,4.345580,18.856027,1.000000,4.000000
