k,zx,zy,valid
0,0.000000,0.000000,0
1,0.000000,0.000000,0
2,-3.216827,0.046908,1
3,2.075689,1.345073,1
4,2.424039,-0.680243,1
5,-6.153266,-53.446979,1
6,-1.548535,0.369119,1
7,-0.102140,1.466082,1
8,4.184223,0.021887,1
9,56.982691,-51.057737,1
10,-0.411532,0.578815,1
11,0.000000,0.000000,0
12,-1.604436,-0.207085,1
13,-0.177781,-1.670823,1
14,-1.150480,0.470185,1
15,-2.507967,-0.758947,1
16,0.000000,0.000000,0
17,54.587936,70.149545,1
18,-36.588763,-67.469379,1
19,0.964012,-2.705364,1
20,11.631032,42.437566,1
21,1.034904,1.027155,1
22,-56.849344,-28.925135,1
23,1.279060,1.051236,1
24,0.277902,1.470773,1
25,19.377211,-40.752351,1
26,-0.965336,3.528277,1
27,-0.886143,0.950159,1
28,-1.398049,-1.216397,1
29,-2.148987,-2.155334,1
30,28.659220,-57.688194,1
31,-1.498315,0.499135,1
32,2.864308,2.050692,1
33,-26.127157,25.569887,1
34,-0.334588,1.237605,1
35,-16.507969,-52.096530,1
36,0.350876,-0.623950,1
37,-1.790899,0.804375,1
38,-1.289914,-2.243878,1
39,2.384753,2.083855,1
40,1.648287,-1.751346,1
41,-0.395487,-0.590811,1
42,1.282738,2.497530,1
43,-2.937112,1.123557,1
44,40.595080,-24.852299,1
45,1.444833,-1.681649,1
46,1.879079,2.317563,1
47,3.303614,-4.700574,1
48,-0.758406,3.696689,1
49,-1.752832,-2.539316,1
50,-0.155922,-1.816172,1
51,1.546769,0.429893,1
52,3.291941,-0.409757,1
53,2.547970,-1.965125,1
54,2.213700,-0.797000,1
55,0.515589,0.958507,1
56,-0.020981,-0.407265,1
57,-0.146486,3.308478,1
58,42.141806,67.074453,1
59,1.202452,4.037636,1
60,0.000000,0.000000,0
61,-3.335606,-28.575096,1
62,0.311487,1.191181,1
63,52.861157,5.829546,1
64,2.128376,1.204593,1
65,1.466010,-2.294065,1
66,4.634823,3.862799,1
67,57.881366,-42.466136,1
68,-0.971935,4.046506,1
69,0.958124,4.825712,1
70,1.758064,-0.477482,1
71,1.554238,0.031579,1
72,25.310060,0.289020,1
73,4.143556,1.805704,1
74,0.000000,0.000000,0
75,23.629067,13.784793,1
76,-0.128736,1.252444,1
77,-0.574389,-0.994204,1
78,1.684778,-1.689258,1
79,72.832928,7.644025,1
80,3.358733,-0.561712,1
81,0.543744,1.525680,1
82,0.697055,2.243368,1
83,0.122980,0.170473,1
84,0.000000,0.000000,0
85,-26.540253,7.583461,1
86,1.851830,-2.427444,1
87,3.019674,-1.857134,1
88,0.000000,0.000000,0
89,1.059531,-2.738893,1
90,-37.361450,44.833092,1
91,4.266263,-0.979123,1
92,1.048205,2.048046,1
93,0.000000,0.000000,0
94,-2.726055,1.278685,1
95,0.000000,0.000000,0
96,-0.083037,1.421210,1
97,1.427301,0.682951,1
98,-20.372935,-63.169834,1
99,-2.214468,8.417374,1
100,2.322501,-2.124153,1
101,0.858747,3.278134,1
102,-0.627180,2.523292,1
103,-0.159199,3.099071,1
104,-4.105898,-24.385267,1
105,-1.233619,3.663879,1
106,3.046001,1.096087,1
107,-36.427467,-66.531928,1
108,1.261247,2.101697,1
109,4.180740,0.159317,1
110,0.000000,0.000000,0
111,1.801184,-0.100189,1
112,0.000000,0.000000,0
113,1.767790,1.701024,1
114,4.082592,3.454539,1
115,2.934991,1.429636,1
116,0.805306,-2.058720,1
