k,yx,yy,Sx,Sy,NIS,q,r
0,-2.114599,-3.417180,29.004000,29.004000,0.556773,1.000000,4.000000
1,7.816479,4.464930,7.453455,7.453455,10.871862,1.000000,4.000000
2,0.932530,-4.264381,5.862227,5.862227,3.250395,1.000000,4.000000
3,-8.510324,-4.812722,5.283440,5.283440,18.091984,1.000000,4.000000
4,-2.881764,6.696976,4.988342,4.988342,10.655656,1.000000,4.000000
5,13.949459,3.834883,4.813035,4.813035,43.484776,1.000000,4.000000
6,3.828115,-0.911599,4.699955,4.699955,3.294815,1.000000,4.000000
7,-1.178525,-2.345119,4.623583,4.623583,1.489863,1.000000,4.000000
8,4.619402,2.250799,4.570779,4.570779,5.776907,1.000000,4.000000
9,2.725642,3.691301,4.534005,4.534005,4.643758,1.000000,4.000000
10,-4.556909,2.044036,4.508548,4.508548,5.532490,1.000000,4.000000
11,-9.855664,6.701526,4.491253,4.491253,31.626936,1.000000,4.000000
12,3.818485,11.251005,4.479879,4.479879,31.511105,1.000000,4.000000
13,-8.723540,-3.331442,4.472769,4.472769,19.495451,1.000000,4.000000
14,-8.794964,-8.568980,4.468656,4.468656,33.741424,1.000000,4.000000
15,-7.072706,6.924738,4.466553,4.466553,21.935294,1.000000,4.000000
16,2.073262,-6.334217,4.465694,4.465694,9.947104,1.000000,4.000000
17,4.740690,9.585981,4.465482,4.465482,25.610935,1.000000,4.000000
18,-7.159181,-6.922767,4.465466,4.465466,22.210125,1.000000,4.000000
19,13.535075,-3.003347,4.465314,4.465314,43.046991,1.000000,4.000000
20,-6.524616,2.089972,4.464793,4.464793,10.513048,1.000000,4.000000
21,3.543098,0.843072,4.463751,4.463751,2.971561,1.000000,4.000000
22,4.270684,-6.011739,4.462101,4.462101,12.187027,1.000000,4.000000
23,-3.770865,-7.146812,4.459808,4.459808,14.641067,1.000000,4.000000
24,-0.787782,13.722523,4.456873,4.456873,42.390314,1.000000,4.000000
25,5.994504,2.252715,4.453326,4.453326,9.208581,1.000000,4.000000
26,-3.297375,-2.313016,4.449213,4.449213,3.646201,1.000000,4.000000
27,3.315237,1.372842,4.444595,4.444595,2.896887,1.000000,4.000000
28,9.120079,1.709829,4.439535,4.439535,19.393777,1.000000,4.000000
29,-9.648898,2.880909,4.434099,4.434099,22.868427,1.000000,4.000000
30,4.316822,3.269921,4.428351,4.428351,6.622632,1.000000,4.000000
31,-1.969542,-21.067806,4.422353,4.422353,101.242839,1.000000,4.000000
32,-6.511558,-7.108749,4.416161,4.416161,21.044230,1.000000,4.000000
33,4.211872,5.269016,4.409826,4.409826,10.318410,1.000000,4.000000
34,-3.892730,6.879685,4.403395,4.403395,14.189829,1.000000,4.000000
35,-1.840518,-15.491965,4.396907,4.396907,55.354482,1.000000,4.000000
36,1.010779,0.351120,4.390396,4.390396,0.260787,1.000000,4.000000
37,5.469400,-0.239569,4.383895,4.383895,6.836780,1.000000,4.000000
38,2.987995,0.929805,4.377426,4.377426,2.237080,1.000000,4.000000
39,4.159512,-1.600072,4.371013,4.371013,4.543973,1.000000,4.000000
40,6.575443,9.638354,4.364672,4.364672,31.190046,1.000000,4.000000
41,-2.993275,-2.818796,4.358419,4.358419,3.878770,1.000000,4.000000
42,3.042212,0.521776,4.352265,4.352265,2.189046,1.000000,4.000000
43,-8.114941,-2.389577,4.346218,4.346218,16.465428,1.000000,4.000000
44,4.654816,7.820461,4.340287,4.340287,19.083281,1.000000,4.000000
45,1.133088,3.494152,4.334477,4.334477,3.112944,1.000000,4.000000
46,-8.402077,-4.415334,4.328792,4.328792,20.811830,1.000000,4.000000
47,10.012138,-13.643183,4.323233,4.323233,66.241945,1.000000,4.000000
48,12.896918,9.418629,4.317803,4.317803,59.067324,1.000000,4.000000
49,3.099737,-1.746495,4.312502,4.312502,2.935329,1.000000,4.000000
50,-1.667194,-0.012187,4.307330,4.307330,0.645338,1.000000,4.000000
51,13.769942,-0.480495,4.302286,4.302286,44.125883,1.000000,4.000000
52,-6.177477,-6.039632,4.297369,4.297369,17.368387,1.000000,4.000000
53,0.296947,-3.689938,4.292577,4.292577,3.192445,1.000000,4.000000
54,-9.455743,-0.634816,4.287908,4.287908,20.945893,1.000000,4.000000
55,5.417722,2.829537,4.283359,4.283359,8.721658,1.000000,4.000000
56,1.467417,4.670443,4.278929,4.278929,5.601016,1.000000,4.000000
57,-3.698047,-4.736470,4.274613,4.274613,8.447478,1.000000,4.000000
58,1.961956,8.597697,4.270410,4.270410,18.211287,1.000000,4.000000
59,-5.281093,1.617462,4.266317,4.266317,7.150459,1.000000,4.000000
60,-1.512050,3.568967,4.262330,4.262330,3.524791,1.000000,4.000000
61,-12.829880,0.847887,4.258448,4.258448,38.822766,1.000000,4.000000
62,-4.006304,-8.485524,4.254666,4.254666,20.696005,1.000000,4.000000
63,-6.136920,5.902053,4.250982,4.250982,17.053945,1.000000,4.000000
64,1.938215,-4.990872,4.247393,4.247393,6.748959,1.000000,4.000000
65,-5.585358,0.959251,4.243896,4.243896,7.567666,1.000000,4.000000
66,13.459432,-1.252604,4.240489,4.240489,43.090625,1.000000,4.000000
67,7.741393,-7.846071,4.237169,4.237169,28.672447,1.000000,4.000000
68,5.247465,6.932682,4.233932,4.233932,17.855263,1.000000,4.000000
69,-0.385279,2.982417,4.230777,4.230777,2.137492,1.000000,4.000000
70,-8.834916,2.488811,4.227701,4.227701,19.928071,1.000000,4.000000
71,-0.507262,-9.178157,4.224702,4.224702,20.000440,1.000000,4.000000
72,-2.607639,4.680355,4.221776,4.221776,6.799391,1.000000,4.000000
73,0.864597,6.912204,4.218922,4.218922,11.502010,1.000000,4.000000
74,-5.372335,-4.325055,4.216138,4.216138,11.282384,1.000000,4.000000
75,-2.298966,-5.136978,4.213421,4.213421,7.517356,1.000000,4.000000
76,3.177667,2.661589,4.210770,4.210770,4.080400,1.000000,4.000000
