k,zx,zy,valid
0,-3.809917,-1.361860,1
1,-0.963170,1.615846,1
2,-2.319581,1.226825,1
3,-0.711868,-0.505610,1
4,3.154887,0.847371,1
5,-0.260976,1.341218,1
6,0.351519,0.140117,1
7,2.766380,-1.022338,1
8,-0.828387,-1.672868,1
9,-0.669519,-3.979172,1
10,-2.074122,-0.141179,1
11,-3.744206,-0.036792,1
12,-1.032453,1.821459,1
13,1.945455,-0.573285,1
14,1.937748,-1.107060,1
15,0.986856,-0.771644,1
16,1.682525,-3.930356,1
17,-2.257180,0.789012,1
18,-3.324311,2.141584,1
19,-0.496173,1.436037,1
20,1.412185,0.764509,1
21,-1.511668,0.857468,1
22,-0.699564,1.200798,1
23,-0.139173,0.099664,1
24,-0.553753,-3.188663,1
25,-4.427732,-1.345938,1
26,-0.913241,-1.551611,1
27,0.688185,1.070855,1
28,1.858366,-0.016407,1
29,-0.772464,1.014736,1
30,-1.478700,-0.222529,1
31,1.674453,-0.249881,1
32,-1.724968,-0.817221,1
33,-2.960579,-3.669983,1
34,2.786703,-0.924593,1
35,0.141848,2.002756,1
36,-2.553092,-3.138624,1
37,1.825555,1.021776,1
38,-2.619634,-1.776109,1
39,0.228905,0.512058,1
40,-3.700664,0.687744,1
41,2.714662,2.513824,1
42,-0.268238,-1.775412,1
43,1.411281,1.191755,1
44,3.741590,-3.757008,1
45,-2.744197,-0.912947,1
46,2.959537,3.809353,1
47,3.507907,0.398683,1
48,0.328708,-0.393134,1
49,1.356488,0.373178,1
50,2.268965,1.888247,1
51,2.724945,0.248020,1
52,-1.113204,3.761173,1
53,1.384568,-0.254099,1
54,3.907347,4.138450,1
55,3.678625,-1.956014,1
56,4.091802,2.435917,1
57,1.542761,1.393928,1
58,2.353648,0.020036,1
59,0.771682,-0.124188,1
60,0.144194,-0.867437,1
61,-1.712768,-0.154887,1
62,3.752684,0.232506,1
63,1.896092,2.541263,1
64,0.831030,-4.184338,1
65,4.827609,-3.057453,1
66,-1.583172,0.042262,1
67,0.675424,-1.406610,1
68,1.609899,0.609848,1
69,1.339674,1.140975,1
70,-0.032034,0.683243,1
71,-0.442028,3.041739,1
72,-1.023378,3.071205,1
73,-2.885452,2.340719,1
74,-0.425174,2.109649,1
75,1.601212,-0.618646,1
76,4.399130,0.281173,1
77,-2.334842,2.930363,1
78,-0.122987,0.928794,1
79,2.769663,0.847641,1
80,-2.950415,1.708382,1
81,4.174532,-3.287514,1
82,0.959615,-0.319159,1
83,0.393914,2.306711,1
84,1.114586,-0.439726,1
85,1.374899,2.380905,1
86,1.234413,-2.430181,1
87,1.490223,4.239355,1
88,2.242403,3.226530,1
89,-1.031446,-0.269830,1
90,1.518245,1.815958,1
91,1.091510,0.213338,1
92,1.201428,0.682501,1
93,2.480380,0.901316,1
94,4.448743,0.456879,1
95,2.625871,-2.437559,1
96,6.843628,0.895548,1
97,1.925099,3.193993,1
98,-0.651104,1.753530,1
99,3.848476,2.353630,1
100,4.389822,2.114580,1
101,3.825903,0.790350,1
102,7.511561,-0.370515,1
103,1.644096,1.214757,1
104,1.123265,0.391956,1
105,2.913410,-0.137588,1
106,4.385753,3.181502,1
107,2.371264,2.837959,1
108,-0.847632,0.472657,1
109,6.274246,-0.192545,1
110,-1.133086,-1.338389,1
111,2.049443,-0.074736,1
112,-2.708950,0.553897,1
113,3.785901,3.990688,1
114,2.037732,0.116431,1
115,3.885992,1.628554,1
116,1.966188,2.333592,1
117,2.860934,2.831362,1
118,-1.312444,1.380981,1
119,5.673006,-2.666041,1
120,0.518405,4.021218,1
121,4.291546,3.419988,1
122,1.905933,8.481777,1
123,3.599730,2.209901,1
124,4.200748,0.515330,1
125,3.582036,1.245263,1
126,5.092963,1.033499,1
127,4.942777,0.796882,1
