k,zx,zy,valid
0,-0.149406,0.012500,1
1,1.310666,-0.831484,1
2,75.103502,19.387147,1
3,0.721162,2.901389,1
4,12.853383,73.214945,1
5,-1.806948,2.122086,1
6,1.150460,-1.081031,1
7,8.711204,35.784118,1
8,-0.885801,1.834219,1
9,-60.904000,11.716989,1
10,-0.835281,-0.969205,1
11,54.884093,20.935320,1
12,-1.510305,-2.645452,1
13,-1.408729,3.990560,1
14,-3.562130,2.005656,1
15,-49.412523,1.392874,1
16,0.187914,-0.357765,1
17,-22.077524,-15.309263,1
18,-2.061113,1.858196,1
19,-2.039075,-2.628553,1
20,0.255711,1.700348,1
21,52.307393,-6.600360,1
22,-0.539292,-2.479949,1
23,3.244306,0.624797,1
24,13.588886,33.796198,1
25,-3.536330,1.214588,1
26,-26.719681,-40.595015,1
27,1.772251,4.249204,1
28,3.303320,2.760970,1
29,0.000000,0.000000,0
30,-59.237475,-5.722576,1
31,2.504676,2.024914,1
32,0.967943,0.502553,1
33,0.937609,0.464319,1
34,77.633590,-48.591197,1
35,-1.046794,-5.006263,1
36,-46.522380,15.103665,1
37,-68.942442,34.879123,1
38,-1.493625,1.837057,1
39,3.499197,32.005137,1
40,2.438704,1.578144,1
41,16.416971,5.744776,1
42,-1.446181,0.873945,1
43,3.525211,0.672524,1
44,2.538905,0.664463,1
45,-2.939245,2.751616,1
46,0.000000,0.000000,0
47,-1.064785,-2.077342,1
48,3.036876,-0.001258,1
49,-1.542541,1.907684,1
50,4.028509,2.498771,1
51,2.586731,2.137088,1
52,-0.993335,2.682347,1
53,0.801722,2.158612,1
54,0.000000,0.000000,0
55,-1.138829,4.519206,1
56,2.162963,0.284811,1
57,-12.567073,73.209706,1
58,0.000000,0.000000,0
59,2.987369,1.500003,1
60,6.289574,4.006175,1
61,1.199552,-4.825745,1
62,1.187880,2.807114,1
63,1.155111,0.300176,1
64,-1.478764,-0.666782,1
65,-0.193799,-0.688160,1
66,-42.222157,67.664949,1
67,-0.584317,0.458617,1
68,-0.793708,2.228347,1
69,0.608301,2.058384,1
70,1.380632,2.838498,1
71,-2.385044,-1.385838,1
72,0.382534,-1.048139,1
73,-30.637295,-48.571894,1
74,2.812949,0.101487,1
75,1.465802,4.106284,1
76,1.344807,0.783364,1
77,-0.392369,-4.395704,1
78,5.566179,-1.354462,1
79,-71.743495,-16.188334,1
80,4.179332,-0.569699,1
81,1.758874,1.933766,1
82,0.936026,2.082889,1
83,-1.217670,-2.813373,1
84,3.335859,0.399735,1
85,0.000000,0.000000,0
86,-27.630656,-66.606326,1
87,0.000000,0.000000,0
88,4.466568,5.049771,1
89,1.753450,1.367919,1
90,-42.529266,48.692616,1
91,0.901069,1.107228,1
92,72.291271,-25.128917,1
93,0.863285,-3.191733,1
94,2.829916,2.688962,1
95,20.373462,49.090293,1
96,2.411126,-1.466643,1
97,0.394780,3.827000,1
98,2.762203,-0.014469,1
99,15.536477,-63.709253,1
100,1.096928,2.210458,1
101,0.000000,0.000000,0
102,3.559319,1.381027,1
103,-1.557149,3.733363,1
104,2.346983,0.709264,1
105,-78.648880,-12.737415,1
106,1.424787,2.735175,1
107,2.227556,-0.518530,1
108,2.064602,1.188363,1
109,-0.974580,3.620737,1
110,2.778957,3.679227,1
111,-35.833921,4.151063,1
112,0.000000,0.000000,0
113,2.246663,-0.229112,1
114,0.937933,-0.594299,1
115,5.384543,3.058771,1
116,-21.054842,-37.539563,1
117,0.770080,1.934293,1
118,2.307292,0.499737,1
119,1.553448,-2.801517,1
120,2.945605,20.939574,1
121,1.500958,-0.112548,1
122,0.000000,0.000000,0
123,-68.232081,74.887857,1
124,1.556168,-1.854737,1
125,0.276681,1.238226,1
126,-1.883380,-1.064789,1
127,-16.695212,53.186006,1
128,-77.568727,-16.779390,1
129,4.923723,0.555974,1
130,4.783666,-0.643200,1
131,-1.476689,-1.002935,1
132,4.216888,0.432830,1
133,-0.059030,0.826630,1
134,0.000000,0.000000,0
135,2.352737,-2.005694,1
136,0.415617,0.707280,1
137,0.000000,0.000000,0
138,2.715149,2.171953,1
139,0.585408,1.112421,1
140,0.000000,0.000000,0
141,63.291929,11.558189,1
142,4.571684,1.288879,1
143,63.109471,-60.179770,1
144,4.412974,0.634361,1
145,6.019074,3.849604,1
146,0.000000,0.000000,0
147,0.501665,1.379317,1
148,3.299280,1.059554,1
149,5.532528,3.166906,1
150,-10.291643,57.746202,1
151,1.055504,-14.686245,1
152,-12.849626,38.035949,1
153,4.262765,5.017717,1
154,5.007516,7.435692,1
155,3.932608,2.809961,1
156,2.065571,2.342102,1
157,-0.927342,3.792028,1
158,4.827387,0.856725,1
159,6.360906,0.901149,1
160,4.375899,-1.357907,1
161,2.617959,2.614642,1
162,3.376629,-2.878581,1
163,4.770361,4.568028,1
164,1.600912,-0.359578,1
165,34.282416,53.739379,1
166,-9.257283,52.666654,1
167,8.047873,-1.352744,1
168,-27.918313,8.632374,1
169,2.236788,1.254241,1
170,-36.174156,9.759738,1
171,3.162847,-2.492147,1
172,-0.272054,4.623157,1
173,0.000000,0.000000,0
174,7.175318,2.410014,1
175,3.496028,-0.136618,1
176,4.575908,0.523597,1
177,3.539479,3.343241,1
178,7.133911,0.113790,1
179,-1.536093,-62.053892,1
180,3.887681,5.407660,1
181,6.224468,-0.151496,1
182,3.138769,0.808258,1
183,7.448964,2.062292,1
184,-8.020994,-9.606161,1
185,3.340683,-1.321946,1
186,1.841403,3.522667,1
187,63.146647,-49.495540,1
188,1.257192,3.673237,1
189,-78.475903,-70.069516,1
190,0.000000,0.000000,0
191,4.013766,2.454764,1
192,7.752114,0.973387,1
193,0.000000,0.000000,0
194,3.790025,-1.444266,1
195,1.624151,1.048611,1
196,0.234529,2.844561,1
197,0.000000,0.000000,0
198,3.764079,5.950551,1
199,-66.170645,49.260802,1
200,5.728912,2.159205,1
201,5.137652,2.401080,1
202,2.448317,1.884856,1
203,3.827289,2.071075,1
204,3.356157,3.330111,1
