k,x,y,vx,vy
0,-0.623126,3.459085,-0.004984,0.027669
1,-3.829964,9.097088,-0.216294,0.399152
2,-4.906541,4.598839,-0.401687,-0.379980
3,-3.985577,2.619690,-0.098251,-1.023941
4,-2.126936,2.835450,0.873568,-0.900551
5,-2.830590,3.002423,0.330987,-0.761367
6,-2.574806,2.088809,0.581820,-1.665768
7,-2.122843,1.376789,1.142369,-2.529779
8,-1.794432,-0.004517,1.612505,-4.577193
9,-1.783257,-0.448179,1.574752,-5.207955
10,-1.868786,-0.206366,1.338208,-4.508631
11,-1.391605,-1.092558,2.338831,-6.277028
12,-1.591190,-1.117290,1.750484,-6.036281
13,-1.979883,-1.233545,0.682685,-6.025015
14,-1.325147,-0.859498,2.361631,-4.729833
15,-0.223613,-2.102378,5.194864,-7.815625
16,-0.897362,-2.034404,3.072631,-7.203536
17,-1.661079,-1.598826,0.804909,-5.610553
18,-0.507752,-2.416537,3.930811,-7.549759
19,-0.974223,-3.306745,2.440408,-9.570949
20,-0.195063,-3.447434,4.418234,-9.433572
21,-1.082159,-2.328858,1.810972,-5.939490
22,-0.697752,-1.640367,2.727040,-3.815563
23,-1.091830,-1.061318,1.567695,-2.121946
24,0.125802,-0.508082,4.573998,-0.612370
25,0.533625,-0.365431,5.359191,-0.227897
26,-0.003104,-0.324767,3.795266,-0.118063
27,-0.657904,-0.623229,2.059813,-0.821314
28,-1.175035,-0.846138,0.763707,-1.300643
29,-1.060245,-0.329086,0.989441,-0.068801
30,-1.352373,-0.573122,0.298209,-0.606554
31,-0.741351,-0.648207,1.608115,-0.742845
32,0.090199,-0.683268,3.298834,-0.785577
33,-0.736565,-0.485892,1.454012,-0.345239
34,-0.592763,0.334718,1.685675,1.325802
35,-0.694310,0.143020,1.418714,0.895115
36,-0.746693,0.324672,1.262892,1.211071
37,-1.281472,-0.077352,0.206217,0.406833
38,-1.645436,0.151718,-0.473105,0.814575
39,-1.077558,-0.187537,0.569407,0.172558
40,0.107978,-0.052635,2.644456,0.404870
41,0.733330,0.482231,3.634932,1.316285
42,0.659181,0.235852,3.386108,0.854206
43,0.766816,0.537741,3.452361,1.326960
