k,x,y,vx,vy
0,-6.028777,2.173174,-0.048223,0.017383
1,-2.612610,-0.784905,0.176950,-0.177564
2,0.628400,1.355244,0.736712,0.193083
3,-0.107064,0.683169,0.491677,-0.027696
4,-0.391455,0.600892,0.337999,-0.070381
5,-0.059152,0.065544,0.582941,-0.472123
6,0.637630,1.803697,1.272651,1.287174
7,0.254404,2.210550,0.752392,1.772337
8,0.597160,2.574546,1.256598,2.277839
9,0.811177,1.529141,1.594955,0.323560
10,0.658264,1.674953,1.221388,0.605213
11,1.953232,2.716646,4.043954,2.892493
12,2.049039,2.323217,4.079604,1.814775
13,2.198543,2.014242,4.250753,0.944638
14,2.655188,1.989738,5.224026,0.830984
15,1.116306,1.925494,0.807803,0.613679
16,0.942050,2.094904,0.288160,1.042513
17,0.821917,2.486417,-0.057827,2.061163
18,1.920854,3.489754,2.966002,4.705725
19,1.379115,3.334433,1.322559,4.023707
20,1.490506,3.201349,1.552580,3.445383
21,-0.221209,2.914440,-3.105579,2.494337
22,-0.517077,1.884487,-3.720583,-0.346683
23,-0.366538,1.863817,-3.139253,-0.382180
24,-0.404876,1.870216,-3.077298,-0.346592
25,-0.075286,1.799500,-2.106461,-0.504912
26,-0.110183,1.844416,-2.088897,-0.371293
27,0.448949,1.733227,-0.661713,-0.617735
28,0.854152,1.416958,0.309649,-1.323242
29,1.019420,0.680045,0.670482,-2.934763
30,0.834342,1.448513,0.230618,-1.101706
31,1.085789,1.690795,0.764997,-0.529481
32,1.245616,1.742680,1.070673,-0.397346
33,1.770912,1.810031,2.111932,-0.241745
34,1.434318,1.596187,1.346938,-0.663806
35,1.680733,2.076645,1.780116,0.310670
36,1.431008,2.318080,1.229574,0.764532
37,1.385876,1.965448,1.098021,0.070337
38,1.484608,1.468709,1.239706,-0.849012
39,1.798199,1.927351,1.761191,0.009827
40,2.071506,2.118555,2.181951,0.347391
41,2.303228,1.950195,2.507373,0.044073
42,2.121024,1.748888,2.113669,-0.298522
43,0.776495,1.933965,-0.188314,0.018602
44,1.218367,2.557647,0.536575,1.032499
45,1.061230,1.959788,0.268906,0.046278
46,0.963009,1.843034,0.106928,-0.137717
47,0.153074,1.557123,-1.138471,-0.571966
48,0.007934,1.381035,-1.322606,-0.819717
49,0.423356,1.710548,-0.670030,-0.308869
50,0.364327,0.979258,-0.736187,-1.360207
51,-0.293320,0.970272,-1.651623,-1.334266
52,-0.303257,1.194948,-1.619319,-0.982686
53,-0.146037,1.211106,-1.358727,-0.933468
54,-0.430613,1.224924,-1.706439,-0.889581
55,-1.003605,1.519445,-2.422097,-0.474802
56,-0.491568,1.798272,-1.690080,-0.098237
57,-0.595114,1.292065,-1.779683,-0.746050
58,0.065657,1.052990,-0.899432,-1.029395
59,-0.408316,1.384392,-1.466699,-0.591502
60,-0.868111,1.433869,-1.993863,-0.516422
61,-0.847231,1.835278,-1.920600,-0.019932
62,-0.807859,1.873321,-1.828223,0.025722
63,-0.858549,1.737697,-1.844749,-0.133548
64,-0.838412,1.635934,-1.779006,-0.247775
65,-1.056355,2.207719,-1.986182,0.407440
66,-0.965038,2.008653,-1.839432,0.175385
67,-0.740078,1.880681,-1.550421,0.030211
68,-0.301894,1.344927,-1.039528,-0.553817
69,0.767919,1.082522,0.131813,-0.823753
70,0.590394,1.906476,-0.059085,0.066762
71,0.389015,1.666302,-0.268403,-0.185750
72,0.471078,1.488369,-0.178182,-0.365526
73,0.627076,1.360896,-0.015650,-0.487925
74,0.145435,1.246798,-0.499717,-0.592859
75,0.292899,1.181125,-0.343344,-0.646303
76,-0.047580,1.561999,-0.670567,-0.260045
77,-0.205813,1.330916,-0.810886,-0.478905
78,-0.525973,1.355675,-1.101846,-0.446035
79,-0.034213,1.207714,-0.615816,-0.577561
80,0.397118,1.332864,-0.201043,-0.449757
81,0.215852,1.423999,-0.364844,-0.357221
82,-0.007630,1.057573,-0.562365,-0.685483
83,-0.210492,1.228206,-0.735475,-0.518943
84,-0.135347,1.348708,-0.655195,-0.402007
85,-0.266671,1.364640,-0.759668,-0.380822
86,-0.570774,1.721377,-1.012237,-0.062299
87,-0.771286,1.586374,-1.168159,-0.177991
88,-0.298037,1.574772,-0.743109,-0.184874
89,-0.016587,1.415475,-0.492113,-0.316678
90,0.036041,1.319992,-0.439734,-0.391424
91,-0.270882,1.193302,-0.687188,-0.490083
92,-0.738167,1.142930,-1.059909,-0.523424
93,-0.647547,1.160628,-0.968915,-0.500503
94,-0.422583,0.789927,-0.771994,-0.791193
95,-0.174123,0.818681,-0.561333,-0.755608
96,-0.046610,0.868333,-0.451622,-0.704395
97,-0.208881,1.010622,-0.571677,-0.581881
98,0.157011,0.880163,-0.278760,-0.674122
99,0.145700,0.665197,-0.283172,-0.829125
100,-0.212669,0.535111,-0.552100,-0.915667
101,-0.266199,0.282569,-0.584213,-1.092696
102,-0.035117,0.275329,-0.402318,-1.081746
103,-0.230092,0.441832,-0.541182,-0.941984
104,-0.231417,0.312945,-0.534185,-1.023048
105,-0.472102,0.453715,-0.702205,-0.905265
106,-0.219849,0.505240,-0.509260,-0.854814
107,-0.273175,0.490056,-0.540266,-0.853440
108,-0.136557,0.407141,-0.435154,-0.900388
