k,x,y,vx,vy
0,0.254948,-0.103854,0.002039,-0.000831
1,-0.364807,0.439640,-0.038802,0.034984
2,1.839016,0.280339,0.342375,0.007320
3,1.401319,-0.027683,0.197174,-0.093336
4,1.477278,-0.306321,0.234789,-0.237898
5,1.568423,0.489159,0.299834,0.364209
6,1.770286,0.404371,0.497012,0.271520
7,1.134810,0.299054,-0.324621,0.130536
8,0.770622,0.277295,-0.874967,0.093041
9,0.500695,0.480215,-1.327150,0.453205
10,0.485887,0.486013,-1.303430,0.446603
11,0.024940,0.231199,-2.269535,-0.139323
12,0.055295,0.253292,-2.088641,-0.079907
13,0.014145,0.485263,-2.087073,0.508727
14,0.481976,0.699661,-0.752540,1.043571
15,0.402346,0.587272,-0.926085,0.685459
16,0.637607,0.627963,-0.233499,0.759094
17,0.724337,0.712600,0.017685,0.949971
18,0.367183,0.662784,-0.964997,0.760817
19,0.885788,0.583919,0.505768,0.503577
20,0.749729,1.068650,0.109920,1.788974
21,1.028583,0.882499,0.849378,1.195786
22,0.840860,0.825416,0.310795,0.982682
23,1.005386,1.122525,0.719906,1.699697
24,1.104146,0.980818,0.933700,1.254431
25,1.132099,0.894241,0.956730,0.977266
26,1.316902,1.214753,1.359104,1.708251
27,1.406122,0.949954,1.506447,0.998200
28,1.290503,0.837039,1.168106,0.689733
29,1.571265,0.911059,1.751969,0.826343
30,1.527431,0.707403,1.577180,0.338401
31,1.828931,0.749339,2.161616,0.414538
32,1.826629,0.508221,2.065310,-0.112968
33,1.567454,0.254968,1.444375,-0.631639
34,1.605710,0.422272,1.463292,-0.268283
35,1.806015,0.477142,1.800870,-0.149396
36,1.561813,0.599571,1.260186,0.092595
37,1.417526,0.949008,0.940391,0.748417
38,1.459518,0.858372,0.983180,0.553521
39,1.361732,0.858193,0.771098,0.533208
40,1.084240,0.641072,0.253436,0.130647
41,1.268172,0.652674,0.562907,0.146199
42,1.202863,0.783506,0.433168,0.362930
43,1.399072,0.751812,0.744479,0.298272
44,1.396771,0.610669,0.716517,0.058981
45,1.766010,0.524529,1.282424,-0.080252
46,1.878767,0.513031,1.418620,-0.095718
47,1.703991,0.423374,1.107070,-0.230281
48,1.680684,0.286631,1.038682,-0.429111
49,1.951603,0.372279,1.408106,-0.289949
50,2.026244,0.187130,1.475495,-0.549988
51,1.898854,0.079911,1.252091,-0.686991
52,1.738301,0.022140,0.992498,-0.748577
53,1.762806,-0.102075,0.998897,-0.898719
54,1.588498,-0.102968,0.736444,-0.875645
55,1.642883,-0.156448,0.789111,-0.923413
56,1.540152,-0.147663,0.634327,-0.887818
57,1.430595,-0.236735,0.477277,-0.979440
58,1.438687,-0.167898,0.475440,-0.867664
59,1.395186,-0.017861,0.409493,-0.659422
60,1.343287,0.058630,0.335905,-0.549597
61,1.174676,-0.111238,0.124486,-0.741175
62,1.283878,0.011715,0.251218,-0.577551
63,1.352255,0.126010,0.325335,-0.430324
64,1.460382,0.155567,0.442476,-0.386331
65,1.525321,0.000381,0.506198,-0.553855
66,1.461937,0.245626,0.423878,-0.266806
67,1.580155,0.159575,0.545048,-0.355927
68,1.460614,0.132741,0.403012,-0.377395
69,1.630782,0.052485,0.577121,-0.455486
70,1.450417,0.241124,0.373776,-0.245952
71,1.606611,0.094577,0.529271,-0.394032
72,1.913132,0.090922,0.834647,-0.389672
73,1.971152,0.202411,0.876744,-0.268169
74,1.856798,0.321037,0.744105,-0.143473
75,1.758346,0.391479,0.631552,-0.070667
76,1.716058,0.490656,0.577685,0.027997
77,1.766286,0.423982,0.615157,-0.037148
78,1.708766,0.601340,0.548317,0.133346
79,1.702597,0.844072,0.532107,0.360437
80,1.728470,0.937163,0.546347,0.440730
81,1.730152,0.869003,0.537803,0.369594
82,1.693922,0.847142,0.494874,0.342867
83,1.620787,0.950252,0.419860,0.429824
84,1.515496,1.065109,0.318285,0.524763
85,1.634533,1.121883,0.417854,0.565660
86,1.661588,1.142584,0.434200,0.573866
87,1.572126,1.069202,0.349309,0.500468
88,1.439999,1.148853,0.230242,0.560074
89,1.457412,1.079915,0.241091,0.492190
90,1.396327,1.150568,0.185832,0.543176
91,1.448004,1.185524,0.225641,0.563173
