k,zx,zy,valid
0,-2.751788,-0.227836,1
1,1.469388,0.650109,1
2,-0.114896,-0.086741,1
3,5.440281,2.367389,1
4,0.457914,-1.537142,1
5,-0.427550,-0.691207,1
6,-0.990610,1.631936,1
7,0.066268,-2.007151,1
8,1.444710,0.150610,1
9,-1.509214,1.217070,1
10,0.540390,4.541870,1
11,0.364753,-0.694937,1
12,-0.677944,3.045860,1
13,1.781410,3.387387,1
14,3.284184,1.162451,1
15,-0.131199,-0.752870,1
16,-1.737465,2.858792,1
17,1.625570,-1.148435,1
18,2.550810,2.595586,1
19,-0.654501,1.379040,1
20,0.271121,3.073824,1
21,-0.736720,2.344831,1
22,-1.224484,1.975655,1
23,0.288819,1.319076,1
24,2.948209,-1.662608,1
25,1.167202,0.322659,1
26,0.840865,0.915930,1
27,-0.511014,0.531078,1
28,-0.006116,-1.635653,1
29,0.865350,-0.370253,1
30,-0.959549,0.921150,1
31,1.898989,1.997890,1
32,-1.663042,4.396394,1
33,1.752954,4.142315,1
34,2.169928,0.026440,1
35,-1.610756,0.789475,1
36,-2.082929,-1.071020,1
37,1.850682,-0.221882,1
38,0.481530,-0.618255,1
39,1.147036,-2.277402,1
40,0.154401,-0.889991,1
41,-2.604263,1.588522,1
42,-0.047610,0.895126,1
43,3.495020,0.429855,1
44,0.229267,1.034507,1
45,2.962753,-0.139307,1
46,2.361014,0.497740,1
47,-1.335268,-0.742782,1
48,-1.592831,-1.518339,1
49,2.489655,2.114635,1
50,2.958429,4.405226,1
51,4.500318,0.108032,1
52,0.860127,0.172576,1
53,1.403365,-1.170708,1
54,3.182404,-0.139850,1
55,-1.602372,1.262486,1
56,0.761097,-2.174214,1
57,2.705667,0.997715,1
58,1.027189,0.365279,1
59,1.464208,3.223305,1
60,2.876862,1.958579,1
61,6.595084,0.492797,1
62,0.700531,-0.661457,1
63,-3.470854,-0.561802,1
64,1.810503,2.913220,1
65,5.397414,1.682049,1
66,1.484443,0.538418,1
67,2.171123,3.949809,1
68,3.686881,2.208444,1
69,0.062942,2.358083,1
70,-0.238800,1.162701,1
71,1.460364,-2.174824,1
72,0.709003,-1.720780,1
73,0.657966,-0.492934,1
74,3.095499,1.094049,1
75,-0.380172,5.674466,1
76,3.053989,1.505039,1
77,-3.923457,0.947329,1
78,2.032416,-1.061257,1
79,3.843695,0.809754,1
80,4.445133,1.320461,1
81,1.257724,1.714573,1
82,1.953303,1.827222,1
83,-0.395463,-0.011607,1
84,2.204474,2.522223,1
85,4.468929,-0.807284,1
86,2.111905,-1.453453,1
87,3.758746,2.893756,1
88,-0.146129,1.769964,1
89,3.048419,-0.554257,1
90,3.010174,3.969371,1
91,2.294125,1.791197,1
92,0.226018,2.753217,1
93,1.614005,1.514969,1
94,1.208624,2.066084,1
95,0.788063,0.060910,1
96,2.003562,2.572694,1
97,0.936049,1.726718,1
98,3.300882,-1.035380,1
99,0.143071,-0.090221,1
100,3.179435,1.441630,1
101,3.427171,1.719728,1
102,4.299995,2.660832,1
103,3.897896,3.222095,1
104,3.125683,1.634575,1
105,2.313590,2.986201,1
106,3.340790,4.133245,1
107,1.147949,0.277528,1
108,0.996637,1.703992,1
109,0.328225,0.514173,1
110,1.770395,2.997645,1
111,0.862757,2.873462,1
112,1.830551,0.514461,1
113,0.239892,-0.245211,1
114,-0.319677,1.882444,1
115,0.416867,5.044031,1
116,2.027761,-2.503884,1
117,3.436935,1.687980,1
118,2.743856,0.138244,1
119,3.695036,1.924743,1
120,0.502048,-0.160076,1
121,0.686510,3.498885,1
122,2.965903,-0.589437,1
123,8.122880,0.445897,1
124,1.216768,1.081703,1
125,2.736590,2.054272,1
126,0.852273,4.512466,1
127,2.873716,1.496131,1
128,4.916325,-0.479376,1
129,-1.737843,1.235715,1
130,5.341481,-2.513779,1
131,0.257559,-0.820545,1
132,1.999569,-2.065877,1
133,6.612015,-0.778251,1
134,5.606134,1.212480,1
135,1.251826,0.433279,1
136,2.819661,0.350010,1
137,2.593916,2.286411,1
138,4.868852,-0.105352,1
139,0.074939,1.330986,1
140,3.668323,5.389503,1
141,3.315148,-1.180152,1
142,0.042944,-0.301768,1
