k,yx,yy,Sx,Sy,NIS,q,r
0,0.898845,2.648459,29.004000,29.004000,0.269696,1.000000,4.000000
1,-2.197239,-3.619501,7.453455,7.453455,2.405414,1.000000,4.000000
2,1.669355,-3.452995,5.862227,5.862227,2.509272,1.000000,4.000000
3,-4.291627,2.345886,5.283440,5.283440,4.527589,1.000000,4.000000
4,2.285143,1.807480,4.988342,4.988342,1.701741,1.000000,4.000000
5,5.508170,-1.352336,4.813035,4.813035,6.683673,1.000000,4.000000
6,3.970923,6.448170,4.699955,4.699955,12.201633,1.000000,4.000000
7,-3.448187,0.928045,4.623583,4.623583,2.757874,1.000000,4.000000
8,-4.679236,0.850663,4.570779,4.570779,4.948583,1.000000,4.000000
9,-0.650984,2.790098,4.534005,4.534005,1.810414,1.000000,4.000000
10,-0.289392,-4.914721,4.508548,4.508548,5.376061,1.000000,4.000000
11,1.352833,-0.189318,4.491253,4.491253,0.415474,1.000000,4.000000
12,-0.074635,-4.294753,4.479879,4.479879,4.118520,1.000000,4.000000
13,-1.037129,-0.578977,4.472769,4.472769,0.315431,1.000000,4.000000
14,-1.185959,-0.302033,4.468656,4.468656,0.335162,1.000000,4.000000
15,1.877705,-2.951636,4.466553,4.466553,2.739905,1.000000,4.000000
16,-0.118472,4.352729,4.465694,4.465694,4.245764,1.000000,4.000000
17,-0.908160,0.613201,4.465482,4.465482,0.268900,1.000000,4.000000
18,-0.861048,1.106021,4.465466,4.465466,0.439973,1.000000,4.000000
19,1.677834,0.471215,4.465314,4.465314,0.680170,1.000000,4.000000
20,1.174159,1.478533,4.464793,4.464793,0.798404,1.000000,4.000000
21,4.704737,0.628262,4.463751,4.463751,5.047159,1.000000,4.000000
22,-2.362903,-2.327876,4.462101,4.462101,2.465726,1.000000,4.000000
23,1.039529,0.477204,4.459808,4.459808,0.293364,1.000000,4.000000
24,0.066319,0.424628,4.456873,4.456873,0.041443,1.000000,4.000000
25,0.285798,0.973737,4.453326,4.453326,0.231253,1.000000,4.000000
26,-1.337080,-4.737825,4.449213,4.449213,5.446979,1.000000,4.000000
27,-1.540008,-0.984978,4.444595,4.444595,0.751881,1.000000,4.000000
28,3.648735,0.011942,4.439535,4.439535,2.998830,1.000000,4.000000
29,-1.578104,-4.350769,4.434099,4.434099,4.830656,1.000000,4.000000
30,0.338662,0.062500,4.428351,4.428351,0.026782,1.000000,4.000000
31,-1.018069,-0.732866,4.422353,4.422353,0.355819,1.000000,4.000000
32,-0.577495,-2.477759,4.416161,4.416161,1.465706,1.000000,4.000000
33,3.338655,-0.494592,4.409826,4.409826,2.583150,1.000000,4.000000
34,-2.809875,5.011758,4.403395,4.403395,7.497196,1.000000,4.000000
35,-4.832329,-4.147364,4.396907,4.396907,9.222855,1.000000,4.000000
36,2.791217,-1.893519,4.390396,4.390396,2.591181,1.000000,4.000000
37,-1.998660,1.966454,4.383895,4.383895,1.793287,1.000000,4.000000
38,1.574245,-0.713966,4.377426,4.377426,0.682591,1.000000,4.000000
39,-0.252711,0.786756,4.371013,4.371013,0.156222,1.000000,4.000000
40,3.021100,-0.573508,4.364672,4.364672,2.166476,1.000000,4.000000
41,2.127644,1.838432,4.358419,4.358419,1.814121,1.000000,4.000000
42,2.272175,0.116640,4.352265,4.352265,1.189354,1.000000,4.000000
43,-2.748729,5.410949,4.346218,4.346218,8.474925,1.000000,4.000000
44,2.538200,-1.443947,4.340287,4.340287,1.964718,1.000000,4.000000
45,2.569034,-1.554560,4.334477,4.334477,2.080203,1.000000,4.000000
46,1.925634,0.846956,4.328792,4.328792,1.022318,1.000000,4.000000
47,-0.523537,4.076412,4.323233,4.323233,3.907081,1.000000,4.000000
48,0.109618,2.223585,4.317803,4.317803,1.147886,1.000000,4.000000
49,0.462700,1.166475,4.312502,4.312502,0.365160,1.000000,4.000000
50,0.094088,2.910746,4.307330,4.307330,1.969037,1.000000,4.000000
51,-3.218777,1.240392,4.302286,4.302286,2.765761,1.000000,4.000000
52,-5.491183,-1.387682,4.297369,4.297369,7.464741,1.000000,4.000000
53,-2.656165,-2.079682,4.292577,4.292577,2.651155,1.000000,4.000000
54,2.437891,-0.943489,4.287908,4.287908,1.593664,1.000000,4.000000
55,1.077633,-1.748683,4.283359,4.283359,0.985018,1.000000,4.000000
56,-1.481834,1.038537,4.278929,4.278929,0.765236,1.000000,4.000000
57,-0.897253,3.382940,4.274613,4.274613,2.865603,1.000000,4.000000
58,-1.164428,-4.980554,4.270410,4.270410,6.126299,1.000000,4.000000
59,-4.784370,3.077044,4.266317,4.266317,7.584622,1.000000,4.000000
60,-2.451983,-0.603658,4.262330,4.262330,1.496041,1.000000,4.000000
61,1.041764,2.626117,4.258448,4.258448,1.874336,1.000000,4.000000
62,1.277231,2.001248,4.254666,4.254666,1.324737,1.000000,4.000000
63,3.646735,1.108651,4.250982,4.250982,3.417512,1.000000,4.000000
64,-3.673188,3.296809,4.247393,4.247393,5.735580,1.000000,4.000000
65,-1.046027,2.049712,4.243896,4.243896,1.247791,1.000000,4.000000
66,3.945945,-4.107693,4.240489,4.240489,7.650914,1.000000,4.000000
67,0.661183,1.974566,4.237169,4.237169,1.023342,1.000000,4.000000
68,3.337500,-0.817848,4.233932,4.233932,2.788845,1.000000,4.000000
69,1.730637,-2.010875,4.230777,4.230777,1.663695,1.000000,4.000000
70,-2.043814,-4.449690,4.227701,4.227701,5.671383,1.000000,4.000000
71,-0.008366,1.586851,4.224702,4.224702,0.596058,1.000000,4.000000
72,2.235271,-1.894191,4.221776,4.221776,2.033361,1.000000,4.000000
73,-0.389494,4.985077,4.218922,4.218922,5.926323,1.000000,4.000000
74,-0.517504,-1.502565,4.216138,4.216138,0.599010,1.000000,4.000000
75,-1.453778,3.922066,4.213421,4.213421,4.152463,1.000000,4.000000
76,-2.828221,-2.265797,4.210770,4.210770,3.118829,1.000000,4.000000
77,-0.292706,1.706806,4.208182,4.208182,0.712627,1.000000,4.000000
78,0.609230,0.426642,4.205655,4.205655,0.131534,1.000000,4.000000
79,-1.976213,-3.379310,4.203187,4.203187,3.646079,1.000000,4.000000
80,2.345536,-1.005913,4.200778,4.200778,1.550522,1.000000,4.000000
81,-0.817078,0.660478,4.198424,4.198424,0.262919,1.000000,4.000000
82,3.059735,-1.643641,4.196124,4.196124,2.874924,1.000000,4.000000
83,-3.857538,0.502651,4.193876,4.193876,3.608417,1.000000,4.000000
84,-0.637941,2.684988,4.191680,4.191680,1.816964,1.000000,4.000000
85,-2.929641,0.404634,4.189533,4.189533,2.087708,1.000000,4.000000
86,-2.738155,4.751258,4.187434,4.187434,7.181473,1.000000,4.000000
87,0.633120,-2.142271,4.185382,4.185382,1.192285,1.000000,4.000000
88,2.869205,0.541008,4.183374,4.183374,2.037835,1.000000,4.000000
89,7.017038,-0.032080,4.181411,4.181411,11.775894,1.000000,4.000000
90,1.865187,-0.665363,4.179490,4.179490,0.938304,1.000000,4.000000
91,-1.979323,-2.399318,4.177611,4.177611,2.315784,1.000000,4.000000
92,0.555756,0.809591,4.175772,4.175772,0.230928,1.000000,4.000000
93,3.687474,0.820339,4.173972,4.173972,3.418907,1.000000,4.000000
94,-2.628148,1.730038,4.172210,4.172210,2.372890,1.000000,4.000000
95,-3.582052,-0.404262,4.170485,4.170485,3.115830,1.000000,4.000000
96,-3.932780,3.441383,4.168796,4.168796,6.551022,1.000000,4.000000
97,2.767467,-3.824763,4.167142,4.167142,5.348434,1.000000,4.000000
98,1.437316,3.238415,4.165521,4.165521,3.013599,1.000000,4.000000
99,2.613733,-0.276254,4.163934,4.163934,1.658988,1.000000,4.000000
100,2.330893,2.765500,4.162379,4.162379,3.142687,1.000000,4.000000
101,2.288986,-0.232611,4.160856,4.160856,1.272230,1.000000,4.000000
102,-1.933230,2.269215,4.159363,4.159363,2.136557,1.000000,4.000000
103,-0.092030,-1.257308,4.157899,4.157899,0.382235,1.000000,4.000000
104,-2.265687,6.358247,4.156465,4.156465,10.961392,1.000000,4.000000
105,-0.057472,1.171014,4.155059,4.155059,0.330820,1.000000,4.000000
