k,zx,zy,valid
0,-1.554557,-3.573668,1
1,-0.735833,0.105417,1
2,1.685059,-3.372391,1
3,1.400991,-0.820876,1
4,3.478205,2.598981,1
5,-2.082013,-3.104987,1
6,-3.450889,-0.743961,1
7,-0.371240,1.084290,1
8,1.482623,-1.823221,1
9,-1.416693,-3.506036,1
10,-1.950942,-0.961515,1
11,-3.685549,5.456943,1
12,0.046180,-1.219073,1
13,-0.399650,-2.899911,1
14,0.622276,-0.044588,1
15,2.076626,0.671840,1
16,1.511006,-0.629286,1
17,0.786446,3.960877,1
18,-0.202673,1.942471,1
19,1.350347,-0.901137,1
20,2.337894,-0.122087,1
21,3.389848,0.566533,1
22,1.925826,-0.032591,1
23,5.374210,0.942891,1
24,0.799630,2.426140,1
25,0.337174,1.255322,1
26,1.238084,2.403173,1
27,-0.331973,-0.148241,1
28,-1.265946,0.503374,1
29,-3.117434,-1.965435,1
30,0.513349,1.393017,1
31,0.564149,2.907172,1
32,-2.636306,-0.527318,1
33,1.192483,-0.692793,1
34,3.751140,2.900630,1
35,0.524775,0.020090,1
36,-1.962446,-2.406826,1
37,-1.101403,0.945020,1
38,0.876110,0.621839,1
39,0.054948,0.702698,1
40,-1.056925,0.984586,1
41,-0.602030,1.336558,1
42,-0.262598,0.036420,1
43,-0.248184,-2.297338,1
44,1.387489,2.082064,1
45,0.459909,4.249578,1
46,0.121815,0.576970,1
47,0.541751,3.456520,1
48,0.936300,2.556272,1
49,1.894919,2.244440,1
50,1.016008,-0.138716,1
51,2.357085,0.277296,1
52,1.359891,-0.371832,1
53,4.829766,-1.273912,1
54,-1.187634,-2.244294,1
55,1.644797,-1.514864,1
56,-0.866352,0.895043,1
57,4.024964,0.297271,1
58,-0.453393,-4.020452,1
59,0.752348,-3.117035,1
60,1.388998,-0.406411,1
61,-1.554155,1.091230,1
62,0.381015,-0.403065,1
63,-1.878474,-0.454645,1
64,2.985713,0.001356,1
65,4.173967,0.560833,1
66,0.055486,-2.360550,1
67,-0.118508,0.674728,1
68,2.031705,0.883542,1
69,3.223782,-0.645937,1
70,0.876419,1.234023,1
71,1.552118,-0.964471,1
72,0.451061,-1.863861,1
73,3.211617,1.211010,1
74,-3.373263,1.355020,1
75,2.114866,-1.318920,1
76,1.867896,2.209058,1
77,2.167261,2.139056,1
78,3.303237,5.426837,1
79,2.317363,5.083173,1
80,0.469484,0.138791,1
81,1.922703,2.745141,1
82,1.345266,-0.900414,1
83,1.008832,1.588136,1
84,4.445761,1.125338,1
85,-0.001633,-0.559635,1
86,3.088613,0.911130,1
87,3.602102,3.475189,1
88,3.183133,-1.229740,1
89,2.045814,0.041282,1
90,1.060300,0.455603,1
91,4.487769,3.150004,1
92,0.477633,2.169222,1
93,0.442632,0.310378,1
94,2.080244,-1.355657,1
95,0.716426,0.714478,1
96,-3.251099,0.667136,1
97,-0.309571,1.783336,1
98,1.916198,1.266292,1
99,-2.020135,2.782705,1
100,3.149804,1.334789,1
101,0.931640,2.772487,1
102,0.304193,0.777968,1
