k,zx,zy,valid
0,0.258111,-3.257507,1
1,0.000000,0.000000,0
2,2.005731,2.488334,1
3,0.000000,0.000000,0
4,-1.291612,1.139783,1
5,1.255431,1.627083,1
6,-0.779333,1.980721,1
7,64.172575,-12.425077,1
8,0.000000,0.000000,0
9,3.227882,2.633286,1
10,76.231859,-60.844150,1
11,0.889514,-0.437182,1
12,2.047998,0.147367,1
13,0.000000,0.000000,0
14,0.000000,0.000000,0
15,0.000000,0.000000,0
16,-41.992439,-41.177509,1
17,0.000000,0.000000,0
18,2.181520,2.807338,1
19,-4.083026,1.086991,1
20,-44.466774,8.489048,1
21,37.790084,-79.083730,1
22,-4.343857,-40.489450,1
23,2.227280,1.520845,1
24,0.758463,-0.622610,1
25,-1.700120,3.199570,1
26,1.146542,-1.230526,1
27,57.168604,-61.638069,1
28,-1.779867,1.009062,1
29,-39.774996,-51.424729,1
30,-42.404563,32.749891,1
31,2.823985,-1.837699,1
32,1.869846,0.086982,1
33,0.903509,-1.786132,1
34,3.038401,0.302305,1
35,2.700135,1.011122,1
36,-73.508429,-35.984139,1
37,4.421839,-2.678804,1
38,2.500684,0.101064,1
39,-0.341481,-1.687364,1
40,0.000000,0.000000,0
41,-0.951990,-2.163477,1
42,1.145454,-0.715588,1
43,1.614265,3.979673,1
44,0.000000,0.000000,0
45,-1.433911,2.238349,1
46,0.000000,0.000000,0
47,-1.518114,0.764708,1
48,0.787057,0.329340,1
49,-3.742017,-1.615850,1
50,-1.858220,3.089124,1
51,-0.658516,1.087092,1
52,-3.165216,2.108179,1
53,5.050618,1.186437,1
54,0.207856,-3.847764,1
55,0.000000,0.000000,0
56,1.953337,-0.953571,1
57,5.145457,-2.837620,1
58,63.318654,-13.993476,1
59,3.341507,-0.814594,1
60,-2.208054,0.473397,1
61,-1.787282,2.516836,1
62,0.543775,4.451368,1
63,2.042763,1.965914,1
64,3.720605,-0.185288,1
65,1.732121,-2.310658,1
66,4.192604,-0.250461,1
67,-1.640777,0.665281,1
68,-61.443086,-79.977601,1
69,-33.563901,-58.122129,1
70,-52.766466,-47.875208,1
71,3.403504,-0.744508,1
72,72.692991,-14.475740,1
73,2.031339,-0.717891,1
74,40.026210,7.606620,1
75,-21.618249,67.148483,1
76,0.256535,-0.133727,1
77,1.245953,0.444952,1
78,4.056312,-1.546074,1
79,23.794725,77.402177,1
80,1.530805,-0.227128,1
81,2.177405,3.098951,1
82,16.262205,1.527909,1
