k,yx,yy,Sx,Sy,NIS,q,r
0,0.258111,-3.257507,29.004000,29.004000,0.368155,1.000000,4.000000
1,0.000000,0.000000,7.453455,7.453455,0.000000,1.000000,4.000000
2,1.783145,5.297490,7.466557,7.466557,4.184392,1.000000,4.000000
3,0.000000,0.000000,5.870264,5.870264,0.000000,1.000000,4.000000
4,-2.346227,1.478197,5.891397,5.891397,1.305267,1.000000,4.000000
5,0.956982,1.482161,5.305197,5.305197,0.586711,1.000000,4.000000
6,-1.312550,1.458894,5.006862,5.006862,0.769176,1.000000,4.000000
7,63.907479,-13.256432,4.829621,4.829621,882.035835,1.000000,4.000000
8,0.000000,0.000000,4.715096,4.715096,0.000000,1.000000,4.000000
9,-8.392268,4.126757,4.750792,4.750792,18.409625,1.000000,4.000000
10,65.784327,-59.996195,4.669214,4.669214,1697.742000,1.000000,4.000000
11,-19.427946,9.278802,4.611976,4.611976,100.508162,1.000000,4.000000
12,-16.043693,8.858593,4.571098,4.571098,73.477911,1.000000,4.000000
13,0.000000,0.000000,4.541656,4.541656,0.000000,1.000000,4.000000
14,0.000000,0.000000,4.590529,4.590529,0.000000,1.000000,4.000000
15,0.000000,0.000000,4.646365,4.646365,0.000000,1.000000,4.000000
16,-59.180140,-32.837363,4.709166,4.709166,972.694841,1.000000,4.000000
17,0.000000,0.000000,4.661921,4.661921,0.000000,1.000000,4.000000
18,-5.811338,16.922587,4.727969,4.727969,67.713135,1.000000,4.000000
19,-10.997146,12.887658,4.677506,4.677506,61.363663,1.000000,4.000000
20,-49.528105,18.625002,4.637406,4.637406,603.769452,1.000000,4.000000
21,40.120951,-71.427881,4.604815,4.604815,1457.525003,1.000000,4.000000
22,-6.948915,-22.925416,4.577798,4.577798,125.357672,1.000000,4.000000
23,0.874622,22.642284,4.554996,4.554996,112.719746,1.000000,4.000000
24,-0.330463,18.273706,4.535429,4.535429,73.650701,1.000000,4.000000
25,-2.377909,20.371278,4.518376,4.518376,93.096155,1.000000,4.000000
26,1.126343,13.928328,4.503297,4.503297,43.360890,1.000000,4.000000
27,57.401526,-47.783061,4.489784,4.489784,1242.410847,1.000000,4.000000
28,-7.713809,20.565892,4.477523,4.477523,107.751278,1.000000,4.000000
29,-44.754460,-33.670174,4.466272,4.466272,702.295397,1.000000,4.000000
30,-42.373699,54.565761,4.455845,4.455845,1071.166731,1.000000,4.000000
