k,zx,zy,valid
219,3.362324,3.818820,1
220,-7.826009,35.155937,1
221,5.386936,3.507712,1
222,2.683948,5.542384,1
223,71.109183,8.718266,1
224,2.672265,0.125794,1
225,0.000000,0.000000,0
226,5.331620,-1.099701,1
227,10.643035,41.345377,1
228,3.356985,3.534397,1
229,0.000000,0.000000,0
230,4.742105,0.318611,1
231,4.967143,0.021931,1
232,4.872149,6.471528,1
233,7.308836,-0.219801,1
234,2.023719,2.091414,1
235,4.384604,4.356513,1
236,5.498992,1.638388,1
237,-54.015676,37.233076,1
238,-42.757156,35.680874,1
239,0.000000,0.000000,0
240,4.759742,0.969443,1
241,3.397246,1.677009,1
242,12.232023,2.057810,1
243,68.009929,65.016176,1
244,8.354109,5.213807,1
245,6.407420,0.801766,1
246,0.518396,4.161606,1
247,18.708608,61.812984,1
248,4.616915,5.636660,1
249,2.592539,2.771153,1
250,3.277046,2.937739,1
251,0.000000,0.000000,0
252,0.000000,0.000000,0
253,-25.439320,36.237596,1
254,1.237278,4.310329,1
255,7.862223,-1.143015,1
256,3.819117,2.044743,1
257,5.193465,4.576305,1
258,5.513405,2.107414,1
259,2.451227,1.773218,1
260,5.198037,2.104858,1
261,7.067940,0.673552,1
262,7.187157,3.413745,1
263,0.000000,0.000000,0
264,10.734599,0.774827,1
265,69.286575,-19.010088,1
266,0.000000,0.000000,0
267,6.282585,4.758906,1
268,6.663286,3.205235,1
269,5.557574,7.421571,1
270,7.262003,5.217866,1
271,38.232294,-38.155849,1
272,0.000000,0.000000,0
273,0.000000,0.000000,0
274,7.359218,3.277050,1
275,4.656792,2.282298,1
276,7.153911,2.431541,1
277,58.729111,30.509188,1
278,4.563789,6.886397,1
279,0.000000,0.000000,0
280,6.384180,3.352843,1
281,5.856917,5.506751,1
282,0.000000,0.000000,0
283,-56.293947,-25.778080,1
284,6.651152,-0.456637,1
285,4.527105,-0.948932,1
286,5.589539,3.519234,1
287,5.582685,2.996262,1
288,7.862491,-0.243544,1
289,6.503124,1.484285,1
290,-9.568765,-60.337717,1
291,-28.247780,-78.781998,1
292,8.800860,1.347227,1
293,8.462682,3.566399,1
