k,zx,zy,valid
0,2.784742,-1.744364,1
1,-1.712551,-3.938059,1
2,-1.034901,-1.913064,1
3,-0.681350,0.693201,1
4,-1.549983,-1.844700,1
5,-2.192156,0.967421,1
6,0.139378,3.796462,1
7,0.705536,-0.419074,1
8,2.082714,1.469718,1
9,-0.200611,-1.517276,1
10,2.720769,1.500645,1
11,0.127009,-3.470374,1
12,-0.684906,1.898258,1
13,-2.037533,0.325765,1
14,2.150332,4.617220,1
15,-2.931401,-0.649185,1
16,1.601896,0.024725,1
17,2.015244,1.681112,1
18,-2.773425,1.181002,1
19,-2.359572,-1.009915,1
20,0.495402,0.309544,1
21,0.235431,3.343150,1
22,-0.969478,3.243164,1
23,-0.875064,-2.424633,1
24,-0.336220,3.260101,1
25,-1.182326,0.035472,1
26,-0.648139,-0.898628,1
27,-0.722318,1.764546,1
28,-1.743615,3.256472,1
29,-1.476521,-0.561509,1
30,-1.866446,-2.425410,1
31,0.964758,-1.010302,1
32,0.074301,2.653525,1
33,0.463382,-1.893153,1
34,-0.014656,-0.540420,1
35,0.903889,-1.333559,1
36,3.705157,3.281276,1
37,1.432292,1.268932,1
38,1.458238,-2.674022,1
39,-0.764643,-1.931059,1
40,2.745444,7.422329,1
41,-1.257153,-1.115989,1
42,0.101157,2.349503,1
43,4.317566,1.648992,1
44,-1.686137,-0.317580,1
45,-0.023248,-0.218822,1
46,1.347309,0.565999,1
47,3.279171,2.353656,1
48,3.718380,-4.614509,1
49,1.513937,1.102244,1
50,-0.212582,1.194065,1
51,-1.901017,1.603035,1
52,1.219439,-2.069893,1
53,0.470940,-0.517983,1
54,-1.990380,-1.134597,1
55,0.415167,0.045879,1
56,1.223809,-2.613208,1
57,3.105577,0.353539,1
58,-0.391368,0.115452,1
59,1.424644,2.533071,1
60,1.172948,4.760926,1
61,1.382873,1.114157,1
62,1.564849,-0.647634,1
63,1.586455,-1.882829,1
64,1.971126,3.641245,1
65,-0.091235,7.223203,1
66,0.879450,-2.442005,1
67,3.863481,4.327199,1
68,2.224179,1.977179,1
69,3.635294,-0.988398,1
70,0.518988,1.544433,1
71,-0.128052,0.651839,1
72,1.938197,-3.036162,1
73,1.525732,-0.225440,1
74,4.113790,2.302638,1
75,-1.001920,3.992037,1
76,0.284330,-0.011597,1
77,5.958525,1.998836,1
78,5.163376,3.776210,1
79,0.396013,-1.065877,1
80,-0.880097,0.145331,1
81,0.375064,2.415862,1
82,-0.220219,4.246730,1
83,0.756165,-0.744398,1
84,0.192812,-0.791102,1
85,2.472713,1.069656,1
86,1.607904,4.521255,1
87,0.007828,-0.158786,1
88,4.915430,-1.368183,1
89,2.737232,-0.898487,1
90,2.794514,2.189676,1
91,3.233963,-0.522064,1
92,3.519128,5.889636,1
93,3.638879,-0.295685,1
94,0.794732,4.471182,1
95,1.105840,-0.422459,1
96,1.121966,0.467953,1
97,2.691987,2.802526,1
98,0.306876,0.645845,1
99,0.140031,3.039646,1
100,-0.673262,3.294343,1
101,-0.222372,5.445669,1
102,1.964725,2.247158,1
103,1.694128,1.526593,1
104,3.775635,-2.729242,1
105,0.171714,1.654021,1
106,3.037275,-1.306301,1
107,-0.294886,2.748887,1
108,3.899153,2.882520,1
109,2.340671,2.364580,1
110,3.115506,1.989149,1
111,3.270161,2.885734,1
112,4.149568,2.357126,1
113,-3.746667,0.134627,1
114,4.233304,6.701959,1
115,3.598360,2.616736,1
116,3.707393,0.848482,1
117,0.492662,2.836643,1
118,4.037524,1.348688,1
119,1.727449,4.200677,1
120,-0.372658,1.933964,1
121,2.630319,3.177748,1
122,4.061199,3.785830,1
123,2.764121,1.506164,1
124,1.268666,-0.988143,1
125,1.178019,-1.851348,1
126,1.074104,5.408054,1
127,5.440326,0.526666,1
128,1.954986,-3.858708,1
129,2.182045,-1.616093,1
130,3.594590,4.129763,1
131,4.286910,0.070318,1
132,1.896772,0.411685,1
133,1.661082,0.400382,1
134,2.690036,2.848834,1
135,1.828681,1.255935,1
136,0.804581,2.857375,1
137,3.926676,0.615079,1
138,-0.667995,0.122368,1
139,2.124735,0.973012,1
140,2.943186,1.837558,1
141,1.279147,2.171765,1
142,1.265876,-0.697068,1
143,3.535205,1.658528,1
144,5.147705,4.091511,1
145,1.298632,3.738065,1
146,1.997108,1.355653,1
147,1.912790,0.455446,1
148,4.005028,6.133256,1
149,3.577870,0.154204,1
150,1.659628,2.883961,1
151,0.727238,2.897708,1
152,2.163087,4.052307,1
153,0.800873,1.140513,1
154,3.336854,3.598506,1
155,1.841457,0.684825,1
156,2.774776,3.425011,1
157,1.990537,3.159318,1
158,2.801070,5.058090,1
159,5.963805,0.384219,1
160,3.199408,2.151588,1
161,7.923391,2.012978,1
162,2.691229,2.333437,1
163,1.438255,3.197155,1
164,2.310195,2.806894,1
165,3.845729,1.649354,1
166,1.688433,1.675508,1
167,3.882761,-1.587942,1
168,1.380914,5.820215,1
169,3.165628,1.825545,1
170,3.636504,3.936330,1
171,1.467990,-0.581419,1
172,0.642677,-2.405682,1
173,6.435482,2.113535,1
174,1.907482,-0.277861,1
175,2.319523,2.577034,1
176,-0.312304,3.358725,1
177,3.775165,1.273239,1
178,7.496067,4.624705,1
179,4.769715,3.521307,1
180,2.275744,4.418172,1
181,1.979790,0.330717,1
182,3.456440,4.756247,1
183,1.138282,1.617069,1
184,5.140048,1.260835,1
185,4.822950,-1.119555,1
186,7.311959,-0.753579,1
187,3.837695,3.362562,1
188,0.366837,1.119545,1
189,5.721933,0.303281,1
190,3.258778,5.273284,1
191,-0.665554,1.041920,1
192,2.898628,0.078783,1
193,2.794972,3.073512,1
194,0.739561,2.580881,1
195,2.944127,6.224055,1
196,2.722616,0.186563,1
197,5.066724,-0.819855,1
198,6.963827,2.169033,1
199,4.060006,0.008718,1
200,1.845456,2.501475,1
201,2.928834,1.533469,1
202,0.468661,2.982593,1
203,4.679292,4.089548,1
204,5.703778,3.264580,1
205,1.748041,7.038837,1
206,4.974748,0.893064,1
207,6.604273,2.912026,1
208,8.335429,0.314580,1
209,2.320581,0.871646,1
210,6.867086,2.167118,1
211,3.011424,0.934152,1
212,2.158609,2.428559,1
213,4.030459,-3.453659,1
214,0.747014,3.517176,1
215,3.084626,5.877886,1
216,6.523707,2.135457,1
217,6.217076,2.217111,1
218,5.730460,4.062500,1
219,3.676862,1.879909,1
220,3.675648,3.030259,1
221,4.161219,2.314426,1
222,6.209906,0.271413,1
223,6.660650,4.154892,1
224,6.585289,1.851490,1
225,1.898783,3.045810,1
226,6.840348,1.336594,1
227,8.604538,3.565366,1
228,3.142308,-2.281449,1
229,2.521747,4.571088,1
230,2.365426,2.608134,1
231,3.445243,4.687525,1
232,4.389364,2.786292,1
233,2.574920,1.586127,1
234,2.049697,2.028375,1
235,9.355422,-0.115403,1
236,8.768226,5.226639,1
237,1.453460,2.196431,1
238,3.211322,4.720733,1
239,5.630257,2.843308,1
240,4.755244,2.820484,1
241,3.219335,4.730926,1
242,8.871268,-0.160761,1
243,3.012854,2.986734,1
244,9.575926,3.188013,1
245,6.204654,1.778392,1
246,1.537388,1.190791,1
247,4.935540,2.247250,1
248,1.722259,2.014155,1
249,5.931335,2.199292,1
250,7.757769,4.777447,1
251,3.689664,0.280503,1
252,6.614287,1.277431,1
253,4.597843,2.098086,1
254,6.486506,1.454061,1
255,5.126535,1.277940,1
256,3.055240,3.240965,1
257,3.285209,0.959623,1
258,6.520632,4.551794,1
259,2.842858,0.884418,1
260,4.214388,0.711418,1
261,2.525040,-0.364047,1
262,9.321566,7.089503,1
