k,x,y,vx,vy
0,4.181613,3.349887,0.033448,0.026795
1,-2.481734,-2.629787,-0.405681,-0.367274
2,0.814663,-2.361005,0.165672,-0.319531
3,0.123498,0.784577,-0.061163,0.709989
4,1.538088,1.451475,0.678335,1.050902
5,2.722612,1.485763,1.559373,1.060886
6,1.373687,2.444435,0.170021,2.004617
7,1.629945,2.447427,0.491916,1.957388
8,0.463231,0.635221,-1.318313,-0.891082
9,0.393346,0.010869,-1.396270,-1.977580
10,0.501576,-0.277610,-1.121055,-2.480745
11,0.135586,-0.305863,-1.884308,-2.433289
12,-0.231935,0.231026,-2.672003,-1.034900
13,-1.796148,0.010704,-6.479392,-1.537984
14,-2.511157,0.716344,-8.012567,0.390591
15,-3.010721,1.502328,-8.924403,2.481779
16,-2.900389,1.967795,-8.136200,3.616603
17,-2.516383,1.715745,-6.633685,2.725141
18,-2.547200,2.420657,-6.353709,4.512920
19,-2.376399,1.932494,-5.539246,2.931374
20,-2.111991,1.837606,-4.523208,2.515646
21,-1.270593,2.311123,-2.032477,3.646809
22,-0.969458,2.311328,-1.133254,3.455456
23,-0.361445,1.859849,0.496576,2.110124
24,-0.005760,1.841882,1.372796,1.957641
25,-0.068188,1.340016,1.149696,0.614780
26,0.383842,0.740767,2.191733,-0.870532
27,0.514268,1.862975,2.397392,1.836106
28,0.647399,1.756210,2.595135,1.503014
29,0.672661,2.874456,2.534706,3.971362
30,0.769009,3.285908,2.635878,4.707153
31,1.758326,3.010989,4.663546,3.908161
32,1.731197,2.620946,4.408898,2.917896
33,1.470279,3.147217,3.687501,3.884824
34,1.334185,2.827824,3.263754,3.082964
35,1.403423,2.136453,3.271575,1.596717
36,1.204338,2.641813,2.761190,2.510193
37,0.868854,2.242783,2.024004,1.662582
38,2.062311,2.408442,4.151870,1.906945
39,2.291357,2.407145,4.415519,1.835735
40,1.624401,2.041695,3.080752,1.124997
41,2.262691,1.887968,4.078515,0.820088
42,2.473162,1.802790,4.296928,0.647970
43,2.394123,1.356539,4.023078,-0.114284
44,2.535525,1.381424,4.122206,-0.070088
45,2.484858,1.027119,3.909958,-0.632797
46,2.427058,1.800350,3.697321,0.595953
47,1.944767,1.251058,2.844274,-0.264723
48,1.767085,1.318879,2.491314,-0.154704
49,1.859962,1.204419,2.554893,-0.319173
50,1.879545,1.688556,2.509201,0.392031
51,2.378693,1.214709,3.148464,-0.293828
52,2.470200,0.563401,3.188379,-1.196596
53,3.228609,0.913405,4.143081,-0.682668
54,3.379766,1.161238,4.235339,-0.329437
55,3.403240,1.382932,4.154016,-0.026258
56,2.674646,1.064963,3.093923,-0.440857
57,2.348623,0.742836,2.595577,-0.843374
58,2.389820,1.199684,2.582034,-0.244567
59,2.622355,1.033541,2.807074,-0.445171
60,2.543915,0.310339,2.642259,-1.319937
61,2.874180,0.056940,2.976784,-1.593664
62,3.219496,-0.066494,3.316177,-1.702401
63,2.286206,-0.160554,2.146722,-1.772610
64,2.206968,-0.330058,2.005890,-1.927137
65,2.518618,-0.286074,2.314368,-1.833381
66,2.879458,-0.082108,2.666629,-1.563901
67,3.272855,0.353717,3.042113,-1.048146
68,2.567082,0.583420,2.207362,-0.775201
69,2.220953,0.803335,1.788193,-0.522355
70,2.276898,1.090162,1.809578,-0.207364
71,2.774028,0.918952,2.291516,-0.382038
72,2.850892,1.310351,2.323539,0.029733
73,3.083303,0.993917,2.512941,-0.293198
74,2.875957,0.682408,2.253871,-0.600582
75,3.458249,0.447754,2.787381,-0.821690
76,2.937228,0.363474,2.221658,-0.888236
77,2.884784,0.675204,2.127793,-0.568985
78,2.433726,0.663191,1.655263,-0.569590
79,2.723588,0.896796,1.898144,-0.337835
80,2.706358,0.641605,1.846543,-0.570100
81,2.843728,0.340210,1.939365,-0.838098
82,2.973813,0.506825,2.022779,-0.670553
83,3.050262,0.193230,2.055297,-0.941749
84,3.116748,0.407782,2.077973,-0.733229
85,3.322672,0.572606,2.223224,-0.574612
86,3.723911,0.996139,2.535122,-0.194306
87,3.813147,1.152935,2.568452,-0.055324
88,3.847962,1.196019,2.554283,-0.017502
89,4.299343,1.252178,2.893360,0.030365
90,4.069978,1.055879,2.652533,-0.134730
91,4.266654,1.168686,2.771745,-0.038861
92,3.506967,1.267966,2.101875,0.043366
93,3.168026,1.245749,1.791846,0.024581
94,3.390408,1.228955,1.942188,0.010650
95,3.591844,1.423187,2.071978,0.165528
96,3.590404,1.400222,2.038071,0.144750
97,3.742146,1.457855,2.125019,0.187634
98,3.755781,1.073482,2.102611,-0.113667
99,3.277315,1.374967,1.702172,0.120017
100,3.270807,1.157226,1.671252,-0.047835
101,3.425832,0.911238,1.763157,-0.233028
102,3.745450,0.647033,1.976212,-0.427495
103,3.782575,0.678693,1.974430,-0.397624
104,4.253132,0.936512,2.291967,-0.201849
105,4.389247,1.207571,2.357915,-0.000886
106,4.136010,1.456667,2.140264,0.179609
107,4.237467,1.712968,2.182418,0.361232
108,4.558114,1.680526,2.379916,0.332951
109,4.218026,1.860987,2.105665,0.455898
110,3.931062,2.494645,1.874674,0.894286
111,3.804007,2.608445,1.760052,0.961098
112,3.847915,2.309557,1.766071,0.741171
113,4.067831,2.216193,1.892747,0.666929
114,4.207450,2.238850,1.962072,0.673277
115,4.117758,2.134532,1.874870,0.593616
116,3.740052,2.392487,1.596045,0.758870
117,3.840819,2.470185,1.641955,0.800562
118,3.968227,2.546160,1.704584,0.840274
119,3.480789,2.656092,1.361536,0.901529
120,3.512734,2.796009,1.364617,0.981168
121,3.476969,2.759867,1.323687,0.944972
122,2.963923,2.651941,0.975761,0.863184
123,2.572317,2.791997,0.712329,0.941865
124,2.565801,2.758400,0.699108,0.908479
125,2.464241,2.692123,0.625993,0.855040
126,2.405674,2.761666,0.581283,0.888024
127,2.532546,2.859970,0.653333,0.938379
128,2.573304,2.814063,0.670543,0.898184
129,2.451681,2.555970,0.587107,0.727610
130,2.509386,2.177256,0.615345,0.486000
131,2.537170,2.190592,0.624800,0.488209
132,2.669931,2.415920,0.697866,0.619173
133,2.532851,2.554419,0.606603,0.695378
134,2.515099,2.573894,0.588642,0.698724
135,2.450704,2.738282,0.543104,0.788650
136,2.812073,3.009052,0.751577,0.940316
137,2.527225,3.011355,0.574121,0.930551
138,2.210600,2.863844,0.380928,0.832736
139,2.328980,3.242376,0.445826,1.044770
140,2.197753,3.202900,0.364107,1.009566
141,2.114201,2.793258,0.311391,0.760111
142,2.225541,3.174282,0.372110,0.971433
143,2.431382,2.935538,0.486196,0.822975
144,2.530622,2.976570,0.537441,0.837042
145,2.860157,3.069349,0.719133,0.880380
146,2.958862,2.990744,0.766986,0.825780
147,2.956333,3.132404,0.756888,0.896499
148,2.850846,3.306658,0.689005,0.984472
149,2.705516,3.002204,0.599827,0.802797
150,2.595100,2.934584,0.531491,0.756085
151,2.438277,3.167405,0.438375,0.877141
152,2.712797,2.793585,0.585588,0.660347
