k,zx,zy,valid
0,-2.618326,10.955883,1
1,5.766970,3.776849,1
2,3.337054,11.142572,1
3,-0.929743,2.291411,1
4,6.221091,-6.811156,1
5,-3.256066,-0.595368,1
6,-6.451578,4.103583,1
7,10.013080,-0.108435,1
8,-2.666104,0.751304,1
9,-4.395442,-3.738473,1
10,-4.931605,2.399155,1
11,13.998563,-1.886923,1
12,0.815393,-5.231642,1
13,-7.797702,0.593976,1
14,-7.604009,1.592047,1
15,4.677617,6.321459,1
16,4.812872,4.169771,1
17,1.862161,0.953792,1
18,12.527338,7.023785,1
19,-2.154749,-1.747813,1
20,-1.778330,-3.743273,1
21,-2.153373,-1.624818,1
22,4.040682,-3.440080,1
23,3.998082,4.360101,1
24,-6.110401,0.355917,1
25,-0.109965,-6.166302,1
26,-1.324580,0.726191,1
27,3.038111,-1.228688,1
28,1.905093,3.331276,1
29,-2.308784,0.340485,1
30,8.542218,0.001219,1
31,4.618000,-11.544381,1
32,5.667282,-9.699288,1
33,-3.426897,-4.699615,1
34,-0.275253,-2.619641,1
35,1.667448,6.489897,1
36,-8.002431,8.239545,1
37,5.938919,-5.363029,1
38,3.732331,9.666518,1
39,1.796748,-1.146102,1
40,9.880075,9.874847,1
41,-9.508800,-1.556095,1
42,6.367950,-4.609510,1
43,6.180396,-5.410665,1
44,-2.481610,-5.204528,1
45,-1.726815,5.081317,1
46,-5.490833,1.644797,1
47,-2.506040,0.718720,1
48,-0.783660,4.359355,1
49,4.515990,4.183746,1
50,8.161642,-2.179314,1
51,8.407341,-3.077472,1
52,1.126950,6.870546,1
53,-5.474856,-3.328865,1
54,1.577881,-3.009723,1
55,2.873629,8.125503,1
56,-1.035054,6.921282,1
57,-3.894174,-3.752756,1
58,11.428482,-1.404713,1
59,2.845763,-10.651471,1
60,-0.610725,-15.378059,1
61,0.200781,-16.670626,1
62,4.512110,4.443330,1
63,-6.950171,4.111393,1
64,22.102005,10.337417,1
65,0.109751,6.739614,1
66,-2.188276,-12.369690,1
67,5.269094,6.868020,1
68,-0.340829,2.914280,1
69,-2.138012,2.858751,1
70,-9.119274,-2.250878,1
71,1.024436,-0.317878,1
72,3.312668,4.689529,1
73,-1.847722,-5.993843,1
