k,zx,zy,valid
0,0.929207,-0.838113,1
1,-3.041817,2.162522,1
2,0.767984,-0.172662,1
3,-1.576679,2.258473,1
4,0.428405,6.700005,1
5,1.829204,-2.329129,1
6,-1.041294,0.371793,1
7,2.607099,-0.736605,1
8,2.315135,1.390639,1
9,-2.002298,-1.234217,1
10,-1.462563,-2.685517,1
11,2.274685,1.642597,1
12,72.973940,17.832904,1
13,-2.040279,-0.919292,1
14,32.338133,54.460008,1
15,0.244049,0.448749,1
16,-2.450021,-1.095176,1
17,35.443968,58.215155,1
18,0.773850,0.622543,1
19,43.426547,-29.708465,1
20,1.069844,-1.940881,1
21,0.782149,-1.489967,1
22,0.858080,1.247180,1
23,0.759860,-2.927768,1
24,-0.835612,-1.406901,1
25,0.908169,-3.112580,1
26,-28.960712,62.949715,1
27,-1.110387,-1.977031,1
28,2.248365,-3.621574,1
29,-65.700018,-23.115203,1
30,2.973798,2.663368,1
31,2.447642,1.131232,1
32,-2.398980,-0.287572,1
33,-1.059826,2.059923,1
34,-1.932558,1.617765,1
35,0.555303,-2.338608,1
36,0.000000,0.000000,0
37,1.314704,-1.753439,1
38,0.769998,-0.449612,1
39,2.249897,4.573665,1
40,3.874265,-1.440168,1
41,1.546468,2.663748,1
42,25.940165,-77.107032,1
43,8.258146,-8.805579,1
44,-58.881705,70.521501,1
45,-0.329145,-2.783762,1
46,1.193188,2.218584,1
47,1.881526,-47.895664,1
48,2.182866,1.186808,1
49,0.560232,-1.878959,1
50,-1.869248,1.966123,1
51,1.742705,1.855027,1
52,57.888844,-75.538643,1
53,57.736106,-20.832957,1
54,-42.698277,-27.744370,1
55,6.078721,78.034813,1
56,2.788958,2.244635,1
57,65.175365,27.990275,1
58,3.563080,0.414924,1
59,0.509187,-0.882422,1
60,0.259924,-0.939052,1
61,0.000000,0.000000,0
62,0.885222,1.095820,1
63,1.259454,3.575588,1
64,0.078857,-2.068538,1
65,39.745635,77.576686,1
66,-42.956175,9.379175,1
67,1.102421,-1.774560,1
68,2.320889,-0.506824,1
69,2.089495,-1.882131,1
70,-0.158567,0.524221,1
71,2.758668,-1.160585,1
72,0.000000,0.000000,0
73,29.461701,19.816945,1
74,0.000000,0.000000,0
75,0.363290,1.217882,1
76,0.881531,-0.663167,1
77,1.119530,2.880911,1
78,40.107265,16.127759,1
79,-10.460980,-61.611330,1
80,-0.326272,-0.216720,1
81,29.471765,-47.143347,1
82,0.000000,0.000000,0
83,1.722528,-23.870101,1
84,1.658302,1.896066,1
85,2.433493,0.462263,1
86,8.001610,-69.516467,1
87,-47.885455,78.023122,1
88,1.702126,-0.629696,1
89,0.000000,0.000000,0
90,1.455759,3.731040,1
91,3.569025,2.646873,1
92,0.000000,0.000000,0
93,2.145360,7.026413,1
94,0.000000,0.000000,0
95,-2.401143,0.266655,1
96,2.706455,2.019687,1
97,0.000000,0.000000,0
98,-38.336380,62.409728,1
99,-2.769525,3.469318,1
100,16.219568,-2.805071,1
101,1.355213,2.505751,1
102,-0.298638,0.163431,1
103,55.357684,-79.791447,1
104,0.257461,1.390650,1
105,-17.667574,-67.834275,1
106,-44.253835,24.096593,1
107,-57.013686,27.932718,1
108,0.000000,0.000000,0
109,-72.484715,-37.884391,1
110,70.966512,-25.015323,1
111,3.190127,-0.051901,1
112,4.608897,0.431319,1
113,2.788784,4.740209,1
114,-1.024596,-1.944420,1
115,0.883555,-1.713672,1
116,1.758008,2.946028,1
117,40.619110,67.071788,1
118,-71.460147,18.675708,1
119,0.000000,0.000000,0
120,2.585152,0.645561,1
121,1.657647,-0.416511,1
122,4.075770,4.201913,1
123,1.870190,2.631596,1
124,3.840065,0.877723,1
125,4.878488,0.077895,1
126,2.401502,-1.944192,1
127,12.589398,53.453797,1
128,0.692451,3.894463,1
129,0.000000,0.000000,0
130,0.975751,-0.695365,1
131,0.000000,0.000000,0
132,3.385315,2.937004,1
133,3.250326,1.323537,1
134,0.652222,-0.406140,1
135,3.868464,0.917357,1
136,1.087183,0.929578,1
137,-75.271700,28.556984,1
138,0.000000,0.000000,0
139,2.500833,2.164202,1
140,-0.238441,-58.182412,1
141,0.935995,0.252465,1
142,-0.641360,-2.746032,1
143,0.000000,0.000000,0
144,1.419535,-2.934255,1
145,64.435011,70.482814,1
146,0.000000,0.000000,0
147,3.778206,1.262308,1
148,0.861183,1.888822,1
149,2.186994,-1.424346,1
150,1.788985,3.122775,1
151,2.720910,0.292636,1
152,0.318260,1.265816,1
153,2.674981,-3.556989,1
154,6.732870,0.447985,1
155,6.795153,0.130798,1
156,55.683301,8.226984,1
157,1.869717,1.937649,1
158,2.794753,1.628105,1
159,6.026628,-3.736180,1
160,-20.588417,-29.621809,1
161,2.071921,-0.185874,1
162,4.915182,0.964394,1
163,2.897971,0.864068,1
164,0.000000,0.000000,0
165,0.000000,0.000000,0
166,-74.822014,-13.042297,1
167,6.686423,2.117163,1
168,7.640863,4.070961,1
169,-38.495419,-16.241569,1
170,3.981383,0.546001,1
171,1.490043,3.311250,1
172,74.381601,76.190546,1
173,0.752281,1.244374,1
174,3.003116,3.765172,1
175,0.000000,0.000000,0
176,0.000000,0.000000,0
177,3.577630,3.722820,1
178,0.000000,0.000000,0
179,4.599179,2.858381,1
180,0.000000,0.000000,0
181,3.664704,3.673347,1
182,4.067323,3.242426,1
183,0.000000,0.000000,0
184,4.112645,2.693057,1
185,4.190437,0.130636,1
186,1.462039,-0.256058,1
187,2.915787,-0.935635,1
188,3.917236,1.909910,1
189,12.856147,-8.327377,1
190,32.688703,23.888789,1
191,7.011687,1.259625,1
192,4.649549,3.041482,1
193,4.655549,2.238275,1
194,-41.769323,-52.631091,1
195,60.567072,34.574780,1
196,5.446227,3.075752,1
197,4.463422,0.047077,1
198,5.712560,1.222816,1
199,3.074337,4.032434,1
200,72.363796,72.017544,1
201,4.349375,0.995354,1
202,0.000000,0.000000,0
203,0.000000,0.000000,0
204,-76.916815,22.651951,1
205,2.207036,4.268241,1
206,2.863356,2.567415,1
207,4.259006,1.662311,1
208,5.153485,3.740519,1
209,0.000000,0.000000,0
210,0.814233,4.225957,1
211,5.552906,-1.851593,1
212,0.000000,0.000000,0
213,0.442344,3.421914,1
214,5.871618,6.462160,1
215,50.959145,-44.243918,1
216,6.386053,36.344235,1
217,5.672948,3.329394,1
218,5.484717,2.515766,1
219,-0.525359,-0.048929,1
220,4.020343,1.758883,1
221,-48.069087,33.937483,1
222,2.611000,4.442926,1
223,4.067491,0.740079,1
224,4.425315,-0.912107,1
225,7.320033,0.208186,1
226,4.241372,1.027201,1
227,4.642661,2.815614,1
228,8.150590,1.614941,1
229,-5.388886,-1.715935,1
230,3.953067,1.739797,1
231,5.486416,3.567677,1
232,4.454610,-0.143537,1
233,3.591554,1.354505,1
234,0.000000,0.000000,0
235,4.890211,6.344468,1
236,5.188068,4.103579,1
237,0.603864,3.406030,1
238,6.642308,2.132174,1
239,6.379497,1.419315,1
240,21.656751,-9.469065,1
241,4.656040,3.161437,1
242,3.782803,1.918219,1
243,5.546114,5.082740,1
244,3.494712,4.799977,1
245,0.000000,0.000000,0
246,2.072588,5.315013,1
247,0.000000,0.000000,0
248,67.302030,33.368084,1
249,10.302349,2.755470,1
250,33.107112,-8.212017,1
251,3.423445,3.015300,1
252,7.520113,2.982360,1
253,4.551172,5.019951,1
254,3.602024,4.306237,1
255,5.983115,0.416463,1
256,-0.619843,5.004492,1
257,10.674951,3.055788,1
258,5.007827,2.243233,1
259,0.000000,0.000000,0
260,4.988949,0.742793,1
261,2.649413,1.989512,1
262,5.578130,3.206061,1
263,-73.953750,-77.899173,1
264,0.000000,0.000000,0
265,0.000000,0.000000,0
266,7.375138,4.144742,1
267,-67.753709,50.437627,1
268,4.154380,0.629516,1
269,6.364044,2.702530,1
270,-38.520816,76.943710,1
271,0.000000,0.000000,0
272,6.066431,0.801916,1
273,5.037026,3.540582,1
274,4.417723,-13.426146,1
275,6.969621,6.466146,1
276,4.871356,2.656301,1
277,9.690897,3.800688,1
278,6.440618,0.714873,1
279,6.806472,2.803034,1
280,4.916662,-0.391246,1
281,7.965226,5.062158,1
282,7.411774,3.029988,1
283,4.459465,1.294911,1
284,0.000000,0.000000,0
285,5.536791,3.832910,1
286,0.000000,0.000000,0
287,4.526555,0.326876,1
288,5.849199,4.749504,1
289,2.381054,2.637868,1
290,3.051064,-0.452604,1
291,4.982386,4.640693,1
292,5.869878,6.288666,1
293,4.946149,3.216482,1
294,-14.166741,-75.836996,1
295,6.674405,4.706178,1
296,6.543572,1.935713,1
297,-73.791061,69.960862,1
298,6.773530,4.344715,1
299,4.437335,7.402663,1
300,1.846378,8.398477,1
301,5.961772,3.003133,1
302,5.460939,-0.297968,1
303,69.846662,21.126629,1
304,0.000000,0.000000,0
305,5.842055,2.785384,1
306,7.114206,5.993500,1
307,9.366502,3.421891,1
308,6.216777,3.210559,1
309,10.036062,3.447593,1
310,-3.701849,63.015382,1
311,5.327670,5.007901,1
312,5.655818,3.777639,1
313,-74.825187,-75.855815,1
314,8.789109,5.849826,1
315,-31.411204,6.139867,1
316,8.128020,-0.457200,1
317,6.214940,3.897893,1
318,8.981905,3.385674,1
319,9.811849,4.958522,1
