k,x,y,vx,vy
0,0.801058,-0.722527,0.006408,-0.005779
1,-0.979416,0.614158,-0.110926,0.082310
2,-0.425841,0.365336,-0.014829,0.039004
3,-0.705624,0.825803,-0.106117,0.189150
4,-0.482640,1.992694,0.011459,0.796657
5,-0.091925,1.275878,0.305264,0.245330
6,-0.228117,1.145410,0.162015,0.109049
7,0.157072,0.893470,0.648246,-0.214455
8,0.437908,0.951801,1.060389,-0.118108
9,0.169216,0.692252,0.541081,-0.578815
10,-0.005242,0.300981,0.166570,-1.346303
11,0.247103,0.423746,0.719766,-1.013758
12,8.050367,2.270491,19.320702,3.444954
13,7.329361,1.994949,16.529826,2.576907
14,10.248112,7.543419,23.308005,16.972957
15,9.620606,7.106347,20.368988,14.886178
16,8.726748,6.517748,16.817850,12.467362
17,11.813047,12.130042,24.375206,27.205746
18,11.099043,11.417934,21.072621,23.752765
19,14.845311,7.557851,30.163481,11.899434
20,13.951728,6.782229,26.109936,9.154531
21,13.051450,6.086877,22.307867,6.806583
22,12.188641,5.707705,18.864022,5.450837
23,11.348711,4.915161,15.718443,3.120977
24,10.381842,4.323109,12.471490,1.462394
25,9.641510,3.592464,10.014807,-0.423731
26,5.924122,9.577832,0.499583,14.134039
27,5.229448,8.676397,-1.174023,11.321720
28,4.913151,7.662857,-1.853769,8.443235
29,-2.033330,4.802015,-17.526466,1.570912
30,-1.865617,4.623524,-16.378002,1.105738
31,-1.749960,4.309999,-15.418470,0.379102
32,-2.090431,3.883610,-15.486365,-0.538755
33,-2.275595,3.704353,-15.228959,-0.886919
34,-2.520846,3.497087,-15.109155,-1.269640
35,-2.518069,2.947201,-14.507259,-2.304825
36,-2.808214,2.901105,-14.507259,-2.304825
37,-2.677808,2.415838,-13.714848,-3.132319
38,-2.605544,2.092225,-13.076852,-3.612741
39,-2.401305,2.252422,-12.238672,-3.194437
40,-2.065512,1.865437,-11.216943,-3.763049
41,-1.955546,1.866301,-10.641308,-3.631971
42,0.230061,-4.938744,-6.598864,-14.979114
43,0.780185,-5.536514,-5.473072,-15.471265
44,-4.208083,0.410429,-13.361535,-5.355443
45,-4.142268,0.055348,-12.833794,-5.748380
46,-3.958339,0.119880,-12.149297,-5.469520
47,-3.731038,-3.693302,-11.432747,-11.112786
48,-3.493521,-3.528328,-10.735886,-10.533933
49,-3.390140,-3.600390,-10.269197,-10.330567
50,-3.469155,-3.384392,-10.087180,-9.721852
51,-3.281500,-3.187973,-9.536351,-9.168962
52,0.866017,-8.473599,-3.507689,-16.259324
53,4.753928,-9.635313,1.897437,-17.401683
54,1.545235,-11.197570,-2.460701,-19.031600
55,1.804226,-5.551366,-2.053908,-11.076898
56,1.831035,-5.242310,-1.965780,-10.388109
57,5.920435,-3.271818,3.307056,-7.606232
