k,zx,zy,valid
0,-4.905488,-9.278478,1
1,-6.935867,3.260031,1
2,0.580257,-4.619071,1
3,5.950837,-6.879591,1
4,-5.711835,4.487901,1
5,-2.167060,6.189904,1
6,7.590882,-0.698987,1
7,-4.065830,1.534077,1
8,3.365175,3.492674,1
9,0.253940,16.185478,1
10,6.594445,-4.590440,1
11,1.853398,-6.652428,1
12,1.923640,8.552257,1
13,-2.766917,-8.040230,1
14,-1.184296,3.104763,1
15,-10.033584,2.013118,1
16,-1.567622,1.402507,1
17,-1.986675,0.754752,1
18,1.237941,-5.271822,1
19,-4.442919,-4.802718,1
20,11.773078,4.198587,1
21,-1.921321,-7.479937,1
22,7.735752,3.167072,1
23,-3.250714,10.583257,1
24,0.389528,5.978667,1
25,6.407436,-4.989258,1
26,-0.921584,-1.069312,1
27,5.522888,-0.907135,1
28,-7.879976,8.602223,1
29,0.390809,-2.358817,1
30,6.810469,-8.434310,1
31,3.356080,2.153310,1
32,-5.494540,-7.232599,1
33,10.575916,1.153910,1
34,-5.984818,0.729293,1
35,3.660328,5.007248,1
36,6.723400,-3.994062,1
37,-7.500178,5.095806,1
38,2.115106,1.619207,1
39,-5.369375,-6.876019,1
40,-2.809676,-0.114320,1
41,3.089056,-5.524716,1
42,3.960756,8.614694,1
43,-3.718334,-0.307672,1
44,-1.461767,-0.122672,1
45,-6.901866,0.604516,1
46,-4.237075,-1.822730,1
47,9.279978,2.310233,1
48,3.649984,-0.485457,1
49,5.920393,5.442898,1
50,5.077744,6.449381,1
51,-4.935771,1.167163,1
52,2.639828,-1.982403,1
53,-9.973943,-6.296007,1
54,-5.766350,-3.321934,1
55,-3.384452,6.996541,1
56,14.979757,-6.108628,1
57,-18.174392,-1.527897,1
58,-0.106657,-4.038514,1
59,-3.372067,4.447125,1
60,-4.015271,-2.907262,1
61,-0.297371,-11.709198,1
62,3.505067,1.596643,1
63,2.995387,4.476096,1
64,7.053739,5.631481,1
65,1.686201,-2.053697,1
66,2.879912,-1.804132,1
67,8.222415,-0.385897,1
68,1.498278,4.024990,1
69,9.978463,-8.254117,1
70,-5.736317,-0.308956,1
71,1.604843,-4.190711,1
72,11.099833,6.067540,1
73,2.831411,5.793408,1
74,-2.283773,-1.523212,1
75,2.746088,-1.562207,1
76,9.152682,7.285815,1
77,2.728134,-6.827662,1
78,-3.643134,3.797074,1
79,-1.493511,0.749639,1
80,12.941235,8.836207,1
81,8.206006,-0.068064,1
82,-1.914078,8.514205,1
83,0.421332,12.667839,1
84,-0.790789,-2.351315,1
85,-6.257738,-1.916841,1
86,0.840316,-3.219207,1
87,-1.009664,-2.630889,1
88,-0.580794,8.930839,1
89,1.430147,-3.468295,1
90,8.830612,6.589352,1
91,-5.217755,5.589391,1
92,-12.943781,1.071400,1
93,10.677777,-2.517110,1
94,6.527560,3.494823,1
95,12.216068,-8.606169,1
96,6.580026,-4.528750,1
97,5.003393,-8.784049,1
98,1.443479,-2.975933,1
99,6.993022,3.874445,1
100,-5.629465,0.460643,1
101,-0.565001,2.580493,1
102,13.816696,1.658087,1
103,-1.459171,-3.286437,1
104,-0.610448,5.966730,1
105,-7.111230,-4.499915,1
106,6.859434,0.756391,1
107,-1.928290,1.143174,1
108,-7.459265,-0.029928,1
109,4.187152,0.959218,1
110,0.243795,-4.778058,1
111,-2.100126,3.120287,1
