k,x,y,vx,vy
0,2.358462,0.069634,0.018865,0.000557
1,2.358840,0.069646,0.018865,0.000557
2,0.893130,-0.516835,-0.161960,-0.071780
3,0.224685,-0.152195,-0.314389,0.012105
4,0.218397,-0.151953,-0.314389,0.012105
5,0.414051,0.103585,-0.208348,0.146162
6,0.409884,0.106508,-0.208348,0.146162
7,0.418898,0.529544,-0.196839,0.512992
8,-9.905251,11.579376,-11.185062,12.267138
9,-12.862073,12.553072,-14.661921,13.193692
10,-21.994350,9.038425,-27.791429,7.581076
11,-19.710793,8.396472,-22.979043,6.236072
12,-17.941387,7.581339,-18.761886,4.457903
13,-16.303740,6.569466,-14.595368,2.178853
14,-14.338390,6.103242,-9.574825,1.044965
15,-12.629058,5.739060,-5.103447,0.139127
16,-11.804809,5.072007,-2.830333,-1.504600
17,-11.861416,5.041915,-2.830333,-1.504600
18,-10.264494,4.419116,1.409186,-3.024255
19,-9.156431,3.908027,4.198098,-4.187990
20,-8.413293,3.648723,5.904001,-4.642287
21,-7.601585,2.808771,7.694798,-6.571154
22,-14.499433,-0.313173,-10.400359,-14.244993
23,-12.765073,-0.171611,-5.461936,-13.160725
24,-9.648233,1.780752,2.643948,-7.593838
25,-15.628265,7.554049,-12.304579,7.087736
26,-14.063168,6.615545,-7.886542,4.452656
27,-12.723960,6.078771,-4.296848,2.951909
28,-11.180329,5.197791,-0.459518,0.738340
29,-10.100556,4.810935,2.056373,-0.189551
30,-8.874852,4.292829,4.739671,-1.354575
31,-8.119516,3.795846,6.205933,-2.397633
32,-7.038250,3.428181,8.287224,-3.092838
33,-5.986345,2.933605,10.174341,-4.014333
34,-5.359512,2.431896,11.057106,-4.893085
35,0.163416,6.400430,21.881407,3.409002
36,0.601044,6.468610,21.881407,3.409002
37,1.109816,5.858882,22.020423,2.084355
38,1.567916,5.525371,22.054229,1.367408
39,2.530595,9.057688,23.029261,7.919346
40,2.759182,8.502298,22.604847,6.613576
41,-3.548216,8.191427,10.499081,5.819939
42,-2.862207,7.336040,11.333983,4.115528
43,-2.635527,7.418350,11.333983,4.115528
44,-1.850026,7.083803,12.273850,3.414425
45,5.446237,-0.154161,23.887419,-8.619929
46,4.597517,-6.317553,21.746672,-18.288614
47,10.019755,-3.944663,29.636517,-13.956089
48,9.917889,-4.004849,28.558930,-13.616435
49,9.642327,-3.910882,27.270205,-13.058938
50,10.187731,-4.172061,27.270205,-13.058938
51,9.636298,-3.977738,25.663104,-12.391531
52,10.149560,-4.225568,25.663104,-12.391531
53,14.250484,1.763917,30.723906,-3.593093
54,20.037483,-1.679835,37.885393,-8.261561
55,20.369779,3.324377,37.307017,-1.233361
56,18.679589,0.896817,34.052932,-4.442785
57,14.757132,6.729482,28.009884,3.330410
58,14.034329,6.265616,26.353971,2.645751
59,13.508290,5.680014,25.017091,1.835186
60,13.203588,5.366778,24.011570,1.398101
61,12.772740,5.241331,22.891541,1.209509
62,12.396081,4.862748,21.881516,0.722013
63,12.833711,4.877188,21.881516,0.722013
64,13.271341,4.891629,21.881516,0.722013
65,12.798208,4.753474,20.829361,0.545729
66,12.441434,4.710125,19.949593,0.483999
67,9.596584,4.631779,16.314551,0.385358
68,9.154180,6.295381,15.465736,2.213843
69,8.890746,6.005773,14.842334,1.850430
70,10.905162,9.249740,16.685628,5.292136
71,10.676141,8.662462,16.089989,4.558486
72,10.281356,8.348629,15.341707,4.135567
73,10.120575,8.064808,14.859851,3.757872
74,9.946671,7.718698,14.380690,3.329398
75,9.543680,7.383623,13.687203,2.926058
76,9.355629,6.849374,13.229273,2.338250
77,9.101251,6.593452,12.720971,2.041781
78,8.864553,6.179312,12.245746,1.601529
79,8.812360,5.749934,11.961663,1.160349
80,8.723536,5.744845,11.651650,1.133609
81,8.509046,5.418266,11.233597,0.807357
82,8.228099,5.192343,10.766613,0.583783
83,8.312492,5.047656,10.647024,0.440975
84,8.525432,5.056475,10.647024,0.440975
85,8.581974,4.817511,10.507320,0.219642
86,8.313345,4.635759,10.084335,0.055188
87,8.021904,4.436325,9.653359,-0.120075
88,7.855728,4.237017,9.342718,-0.290342
89,7.862899,2.313704,9.188962,-1.931157
90,7.933345,2.169733,9.092977,-2.020379
91,7.740393,1.885183,8.778740,-2.225065
92,7.631334,1.869325,8.542477,-2.201289
93,8.304927,4.367718,8.955704,-0.111567
94,8.197051,4.226962,8.722086,-0.224331
95,6.260984,3.575657,7.020368,-0.745865
96,4.561418,2.801864,5.550644,-1.352035
97,1.018003,4.925657,2.658444,0.350185
98,1.156528,4.782528,2.725384,0.232444
99,1.202861,4.630854,2.719031,0.110943
100,1.313489,4.381865,2.762364,-0.082587
101,1.372844,4.387476,2.765501,-0.077040
102,1.455289,4.356434,2.786047,-0.099378
103,1.448782,4.187802,2.739326,-0.224496
104,1.408172,4.170892,2.668297,-0.233743
105,1.493971,3.991762,2.692248,-0.362574
106,1.662481,3.921441,2.776241,-0.408773
107,1.849253,3.739256,2.871617,-0.535223
108,1.906685,3.728551,2.871617,-0.535223
109,0.476202,6.290682,1.807406,1.304961
110,0.633313,6.045862,1.893243,1.112713
111,0.671177,6.068117,1.893243,1.112713
112,2.362656,6.570674,3.048464,1.448254
113,2.280853,6.361940,2.949493,1.283479
114,2.377240,6.126625,2.975221,1.103935
115,2.333539,6.127139,2.904750,1.089210
116,2.375653,5.921155,2.893918,0.934828
117,2.428345,5.843204,2.890428,0.869793
118,2.389873,5.738106,2.826100,0.787951
119,2.442760,5.690169,2.823689,0.745691
120,2.543197,5.482985,2.852656,0.599346
121,2.681934,5.377074,2.906116,0.522186
