k,zx,zy,valid
0,3.867232,-1.047113,1
1,-0.272070,1.584398,1
2,-0.838732,-0.127812,1
3,3.114224,1.841927,1
4,-2.207638,2.277983,1
5,-2.593977,-2.677628,1
6,-0.720490,1.950357,1
7,-0.306207,-0.719736,1
8,-2.926450,0.088223,1
9,-1.010698,1.312897,1
10,0.280063,1.857632,1
11,2.061513,3.530198,1
12,1.081799,-2.093987,1
13,1.722235,-0.964964,1
14,-1.582807,-0.876042,1
15,1.862007,1.555139,1
16,-0.717245,-0.798013,1
17,0.599818,2.504142,1
18,0.343906,-0.581541,1
19,4.363129,-0.207268,1
20,-0.006402,-0.059683,1
21,-1.867003,-1.927185,1
22,1.475070,-0.376163,1
23,-1.472354,-0.817641,1
24,-2.136616,-0.952349,1
25,0.233068,1.652469,1
26,0.468887,0.815831,1
27,-0.738300,1.569882,1
28,-2.844492,1.574799,1
29,2.657219,-0.535612,1
30,-0.552823,1.349299,1
31,2.760067,3.151259,1
32,-0.745478,-0.736372,1
33,-4.360867,1.129652,1
34,0.627390,0.938680,1
35,-5.933668,2.081333,1
36,-0.552802,-0.764450,1
37,-2.165294,3.937241,1
38,1.888199,2.074024,1
39,-3.601099,-1.473616,1
40,0.653884,-3.068461,1
41,1.885323,0.789277,1
42,-1.441816,1.807381,1
43,-0.666327,3.416100,1
44,2.201235,0.415243,1
45,3.251719,-0.006308,1
46,1.645952,-2.619172,1
47,-0.992266,1.919710,1
48,0.431973,-0.803637,1
49,-2.681756,2.217554,1
50,1.747667,-1.298372,1
51,2.881473,-1.978050,1
52,2.067884,3.633484,1
53,1.971760,1.771617,1
54,1.591135,-0.613927,1
55,6.031796,-0.357365,1
56,0.742823,1.021860,1
57,0.533364,1.273819,1
58,0.021507,1.066360,1
59,1.746733,-2.634943,1
60,1.160945,-0.910521,1
61,0.955410,1.413759,1
62,4.907964,-0.814427,1
63,2.235114,1.903640,1
64,-0.867425,1.068337,1
65,0.136806,0.402480,1
66,-0.189399,-0.739896,1
67,4.859160,-0.200871,1
68,1.199387,-3.854448,1
69,-1.671154,4.380781,1
70,3.461352,1.676612,1
71,2.521854,-0.876834,1
72,4.388429,3.197426,1
73,3.086550,-0.618399,1
74,1.074711,2.647778,1
75,0.710542,1.280899,1
76,-0.573908,-0.839664,1
77,0.837006,-1.016421,1
78,3.503776,2.605742,1
79,4.333285,3.743196,1
80,2.578947,-0.486183,1
81,3.942248,3.675796,1
82,4.448684,4.016922,1
83,1.577337,-2.694906,1
84,-2.100896,1.520078,1
85,1.899562,2.142731,1
86,4.721255,-2.659744,1
87,0.919894,1.183806,1
88,4.183269,1.378771,1
89,1.313140,2.303113,1
90,3.602060,2.373409,1
91,0.382857,-0.921365,1
92,3.873969,-1.588632,1
93,4.763324,-2.638403,1
94,1.621372,3.861156,1
95,4.425068,1.807709,1
96,4.521753,4.416109,1
97,3.808896,-1.135972,1
98,2.023883,1.801455,1
99,-0.370436,1.193299,1
100,1.973251,3.077329,1
101,1.668268,3.205545,1
102,1.857354,3.033972,1
103,2.527443,-1.202632,1
104,0.090375,1.356246,1
105,1.166218,-0.313653,1
106,3.928388,2.105382,1
107,3.264869,1.459234,1
108,2.704957,-1.004325,1
109,1.965594,0.595981,1
110,6.390173,-0.944007,1
111,2.129705,4.031836,1
112,2.868813,2.274010,1
113,1.049649,-2.032643,1
114,-0.023537,2.140293,1
115,3.865886,-1.155935,1
116,4.026447,-0.397885,1
117,3.905991,4.185434,1
118,1.832905,0.881514,1
119,2.846338,0.781432,1
120,3.429495,-0.714595,1
121,3.986971,5.101588,1
122,-4.725824,-0.640262,1
123,1.216106,2.673235,1
124,0.282908,1.184770,1
125,5.915001,2.234721,1
126,4.796364,3.561018,1
127,4.237796,3.524786,1
128,-0.036259,3.935076,1
129,1.310919,2.439972,1
130,3.487345,0.495653,1
131,2.770878,1.275936,1
132,5.138907,1.052496,1
133,1.059141,0.879307,1
134,7.189993,4.621041,1
135,2.355734,-0.003204,1
136,3.549134,5.122957,1
137,2.888223,1.014108,1
138,2.141750,1.336367,1
139,3.301113,0.483835,1
140,2.016612,3.173433,1
141,1.116728,4.639358,1
142,0.098175,1.607860,1
143,6.406374,-1.257636,1
144,6.780540,1.361376,1
145,5.001655,2.121872,1
146,4.947348,2.740184,1
147,3.400337,0.819462,1
148,0.785405,2.066091,1
149,0.113303,1.089360,1
150,2.859868,0.644440,1
151,5.244511,2.713326,1
152,3.063601,1.509781,1
153,5.139140,-0.470970,1
154,3.972582,4.494065,1
155,2.492056,2.996034,1
156,4.558518,3.470840,1
157,1.692987,2.105186,1
158,5.529367,1.496541,1
159,3.340457,1.826901,1
160,2.168632,1.269566,1
161,1.458906,-2.038385,1
162,1.231974,3.512194,1
163,1.396175,4.100260,1
164,8.082498,4.438241,1
165,4.774197,3.574107,1
166,2.850985,3.404232,1
167,6.056049,2.323906,1
168,3.268315,2.062094,1
169,0.547639,-1.368961,1
170,5.470125,3.015037,1
171,3.144725,1.603583,1
172,3.271208,2.488906,1
173,4.019981,0.662397,1
174,0.222450,2.729193,1
175,4.599054,-0.702953,1
176,5.935059,0.648745,1
177,6.465223,0.756301,1
178,3.226674,-0.237325,1
179,4.582411,-0.808182,1
180,3.379127,4.949005,1
181,3.624817,-0.047227,1
182,3.922198,-2.636140,1
183,2.582769,3.024895,1
184,5.661005,5.607235,1
185,5.487094,1.656556,1
186,0.126231,4.993030,1
187,1.865232,0.765770,1
188,2.858790,0.986252,1
189,5.570265,4.944438,1
190,1.271652,3.617430,1
191,5.356366,-1.123866,1
192,4.526020,0.694888,1
193,1.876486,0.413807,1
194,3.146152,-1.420808,1
195,5.835477,3.453677,1
196,5.017414,3.804303,1
197,2.974458,2.005349,1
198,3.778147,2.048340,1
199,4.374148,3.680526,1
200,3.534913,-1.183782,1
201,3.109427,-0.260400,1
202,4.009616,4.756392,1
203,1.265916,1.651155,1
204,1.628729,2.767301,1
205,0.881449,-1.789048,1
206,1.498445,0.353249,1
207,2.573716,2.937072,1
208,6.954620,5.851214,1
209,2.728388,0.181474,1
210,4.956068,1.133492,1
211,2.846280,0.733812,1
212,8.609729,-2.169138,1
213,5.544271,0.977179,1
214,10.014599,0.648218,1
215,2.143663,4.415927,1
216,7.577146,2.756369,1
217,4.213042,2.214134,1
218,5.985330,0.902495,1
219,5.614156,0.317655,1
220,6.916848,2.830642,1
221,4.540233,0.706151,1
222,3.933930,2.163414,1
223,2.673560,1.028678,1
224,-1.974291,0.597014,1
225,6.340239,-1.474323,1
226,3.241028,-2.809384,1
