k,yx,yy,Sx,Sy,NIS,q,r
116,-2.271429,-5.894342,4.141265,4.141265,9.635380,1.000000,4.000000
117,4.499741,0.290699,4.140148,4.140148,4.910978,1.000000,4.000000
118,-6.403742,1.321019,4.139052,4.139052,10.329180,1.000000,4.000000
119,6.076967,-3.535199,4.137975,4.137975,11.944769,1.000000,4.000000
120,-0.781894,1.792501,4.136918,4.136918,0.924460,1.000000,4.000000
121,5.678028,-12.913092,4.135881,4.135881,48.112595,1.000000,4.000000
122,-11.575786,2.921506,4.134862,4.134862,34.471288,1.000000,4.000000
123,7.030424,0.530989,4.133861,4.133861,12.024788,1.000000,4.000000
124,1.621767,-7.144156,4.132879,4.132879,12.985885,1.000000,4.000000
125,-4.114315,-6.523007,4.131914,4.131914,14.394590,1.000000,4.000000
126,5.035512,6.915735,4.130966,4.130966,17.715898,1.000000,4.000000
127,8.173199,14.858030,4.130035,4.130035,69.627074,1.000000,4.000000
128,-8.246994,6.631644,4.129120,4.129120,27.122391,1.000000,4.000000
129,-5.793032,-3.960381,4.128222,4.128222,11.928583,1.000000,4.000000
130,6.662703,3.252656,4.127339,4.127339,13.318843,1.000000,4.000000
131,3.663256,12.421147,4.126472,4.126472,40.641094,1.000000,4.000000
132,9.018528,-5.052961,4.125620,4.125620,25.903076,1.000000,4.000000
133,-8.140087,-2.467273,4.124783,4.124783,17.539940,1.000000,4.000000
134,10.248655,-1.083063,4.123961,4.123961,25.753871,1.000000,4.000000
135,-5.141537,-0.244545,4.123152,4.123152,6.425960,1.000000,4.000000
136,2.514059,-3.224657,4.122358,4.122358,4.055667,1.000000,4.000000
137,-2.983855,-1.823747,4.121577,4.121577,2.967176,1.000000,4.000000
138,-1.711054,-2.174705,4.120810,4.120810,1.858141,1.000000,4.000000
139,-7.804267,1.459787,4.120056,4.120056,15.300170,1.000000,4.000000
140,-1.102089,-10.905536,4.119315,4.119315,29.166334,1.000000,4.000000
141,9.087123,-4.476709,4.118587,4.118587,24.915518,1.000000,4.000000
142,3.144686,-6.718477,4.117871,4.117871,13.362969,1.000000,4.000000
143,-3.839085,-7.453452,4.117167,4.117167,17.073029,1.000000,4.000000
144,-11.575171,-0.249551,4.116475,4.116475,32.563503,1.000000,4.000000
145,1.091247,-3.663037,4.115795,4.115795,3.549413,1.000000,4.000000
146,8.807884,4.637761,4.115127,4.115127,24.078879,1.000000,4.000000
147,-0.506071,-6.975191,4.114470,4.114470,11.887168,1.000000,4.000000
148,1.407893,6.552344,4.113824,4.113824,10.918156,1.000000,4.000000
149,-4.744273,6.694439,4.113189,4.113189,16.367746,1.000000,4.000000
150,1.850472,-7.705544,4.112565,4.112565,15.270190,1.000000,4.000000
151,1.213627,-1.314467,4.111951,4.111951,0.778393,1.000000,4.000000
152,-3.176236,3.582701,4.111348,4.111348,5.575841,1.000000,4.000000
153,7.103035,-7.093951,4.110755,4.110755,24.515506,1.000000,4.000000
154,5.406635,1.779961,4.110172,4.110172,7.882873,1.000000,4.000000
155,5.528276,-1.893039,4.109599,4.109599,8.308702,1.000000,4.000000
156,-5.439368,0.667337,4.109036,4.109036,7.308785,1.000000,4.000000
157,1.153550,5.972651,4.108482,4.108482,9.006547,1.000000,4.000000
158,5.100811,-6.685367,4.107937,4.107937,17.213603,1.000000,4.000000
159,4.088465,-15.445819,4.107402,4.107402,62.153372,1.000000,4.000000
160,-10.252009,5.275643,4.106875,4.106875,32.369156,1.000000,4.000000
161,12.509364,-4.571852,4.106358,4.106358,43.197896,1.000000,4.000000
162,6.650478,1.591089,4.105849,4.105849,11.388734,1.000000,4.000000
163,9.111617,11.644567,4.105349,4.105349,53.251868,1.000000,4.000000
164,1.551409,2.480974,4.104858,4.104858,2.085847,1.000000,4.000000
165,2.036684,-5.703538,4.104374,4.104374,8.936423,1.000000,4.000000
166,2.072948,-11.458992,4.103899,4.103899,33.043113,1.000000,4.000000
167,3.787387,-6.063199,4.103432,4.103432,12.454616,1.000000,4.000000
168,-2.215549,-9.576835,4.102973,4.102973,23.549854,1.000000,4.000000
169,1.844554,-5.966050,4.102522,4.102522,9.505404,1.000000,4.000000
170,-0.143840,3.568094,4.102079,4.102079,3.108663,1.000000,4.000000
171,5.571261,-3.583668,4.101643,4.101643,10.698549,1.000000,4.000000
172,9.302321,11.229886,4.101214,4.101214,51.848915,1.000000,4.000000
173,2.963132,3.679299,4.100793,4.100793,5.442213,1.000000,4.000000
174,1.952056,8.396684,4.100379,4.100379,18.123888,1.000000,4.000000
175,-8.205581,0.545577,4.099973,4.099973,16.495040,1.000000,4.000000
176,-3.813575,4.241474,4.099573,4.099573,7.935816,1.000000,4.000000
177,-1.956469,-12.773386,4.099180,4.099180,40.736724,1.000000,4.000000
178,8.925931,3.040442,4.098794,4.098794,21.693339,1.000000,4.000000
179,10.472726,9.665858,4.098415,4.098415,49.557404,1.000000,4.000000
180,-3.383679,-0.289907,4.098042,4.098042,2.814351,1.000000,4.000000
181,-3.528652,0.072978,4.097676,4.097676,3.039945,1.000000,4.000000
182,-0.893396,2.823602,4.097316,4.097316,2.140641,1.000000,4.000000
183,5.171300,6.928164,4.096963,4.096963,18.243225,1.000000,4.000000
184,-15.186935,-4.676529,4.096615,4.096615,61.639401,1.000000,4.000000
185,8.465871,-3.292629,4.096274,4.096274,20.143275,1.000000,4.000000
186,10.169235,1.873609,4.095939,4.095939,26.104820,1.000000,4.000000
