k,yx,yy,Sx,Sy,NIS,q,r
0,4.116433,-4.493524,29.004000,29.004000,1.280402,1.000000,4.000000
1,-4.898392,6.158619,7.453455,7.453455,8.307936,1.000000,4.000000
2,-1.557429,6.737040,5.862227,5.862227,8.156167,1.000000,4.000000
3,-2.054070,-3.571983,5.283440,5.283440,3.213488,1.000000,4.000000
4,0.468027,-2.914002,4.988342,4.988342,1.746162,1.000000,4.000000
5,-0.509386,-1.024014,4.813035,4.813035,0.271778,1.000000,4.000000
6,-1.940358,-0.949931,4.699955,4.699955,0.993064,1.000000,4.000000
7,2.278906,4.997123,4.623583,4.623583,6.524087,1.000000,4.000000
8,-0.286691,0.071596,4.570779,4.570779,0.019104,1.000000,4.000000
9,-0.744510,-0.502037,4.534005,4.534005,0.177842,1.000000,4.000000
10,0.167061,4.317291,4.508548,4.508548,4.140338,1.000000,4.000000
11,-2.073943,2.097190,4.491253,4.491253,1.936975,1.000000,4.000000
12,-0.892649,-1.389026,4.479879,4.479879,0.608547,1.000000,4.000000
13,3.730286,2.493381,4.472769,4.472769,4.501010,1.000000,4.000000
14,1.553639,2.504129,4.468656,4.468656,1.943416,1.000000,4.000000
15,-2.406369,-1.283851,4.466553,4.466553,1.665464,1.000000,4.000000
16,-0.409672,-2.165667,4.465694,4.465694,1.087837,1.000000,4.000000
17,5.243138,-0.832700,4.465482,4.465482,6.311500,1.000000,4.000000
18,-1.128454,-2.937488,4.465466,4.465466,2.217517,1.000000,4.000000
19,2.037288,-0.922504,4.465314,4.465314,1.120090,1.000000,4.000000
20,-1.548160,-2.580915,4.464793,4.464793,2.028744,1.000000,4.000000
21,-0.212412,-2.080094,4.463751,4.463751,0.979425,1.000000,4.000000
22,-2.232926,0.526579,4.462101,4.462101,1.179544,1.000000,4.000000
23,0.134664,2.047359,4.459808,4.459808,0.943945,1.000000,4.000000
24,3.127782,3.091439,4.456873,4.456873,4.339368,1.000000,4.000000
25,-1.320140,-1.329585,4.453326,4.453326,0.788302,1.000000,4.000000
26,-0.300290,-1.510620,4.449213,4.449213,0.533161,1.000000,4.000000
27,-0.737212,-2.492560,4.444595,4.444595,1.520125,1.000000,4.000000
28,2.402504,-1.655332,4.439535,4.439535,1.917352,1.000000,4.000000
29,2.350176,-0.289687,4.434099,4.434099,1.264574,1.000000,4.000000
30,1.062519,0.410006,4.428351,4.428351,0.292897,1.000000,4.000000
31,-0.962552,-1.395960,4.422353,4.422353,0.650154,1.000000,4.000000
32,3.805323,2.971767,4.416161,4.416161,5.278767,1.000000,4.000000
33,-1.258996,-0.057602,4.409826,4.409826,0.360193,1.000000,4.000000
34,1.621720,-0.254330,4.403395,4.403395,0.611951,1.000000,4.000000
35,-2.834571,-4.972932,4.396907,4.396907,7.451795,1.000000,4.000000
36,-1.341095,2.484105,4.390396,4.390396,1.815169,1.000000,4.000000
37,-0.002365,1.129442,4.383895,4.383895,0.290984,1.000000,4.000000
38,-0.286528,-1.275302,4.377426,4.377426,0.390297,1.000000,4.000000
39,1.649335,-1.067104,4.371013,4.371013,0.882866,1.000000,4.000000
40,2.544259,-2.523154,4.364672,4.364672,2.941701,1.000000,4.000000
41,-0.484206,1.597955,4.358419,4.358419,0.639662,1.000000,4.000000
42,1.823952,-0.154292,4.352265,4.352265,0.769854,1.000000,4.000000
43,1.121387,0.180488,4.346218,4.346218,0.296829,1.000000,4.000000
44,-6.831646,1.347084,4.340287,4.340287,11.171155,1.000000,4.000000
45,-2.721691,0.073901,4.334477,4.334477,1.710255,1.000000,4.000000
46,1.277284,1.594038,4.328792,4.328792,0.963874,1.000000,4.000000
47,-0.359393,-1.227291,4.323233,4.323233,0.378283,1.000000,4.000000
48,-0.411011,1.114053,4.317803,4.317803,0.326565,1.000000,4.000000
49,-1.862306,-1.037607,4.312502,4.312502,1.053869,1.000000,4.000000
50,-4.239570,0.457536,4.307330,4.307330,4.221477,1.000000,4.000000
51,0.238201,2.405863,4.302286,4.302286,1.358561,1.000000,4.000000
52,0.810875,-0.050442,4.297369,4.297369,0.153597,1.000000,4.000000
53,0.376285,2.026796,4.292577,4.292577,0.989963,1.000000,4.000000
54,-1.909464,1.105103,4.287908,4.287908,1.135123,1.000000,4.000000
55,-3.959502,5.363082,4.283359,4.283359,10.375106,1.000000,4.000000
56,-2.598164,1.495759,4.278929,4.278929,2.100467,1.000000,4.000000
57,-3.375260,2.393118,4.274613,4.274613,4.004900,1.000000,4.000000
58,1.185017,0.231018,4.270410,4.270410,0.341334,1.000000,4.000000
59,-1.757816,-0.231284,4.266317,4.266317,0.736797,1.000000,4.000000
60,0.878907,2.754895,4.262330,4.262330,1.961820,1.000000,4.000000
61,0.798519,1.330098,4.258448,4.258448,0.565181,1.000000,4.000000
62,1.848360,-0.632932,4.254666,4.254666,0.897141,1.000000,4.000000
63,0.273715,1.997209,4.250982,4.250982,0.955959,1.000000,4.000000
64,1.310322,0.854639,4.247393,4.247393,0.576201,1.000000,4.000000
65,0.015696,-0.008845,4.243896,4.243896,0.000076,1.000000,4.000000
66,0.077947,4.755929,4.240489,4.240489,5.335455,1.000000,4.000000
67,1.391050,0.519316,4.237169,4.237169,0.520326,1.000000,4.000000
68,-1.133864,0.711974,4.233932,4.233932,0.423378,1.000000,4.000000
69,1.073212,0.232417,4.230777,4.230777,0.285007,1.000000,4.000000
70,2.369278,2.175231,4.227701,4.227701,2.446982,1.000000,4.000000
71,-3.799127,-2.358546,4.224702,4.224702,4.733140,1.000000,4.000000
72,-1.081400,0.641342,4.221776,4.221776,0.374426,1.000000,4.000000
73,2.007779,-0.404492,4.218922,4.218922,0.994280,1.000000,4.000000
74,-0.807968,-4.518749,4.216138,4.216138,4.997916,1.000000,4.000000
75,1.813568,0.361473,4.213421,4.213421,0.811619,1.000000,4.000000
76,2.293365,0.256383,4.210770,4.210770,1.264675,1.000000,4.000000
77,1.926401,1.226817,4.208182,4.208182,1.239514,1.000000,4.000000
78,-2.394889,-0.404635,4.205655,4.205655,1.402689,1.000000,4.000000
79,-0.355527,0.560767,4.203187,4.203187,0.104887,1.000000,4.000000
80,0.290044,-3.363122,4.200778,4.200778,2.712526,1.000000,4.000000
81,-0.285362,-1.091841,4.198424,4.198424,0.303340,1.000000,4.000000
82,1.868991,0.683130,4.196124,4.196124,0.943679,1.000000,4.000000
83,0.705670,-1.235212,4.193876,4.193876,0.482542,1.000000,4.000000
84,1.639625,0.670047,4.191680,4.191680,0.748467,1.000000,4.000000
85,3.592658,-0.489761,4.189533,4.189533,3.138072,1.000000,4.000000
86,-0.133478,1.862768,4.187434,4.187434,0.832902,1.000000,4.000000
87,0.014805,-1.693840,4.185382,4.185382,0.685556,1.000000,4.000000
88,3.280688,2.821996,4.183374,4.183374,4.476428,1.000000,4.000000
89,-0.420097,0.009722,4.181411,4.181411,0.042229,1.000000,4.000000
90,-0.731443,-0.472439,4.179490,4.179490,0.181411,1.000000,4.000000
91,2.230405,-0.789469,4.177611,4.177611,1.339993,1.000000,4.000000
92,-3.161510,1.147595,4.175772,4.175772,2.708990,1.000000,4.000000
93,0.172311,-2.245901,4.173972,4.173972,1.215572,1.000000,4.000000
94,0.026173,-2.866979,4.172210,4.172210,1.970240,1.000000,4.000000
95,0.479921,3.596099,4.170485,4.170485,3.156048,1.000000,4.000000
96,-1.957269,-1.025169,4.168796,4.168796,1.171051,1.000000,4.000000
97,0.814967,-2.959434,4.167142,4.167142,2.261123,1.000000,4.000000
98,2.128941,2.114178,4.165521,4.165521,2.161108,1.000000,4.000000
99,-0.291129,-1.570165,4.163934,4.163934,0.612443,1.000000,4.000000
100,-2.428755,1.854390,4.162379,4.162379,2.243336,1.000000,4.000000
