k,yx,yy,Sx,Sy,NIS,q,r
0,-1.325848,-2.473278,29.004000,29.004000,0.271514,1.000000,4.000000
1,1.923150,-0.443581,7.453455,7.453455,0.522613,1.000000,4.000000
2,-0.072628,1.161528,5.862227,5.862227,0.231042,1.000000,4.000000
3,-0.665640,-1.184972,5.283440,5.283440,0.349627,1.000000,4.000000
4,2.642992,0.800031,4.988342,4.988342,1.528656,1.000000,4.000000
5,0.212646,2.204025,4.813035,4.813035,1.018680,1.000000,4.000000
6,1.795636,0.760076,4.699955,4.699955,0.808949,1.000000,4.000000
7,-1.815673,2.051482,4.623583,4.623583,1.623253,1.000000,4.000000
8,0.065705,2.499207,4.570779,4.570779,1.367459,1.000000,4.000000
9,-0.640378,-1.757734,4.534005,4.534005,0.771881,1.000000,4.000000
10,0.777261,-0.319598,4.508548,4.508548,0.156653,1.000000,4.000000
11,-2.323460,4.705523,4.491253,4.491253,6.132012,1.000000,4.000000
12,-0.360124,-1.027179,4.479879,4.479879,0.264468,1.000000,4.000000
13,-1.435545,4.584240,4.472769,4.472769,5.159229,1.000000,4.000000
14,-1.361146,0.409617,4.468656,4.468656,0.452151,1.000000,4.000000
15,-0.695422,-1.681163,4.466553,4.466553,0.741046,1.000000,4.000000
16,2.995479,-0.970337,4.465694,4.465694,2.220136,1.000000,4.000000
17,-0.998195,-0.189923,4.465482,4.465482,0.231210,1.000000,4.000000
18,-0.001334,1.436560,4.465466,4.465466,0.462148,1.000000,4.000000
19,-0.613326,-5.870367,4.465314,4.465314,7.801775,1.000000,4.000000
20,-1.263532,2.681857,4.464793,4.464793,1.968482,1.000000,4.000000
21,6.948420,1.096481,4.463751,4.463751,11.085476,1.000000,4.000000
22,0.149173,-0.795103,4.462101,4.462101,0.146667,1.000000,4.000000
23,-1.608551,-1.056052,4.459808,4.459808,0.830234,1.000000,4.000000
24,-1.204713,2.586915,4.456873,4.456873,1.827170,1.000000,4.000000
25,-1.899316,-1.281492,4.453326,4.453326,1.178809,1.000000,4.000000
26,1.645582,1.705302,4.449213,4.449213,1.262245,1.000000,4.000000
27,-1.372610,1.234622,4.444595,4.444595,0.766853,1.000000,4.000000
28,0.057505,-0.580423,4.439535,4.439535,0.076629,1.000000,4.000000
29,0.043349,-1.934761,4.434099,4.434099,0.844632,1.000000,4.000000
30,3.054955,1.509137,4.428351,4.428351,2.621799,1.000000,4.000000
31,3.798931,-0.666725,4.422353,4.422353,3.363910,1.000000,4.000000
32,0.773794,1.980732,4.416161,4.416161,1.023979,1.000000,4.000000
33,1.022618,0.265103,4.409826,4.409826,0.253077,1.000000,4.000000
34,-0.564296,-5.263566,4.403395,4.403395,6.364080,1.000000,4.000000
35,-1.220789,1.195392,4.396907,4.396907,0.663941,1.000000,4.000000
36,-2.066577,-0.448503,4.390396,4.390396,1.018563,1.000000,4.000000
37,2.152357,-0.116177,4.383895,4.383895,1.059819,1.000000,4.000000
38,-1.650535,1.333087,4.377426,4.377426,1.028318,1.000000,4.000000
39,0.545865,2.521121,4.371013,4.371013,1.522306,1.000000,4.000000
40,1.530230,-0.263581,4.364672,4.364672,0.552408,1.000000,4.000000
41,-1.053161,-0.709991,4.358419,4.358419,0.370142,1.000000,4.000000
42,-0.866472,2.870103,4.352265,4.352265,2.065193,1.000000,4.000000
43,-1.199169,5.859819,4.346218,4.346218,8.231405,1.000000,4.000000
44,2.454661,-1.532508,4.340287,4.340287,1.929352,1.000000,4.000000
45,0.664787,-0.061438,4.334477,4.334477,0.102831,1.000000,4.000000
46,-1.071740,-0.224681,4.328792,4.328792,0.277008,1.000000,4.000000
47,-4.481098,0.895398,4.323233,4.323233,4.830175,1.000000,4.000000
48,0.833832,-1.210662,4.317803,4.317803,0.500481,1.000000,4.000000
49,0.253503,-3.323257,4.312502,4.312502,2.575836,1.000000,4.000000
50,-1.896290,0.078774,4.307330,4.307330,0.836277,1.000000,4.000000
51,2.041421,0.445004,4.302286,4.302286,1.014676,1.000000,4.000000
52,6.944386,1.029246,4.297369,4.297369,11.468375,1.000000,4.000000
53,-2.506299,-0.352015,4.292577,4.292577,1.492215,1.000000,4.000000
54,0.289209,-2.096500,4.287908,4.287908,1.044555,1.000000,4.000000
55,-0.923800,-0.216533,4.283359,4.283359,0.210184,1.000000,4.000000
56,1.127470,-0.616085,4.278929,4.278929,0.385786,1.000000,4.000000
57,1.712658,1.989740,4.274613,4.274613,1.612371,1.000000,4.000000
58,-0.882342,-5.155272,4.270410,4.270410,6.405792,1.000000,4.000000
59,0.818339,-4.241188,4.266317,4.266317,4.373177,1.000000,4.000000
60,-0.415556,0.688846,4.262330,4.262330,0.151841,1.000000,4.000000
61,-1.168266,-0.835019,4.258448,4.258448,0.484238,1.000000,4.000000
62,0.451300,1.682816,4.254666,4.254666,0.713462,1.000000,4.000000
63,2.096190,-0.282310,4.250982,4.250982,1.052395,1.000000,4.000000
64,-0.080062,-2.164073,4.247393,4.247393,1.104118,1.000000,4.000000
65,0.041810,0.269627,4.243896,4.243896,0.017542,1.000000,4.000000
66,-1.051272,-1.014160,4.240489,4.240489,0.503171,1.000000,4.000000
67,-1.699369,-0.063772,4.237169,4.237169,0.682513,1.000000,4.000000
68,0.916752,-1.492237,4.233932,4.233932,0.724434,1.000000,4.000000
69,0.988140,-0.649803,4.230777,4.230777,0.330593,1.000000,4.000000
70,0.193263,-0.113456,4.227701,4.227701,0.011879,1.000000,4.000000
71,2.722989,-7.623908,4.224702,4.224702,15.513200,1.000000,4.000000
72,-0.547183,-0.274182,4.221776,4.221776,0.088727,1.000000,4.000000
73,0.919114,0.092632,4.218922,4.218922,0.202268,1.000000,4.000000
74,-0.618326,-1.180965,4.216138,4.216138,0.421477,1.000000,4.000000
75,2.950014,-3.375411,4.213421,4.213421,4.769516,1.000000,4.000000
76,-3.503013,0.466464,4.210770,4.210770,2.965892,1.000000,4.000000
77,-0.468109,-0.489928,4.208182,4.208182,0.109110,1.000000,4.000000
78,-0.790374,-0.927564,4.205655,4.205655,0.353112,1.000000,4.000000
79,1.171303,-2.020647,4.203187,4.203187,1.297816,1.000000,4.000000
80,5.200037,-1.858231,4.200778,4.200778,7.258990,1.000000,4.000000
81,-0.608604,-0.273596,4.198424,4.198424,0.106053,1.000000,4.000000
82,-3.414822,-1.301949,4.196124,4.196124,3.182957,1.000000,4.000000
83,1.611226,2.034452,4.193876,4.193876,1.605924,1.000000,4.000000
84,-0.751885,-1.949840,4.191680,4.191680,1.041875,1.000000,4.000000
85,-2.191673,-2.471401,4.189533,4.189533,2.604408,1.000000,4.000000
86,-2.121060,-1.255968,4.187434,4.187434,1.451092,1.000000,4.000000
87,1.708517,-1.100615,4.185382,4.185382,0.986859,1.000000,4.000000
88,1.326271,-1.185923,4.183374,4.183374,0.756664,1.000000,4.000000
89,-1.102745,2.026470,4.181411,4.181411,1.272926,1.000000,4.000000
90,0.412267,-0.920876,4.179490,4.179490,0.243565,1.000000,4.000000
91,0.444047,1.698996,4.177611,4.177611,0.738165,1.000000,4.000000
92,-2.055690,1.212900,4.175772,4.175772,1.364296,1.000000,4.000000
93,-0.615157,3.388700,4.173972,4.173972,2.841827,1.000000,4.000000
