k,x,y,vx,vy
0,9.191712,-1.549622,0.073523,-0.012395
1,8.443439,-2.683025,0.024119,-0.087065
2,6.686170,-3.561125,-0.279798,-0.238588
3,8.825915,-2.241316,0.420929,0.194056
4,6.277503,-0.453089,-0.914539,1.126044
5,4.733237,-0.626458,-2.062697,0.978655
6,4.626624,-1.971915,-2.128493,-0.395515
7,2.197072,-1.363876,-5.167190,0.388607
8,1.516392,-0.602328,-6.055473,1.548356
9,1.516311,0.161702,-5.838670,2.861517
10,1.003808,0.513613,-6.638569,3.457164
11,0.945774,-0.219365,-6.472537,1.675215
12,0.426306,-0.880199,-7.403954,0.017034
13,1.543590,0.120031,-4.215035,2.536916
14,0.802925,0.209930,-5.934003,2.639475
15,0.537167,-0.492115,-6.329249,0.611002
16,0.888171,-0.875057,-5.025886,-0.467413
17,-0.030899,-2.289173,-7.275419,-4.327978
18,0.133662,-2.555136,-6.423132,-4.821104
19,-0.520888,-4.056337,-7.861584,-8.662115
20,-0.707091,-3.538967,-7.940040,-6.791906
21,0.000719,-3.869041,-5.623718,-7.311071
22,0.106486,-4.268052,-5.049533,-7.976150
23,-0.032258,-3.410143,-5.147097,-5.346849
24,0.950510,-3.448893,-2.395657,-5.174045
25,1.433050,-2.926170,-1.079020,-3.619748
26,1.496212,-4.033160,-0.873200,-6.132561
27,0.640234,-2.981512,-2.864703,-3.343555
28,0.697003,-2.952153,-2.599916,-3.120166
29,0.167565,-2.867965,-3.682899,-2.787650
30,0.320797,-2.347744,-3.180093,-1.511249
31,0.766527,-1.821183,-2.077427,-0.305849
32,0.612710,-1.913340,-2.314878,-0.487825
33,0.878440,-1.551812,-1.670082,0.279423
34,0.218124,-0.971984,-2.936040,1.439013
35,0.699135,-1.966795,-1.870777,-0.581237
36,0.393343,-1.689721,-2.388611,-0.024192
37,0.521158,-1.851263,-2.057314,-0.328076
38,0.153713,-0.841785,-2.659512,1.547067
39,0.248851,0.123998,-2.391674,3.235126
40,0.531733,-0.451032,-1.807206,2.104539
41,0.300560,-0.233284,-2.144644,2.408461
42,1.155458,0.225135,-0.623403,3.103600
43,1.849266,-0.052654,0.548960,2.539457
44,1.654946,-0.252143,0.215015,2.132347
45,1.114950,0.419858,-0.652872,3.135859
46,0.983248,0.209763,-0.838376,2.709313
47,0.920593,-0.553284,-0.908750,1.456001
48,0.771519,-0.543151,-1.105716,1.427431
49,0.305169,-0.656073,-1.761780,1.218502
50,-0.242954,-0.814257,-2.505412,0.953818
51,0.072311,-1.155536,-1.985170,0.440721
52,0.146075,-1.080079,-1.826462,0.533933
53,0.580846,-0.984467,-1.178716,0.650664
54,0.322996,-0.977355,-1.495188,0.642692
55,-0.208386,-0.776004,-2.161196,0.893034
56,-0.045314,-0.302719,-1.891762,1.487843
57,0.224108,-0.145799,-1.497021,1.651213
58,-0.178859,0.077550,-1.968550,1.891795
59,-0.780100,-0.120328,-2.667544,1.598555
