k,x,y,vx,vy
0,2.273150,-3.544953,0.018183,-0.028356
1,2.184954,-1.677990,0.012347,0.094706
2,-0.163107,-1.267032,-0.393678,0.165434
3,0.486119,-2.312230,-0.179051,-0.177037
4,-1.124248,-2.162848,-1.018297,-0.097163
5,-1.703060,-2.483579,-1.438477,-0.337022
6,-0.879615,-0.394171,-0.580556,1.773161
7,-1.204768,-0.688758,-0.979705,1.352998
8,-0.884765,-0.716708,-0.457204,1.268361
9,-1.416878,-0.723687,-1.394016,1.210417
10,-2.541489,-0.223530,-3.610872,2.172467
11,-1.316604,-0.701387,-0.729296,1.014359
12,-0.712401,-0.788908,0.748462,0.756897
13,-0.667965,0.323607,0.822721,3.522464
14,-0.453779,-0.760157,1.340566,0.499667
15,-1.337738,-2.065468,-1.106954,-3.034961
16,-1.461843,-1.909140,-1.385224,-2.442684
17,-2.601615,-2.333743,-4.441395,-3.475312
18,-3.836391,-3.041572,-7.591262,-5.229872
19,-2.064166,-3.377626,-2.330439,-5.862730
20,-1.789094,-3.422786,-1.459312,-5.667496
21,-1.698175,-3.376658,-1.138290,-5.241234
22,-1.016560,-2.769466,0.714912,-3.367943
23,-0.313616,-3.538498,2.494546,-5.181244
24,-0.336965,-2.572622,2.308941,-2.470883
25,0.880408,-1.832669,5.215955,-0.511590
26,1.275370,-1.828731,5.921864,-0.477175
27,2.096671,-2.143519,7.591192,-1.202142
28,2.244385,-1.791703,7.581653,-0.329620
29,2.759538,-1.355976,8.406229,0.673698
30,2.526912,-0.758702,7.518137,1.967445
31,2.748097,-0.635518,7.671461,2.148942
32,2.786313,0.239836,7.427781,3.909430
33,3.181134,0.158555,7.936682,3.579892
34,3.072579,-0.266077,7.396934,2.577832
35,3.338147,1.230611,7.629098,5.430069
36,3.389620,0.660163,7.434006,4.119840
37,3.309050,0.530601,7.001459,3.719916
38,2.889161,0.673514,5.968107,3.846364
39,3.211511,0.878075,6.334644,4.076834
40,3.367394,0.853727,6.386232,3.889706
41,2.801050,1.343348,5.185355,4.602249
42,1.964455,1.415240,3.592079,4.568100
43,1.601744,0.765501,2.870756,3.337932
44,1.392720,0.842099,2.437358,3.353937
45,1.186290,0.814340,2.030474,3.202716
46,1.315413,0.810459,2.168867,3.096498
47,1.803865,0.455415,2.851436,2.457026
48,2.414241,0.715090,3.684071,2.773822
49,2.660921,0.858566,3.939561,2.903783
50,2.652787,0.686864,3.813528,2.570629
51,2.525282,0.370672,3.523379,2.047210
52,2.335957,-0.285650,3.160006,1.071939
53,2.409041,-0.008269,3.173590,1.423700
54,1.396862,0.211450,1.720545,1.682045
55,1.661045,-0.146018,2.025702,1.162617
56,2.135390,0.085975,2.592310,1.435244
57,1.913419,-0.018204,2.240530,1.264526
58,1.543710,0.242571,1.716550,1.562193
59,2.086441,0.603456,2.349025,1.972283
60,2.049253,-0.222612,2.245948,0.912331
61,1.635712,-0.623210,1.693118,0.407270
62,1.256790,-0.883897,1.202893,0.088005
63,0.628969,-0.598896,0.440256,0.419370
64,0.844310,-0.525559,0.678337,0.494241
65,1.028157,-0.684510,0.871787,0.302432
66,0.685301,-0.145308,0.468304,0.899499
67,0.176712,0.190197,-0.103598,1.250085
68,0.704506,0.217564,0.473360,1.252660
69,0.611825,1.165085,0.363650,2.243419
70,0.322487,0.646657,0.049363,1.646552
71,-0.153017,0.533056,-0.448836,1.493345
72,-0.324107,1.125081,-0.616122,2.073438
73,-0.061849,0.820236,-0.336429,1.720676
74,0.189987,0.336537,-0.076393,1.199616
75,-0.145851,0.211845,-0.408398,1.051957
76,0.657262,0.388426,0.387346,1.204519
77,1.181469,0.700852,0.887751,1.483891
78,1.163403,1.469778,0.853459,2.191564
79,1.452917,1.297776,1.111181,1.987395
80,1.608478,1.276730,1.235840,1.930557
81,1.720932,1.689837,1.316923,2.276650
82,1.179550,1.836589,0.798219,2.369129
83,1.049618,1.564771,0.666411,2.080754
84,0.726332,1.597459,0.365662,2.072778
85,0.991570,1.495191,0.593595,1.945768
86,1.058178,1.458188,0.641446,1.879399
87,1.148873,1.267162,0.708796,1.681659
88,1.268710,1.263483,0.799232,1.649724
89,1.224328,1.244394,0.748097,1.605606
90,1.008807,0.931515,0.554850,1.316349
91,1.048211,0.752570,0.578345,1.145969
92,0.819998,1.170579,0.381293,1.470655
93,0.927350,1.487882,0.462448,1.704931
94,1.190392,1.404394,0.666985,1.610165
95,1.244518,0.989341,0.699544,1.253138
96,1.888691,0.644984,1.197873,0.961011
97,1.529946,0.723179,0.898044,1.007216
98,1.456693,1.040698,0.827235,1.238067
99,1.640716,0.981483,0.956077,1.173463
100,1.566506,0.878864,0.884914,1.077325
101,1.563036,1.072879,0.868916,1.207675
102,1.687729,1.452329,0.949322,1.473884
103,1.784589,1.153534,1.007172,1.230019
104,1.670144,1.146125,0.908031,1.206440
105,1.691577,1.143915,0.910422,1.187199
106,1.574649,1.418098,0.812509,1.368655
107,1.402562,1.414320,0.677150,1.346266
108,1.772682,1.755347,0.931386,1.570218
109,2.262865,1.495830,1.264966,1.364419
110,2.484538,1.757388,1.402808,1.528861
111,2.398375,1.684723,1.323244,1.456944
112,2.535417,1.548176,1.399692,1.342396
113,2.632303,1.351824,1.446969,1.189228
114,2.865616,1.757766,1.586194,1.449565
115,2.600067,2.007686,1.385139,1.598987
116,2.460564,2.164290,1.272854,1.682676
117,2.528108,2.395203,1.300920,1.814219
118,2.491355,2.665878,1.259348,1.969446
119,2.656512,2.818536,1.351417,2.043952
120,2.288658,2.872235,1.093408,2.052328
121,2.414050,2.835078,1.160604,2.001567
122,2.269780,2.769310,1.052598,1.933340
123,2.058174,3.155596,0.903519,2.156082
124,2.156780,3.160700,0.954799,2.131875
125,2.432242,3.418821,1.117029,2.268234
126,2.446026,3.307790,1.111647,2.169869
127,2.419251,3.093592,1.081008,2.008823
128,2.267216,3.257990,0.973082,2.086027
129,2.152946,3.148710,0.890450,1.992725
130,2.524562,3.206143,1.107817,2.003525
131,2.746968,3.129445,1.230153,1.932189
132,2.627791,3.121381,1.142800,1.903811
133,2.797440,3.283955,1.231499,1.979039
134,2.736919,3.308579,1.180322,1.970049
135,2.858420,3.220220,1.238849,1.893667
136,2.576453,3.302081,1.056405,1.919829
137,2.979902,3.708788,1.282647,2.137780
138,3.036751,3.706594,1.301016,2.111314
139,2.969193,3.416826,1.246186,1.916789
140,3.075797,3.778571,1.293814,2.105372
141,3.267579,3.621018,1.390098,1.989498
142,3.328073,3.590163,1.408983,1.948689
143,3.565742,3.433409,1.529446,1.836140
144,3.794816,3.532621,1.643071,1.871912
145,3.709099,3.231486,1.575487,1.678942
146,3.668396,3.414889,1.534507,1.763967
147,3.647820,3.364585,1.505536,1.715604
148,3.984464,3.363388,1.678042,1.695621
149,4.299401,3.334287,1.835747,1.660303
150,4.501501,3.480070,1.928073,1.723149
151,4.419503,3.590366,1.861034,1.765317
152,4.251284,3.316012,1.747231,1.593782
153,4.219250,3.265725,1.710267,1.548439
154,4.371894,3.084535,1.775391,1.431784
155,4.156550,3.083710,1.637955,1.415643
156,4.358382,2.932610,1.730261,1.317692
157,4.350299,3.014178,1.707035,1.347733
158,4.265043,3.042842,1.642293,1.348660
159,4.302665,3.118694,1.644874,1.375077
160,4.057412,3.008990,1.495029,1.301162
161,4.101483,3.189287,1.502639,1.384010
162,3.976856,3.391003,1.419828,1.477184
163,3.924861,3.349960,1.376918,1.439508
164,3.866775,3.325831,1.331349,1.411344
165,3.555121,3.115151,1.151832,1.284562
166,3.540668,3.043388,1.131993,1.232991
167,3.811201,3.044944,1.262818,1.220798
168,3.718519,3.087278,1.200742,1.230229
169,4.017321,2.891383,1.344998,1.114472
170,3.949384,2.589514,1.295337,0.944728
171,4.057945,2.215615,1.338511,0.739551
172,4.352979,2.086941,1.478304,0.664791
173,4.444954,2.087855,1.510749,0.658354
174,4.622307,2.017162,1.587069,0.614856
175,4.693550,1.961377,1.607513,0.579621
176,4.601308,1.844854,1.543273,0.513458
177,4.616578,1.976235,1.535235,0.575872
178,4.438440,1.973622,1.427828,0.568606
179,4.440228,2.111322,1.414088,0.633447
180,4.375661,2.199651,1.366523,0.672207
181,4.322148,2.290044,1.325184,0.711554
182,4.729394,2.168186,1.519520,0.642093
183,4.706892,2.150216,1.492570,0.626394
184,4.456694,2.508504,1.350123,0.802264
185,4.441785,2.610005,1.328841,0.845659
186,4.585819,2.389000,1.388391,0.725035
187,4.846445,2.483570,1.506267,0.765567
188,4.775724,2.445557,1.455294,0.738614
189,4.583687,2.229120,1.343677,0.621916
190,4.458815,2.429047,1.267194,0.716414
191,4.394006,2.483418,1.221816,0.736570
192,4.383715,2.538909,1.204359,0.757059
193,4.378467,2.687853,1.189631,0.824236
194,4.495742,2.616026,1.236508,0.779952
195,4.508733,2.838836,1.230628,0.883737
196,4.505537,2.847747,1.216715,0.879352
197,4.632500,2.967954,1.268005,0.930638
198,4.480044,2.817785,1.179232,0.846374
199,4.596202,2.713272,1.225402,0.785806
200,4.505475,2.570611,1.167984,0.706891
201,4.486967,2.314670,1.147141,0.572441
202,4.350139,2.333814,1.067675,0.576268
203,4.091182,2.252520,0.928370,0.530141
204,4.344194,2.337299,1.044787,0.566974
205,4.358228,2.262373,1.041383,0.524171
206,4.394994,2.376782,1.049285,0.575699
207,4.340656,2.330573,1.011964,0.547099
208,4.508541,2.212542,1.085071,0.483237
209,4.843851,2.076475,1.240257,0.411124
210,5.030211,1.961972,1.320153,0.350430
211,5.101243,1.658471,1.342212,0.196957
212,5.278024,1.568673,1.416281,0.150650
213,5.394531,1.211488,1.459820,-0.027199
214,5.389414,1.357089,1.442886,0.044927
215,5.412031,1.482845,1.439807,0.106518
216,5.333966,1.566800,1.387115,0.146866
217,5.213475,1.463068,1.314051,0.094288
218,5.083432,1.580488,1.237027,0.151214
219,5.163034,1.562343,1.264049,0.140787
220,5.123625,1.711533,1.232196,0.212862
221,5.155076,1.669384,1.235547,0.190018
222,4.921476,1.804227,1.108426,0.254507
223,4.868070,1.859757,1.071243,0.279324
224,4.928002,1.682316,1.090184,0.189294
225,4.945637,1.621308,1.088134,0.157428
226,4.994118,1.727471,1.101272,0.208081
227,5.107572,1.506869,1.146220,0.097581
228,5.259928,1.787916,1.209844,0.234773
229,5.275809,1.646388,1.205757,0.162904
230,5.193618,1.543416,1.153513,0.110698
231,5.304339,1.602179,1.196584,0.138486
232,5.253073,1.735623,1.159634,0.202696
233,5.184334,1.780580,1.114464,0.222793
234,5.127851,1.847587,1.075762,0.253527
235,5.276265,1.746199,1.138109,0.201221
236,5.398102,1.898998,1.186786,0.274316
237,5.391422,1.834236,1.171842,0.239802
238,5.300647,2.010857,1.115727,0.324224
239,5.387337,2.066538,1.147357,0.348396
240,5.306715,2.027800,1.096467,0.325938
241,5.265620,1.822968,1.065498,0.222082
242,5.166570,1.835282,1.006349,0.225951
243,5.173990,1.940325,1.000104,0.275355
244,5.284106,1.875977,1.044396,0.241020
245,5.145058,1.766892,0.965778,0.185029
246,5.177915,1.914366,0.972435,0.255710
247,5.161092,2.108778,0.954602,0.348782
248,5.311122,2.245359,1.018988,0.412513
249,5.330305,2.508280,1.018400,0.537760
250,5.209023,2.409866,0.948726,0.484063
251,5.154432,2.573829,0.912536,0.559961
252,5.143188,2.625827,0.898024,0.580035
253,5.249332,2.772951,0.941420,0.646726
254,5.053984,2.915117,0.836005,0.710332
255,5.108501,2.823012,0.854612,0.657997
256,5.163875,2.881746,0.873460,0.680436
257,5.149857,3.056065,0.857954,0.759579
258,5.118928,3.250996,0.834269,0.848109
259,5.197242,3.118777,0.864629,0.774615
260,5.080490,3.011641,0.798580,0.714192
261,5.084544,3.096479,0.792706,0.748964
262,5.062475,3.161312,0.774013,0.773539
263,5.037606,3.025080,0.754119,0.698742
264,5.227184,3.014417,0.840171,0.686592
265,5.243150,3.119327,0.839758,0.731566
266,5.236094,3.057814,0.827991,0.694000
267,5.247875,3.064817,0.825633,0.690606
268,5.327746,3.042250,0.856905,0.672650
269,5.378123,3.107298,0.873315,0.698122
270,5.472882,3.379699,0.911482,0.825739
271,5.684740,3.160616,1.007118,0.709375
272,5.590026,3.175307,0.950376,0.709623
273,5.483852,3.115462,0.888519,0.673039
274,5.676664,3.217994,0.975033,0.717062
275,5.888285,3.139358,1.070010,0.671097
276,5.765192,3.121700,0.998562,0.655730
277,5.845813,2.952491,1.028558,0.565555
278,5.990209,2.804075,1.089814,0.486538
279,6.101388,2.866363,1.134042,0.512544
280,6.272032,2.863268,1.207272,0.505939
281,6.545385,2.826917,1.330638,0.482935
282,6.431712,2.815100,1.261176,0.472301
283,6.437116,2.774073,1.251360,0.447304
284,6.425650,2.809491,1.233283,0.460417
285,6.328090,2.398756,1.172723,0.252347
286,6.423270,2.446553,1.208269,0.273533
287,6.559962,2.478094,1.264047,0.286456
288,6.619768,2.369090,1.281165,0.229572
289,6.659059,2.415690,1.287943,0.250404
290,6.635036,2.398638,1.263251,0.239462
291,6.487447,2.284138,1.177496,0.180281
292,6.510495,2.271228,1.177247,0.172086
293,6.697071,2.505253,1.258162,0.286528
294,6.553449,2.419734,1.174373,0.241230
295,6.347727,2.303472,1.060567,0.181109
296,6.387445,2.538516,1.069758,0.296037
297,6.310232,2.689281,1.020778,0.367983
298,6.468163,2.616829,1.089097,0.328331
299,6.434491,2.351937,1.061542,0.193442
300,6.585586,2.497476,1.126084,0.263852
301,6.698356,2.554721,1.170946,0.289685
302,6.826016,2.598868,1.222772,0.308754
303,6.809334,2.584209,1.202316,0.298393
304,6.803981,2.622554,1.187694,0.314496
305,6.858880,2.705560,1.203187,0.352659
306,6.692905,2.723116,1.108636,0.357884
307,6.995155,2.613920,1.248007,0.299985
308,6.974061,2.502832,1.225086,0.241710
309,7.109505,2.575452,1.280311,0.275452
310,7.211009,2.792126,1.318098,0.380583
311,7.017883,2.792066,1.208806,0.376763
312,7.301932,2.758289,1.338227,0.356189
313,7.372421,2.780247,1.360006,0.363578
314,7.408944,2.679946,1.364650,0.309989
315,7.621888,2.697756,1.457149,0.315774
316,7.735821,2.933874,1.499401,0.430286
317,7.702109,2.729144,1.467654,0.323964
318,7.920675,2.999795,1.561967,0.455640
319,8.000346,3.061061,1.586111,0.481639
320,7.761977,3.299344,1.451448,0.595640
321,7.697121,3.294360,1.404633,0.587215
322,7.657930,3.193032,1.371079,0.530825
323,7.678719,3.173387,1.367770,0.515731
324,7.848553,3.076124,1.438843,0.462069
325,7.752074,2.979381,1.376354,0.409194
326,7.673575,3.053827,1.323453,0.442255
327,7.612189,3.053728,1.279614,0.437792
328,7.568519,2.926513,1.245048,0.369936
329,7.597452,3.045422,1.247061,0.425591
330,7.567259,2.942047,1.219540,0.369742
331,7.732991,3.006352,1.290098,0.398152
332,7.609435,3.138008,1.215531,0.459906
333,7.629948,3.081382,1.213635,0.427040
334,7.554374,3.211384,1.163776,0.487692
335,7.410849,3.274271,1.080477,0.514226
336,7.597284,3.539626,1.162797,0.641617
337,7.789837,3.643205,1.247357,0.686943
338,7.829131,3.525079,1.254524,0.621074
339,7.858260,3.603996,1.256541,0.654293
340,7.982254,3.594997,1.305933,0.643259
341,7.913800,3.599666,1.258681,0.639164
342,7.891508,3.500419,1.234964,0.583186
343,7.849487,3.634661,1.201623,0.644439
344,7.844855,3.512048,1.187299,0.576723
345,7.761148,3.398898,1.133597,0.514409
346,7.841475,3.431928,1.162413,0.525776
347,7.854692,3.388159,1.157399,0.498643
348,7.789314,3.295192,1.113148,0.447187
349,7.850357,3.473508,1.132534,0.531855
350,8.049466,3.524774,1.220749,0.552166
351,8.059068,3.703278,1.213343,0.635887
352,8.202933,3.612103,1.273139,0.583944
353,8.400667,3.632084,1.359274,0.588094
354,8.314821,3.703014,1.302756,0.617680
355,8.415958,3.743244,1.340300,0.631619
356,8.219647,3.692754,1.228727,0.600054
357,8.262972,3.656799,1.238104,0.576072
358,8.256820,3.513408,1.222644,0.498600
359,8.388232,3.568032,1.276137,0.520931
360,8.394283,3.439129,1.266398,0.451251
361,8.443568,3.440530,1.278380,0.447438
362,8.311087,3.393241,1.199328,0.419309
363,8.484052,3.303500,1.273846,0.370227
364,8.675370,3.448870,1.356800,0.439238
365,8.736690,3.459257,1.373900,0.440039
366,8.743495,3.465732,1.363559,0.438876
367,8.870800,3.487255,1.413600,0.445252
368,8.897199,3.245182,1.412663,0.319698
369,8.715680,3.219322,1.307721,0.303563
370,8.656809,3.236589,1.265184,0.309164
371,8.736895,3.259791,1.292591,0.317678
372,8.869800,3.276805,1.346149,0.323011
373,9.064132,3.363479,1.429905,0.363143
374,8.995364,3.387404,1.381192,0.371479
375,8.820393,3.280417,1.279829,0.314234
376,8.848399,3.295556,1.281034,0.318664
377,8.704584,3.572838,1.196260,0.454210
378,8.805571,3.446756,1.234817,0.386580
379,8.937602,3.456807,1.288522,0.387741
380,8.924882,3.513220,1.269263,0.412087
381,8.925537,3.607952,1.256889,0.455363
382,9.264105,3.813985,1.413717,0.553897
383,9.508608,3.614821,1.521911,0.448699
384,9.494760,4.091003,1.499751,0.682475
385,9.434909,4.172035,1.454795,0.716191
386,9.592645,4.117824,1.519163,0.681898
387,9.585959,4.175801,1.500614,0.704085
388,9.461178,4.247175,1.423159,0.732752
389,9.563808,4.192526,1.460271,0.698074
390,9.753595,4.270949,1.540622,0.730329
391,9.848435,4.509152,1.572660,0.842212
392,9.825371,4.674362,1.545381,0.916451
393,9.788053,4.663873,1.511242,0.902031
394,9.688376,4.463114,1.446242,0.792549
395,9.670799,4.586577,1.422974,0.846395
396,9.907842,4.521541,1.527344,0.805383
