k,x,y,vx,vy
0,0.000000,0.000000,0.000000,0.000000
1,-4.343319,51.031553,-0.069451,0.816015
2,-0.589988,28.083692,0.207746,-0.879345
3,0.513307,19.829401,0.406311,-2.367353
4,0.411287,14.279200,0.369519,-4.205508
5,-0.461840,11.298952,-0.096425,-5.738057
6,-0.471927,9.229642,-0.102613,-7.220568
7,-0.502951,8.082578,-0.131927,-8.235053
8,-0.178545,7.360988,0.285712,-8.946206
9,0.013523,6.315134,0.572950,-10.282459
10,0.024982,6.109484,0.572950,-10.282459
11,0.423475,5.257108,1.342247,-11.567941
12,3.078989,13.913603,7.023888,7.642381
13,3.219467,14.066451,7.023888,7.642381
14,4.244544,20.938978,9.151745,23.806218
15,7.126493,14.964828,15.848422,7.801486
16,6.778547,12.954434,14.161069,2.303753
17,15.031063,17.173421,34.690044,13.053212
18,13.699330,15.646020,29.427851,8.406907
19,12.550978,14.086925,24.902362,3.906628
20,11.907127,12.756620,21.932539,0.243597
21,12.345777,12.761492,21.932539,0.243597
22,11.561295,11.343523,18.812129,-3.386298
23,10.639103,10.204424,15.549032,-6.078768
24,9.937887,9.474450,13.046465,-7.582977
25,9.349470,8.509092,10.982758,-9.560071
26,8.630461,7.567300,8.743357,-11.350777
27,7.597237,6.980122,5.915425,-12.193855
28,6.949401,5.929312,4.156766,-14.046144
29,6.138355,4.889255,2.144855,-15.754197
30,5.642094,4.435752,0.956165,-16.059372
31,5.263870,4.037660,0.097959,-16.225474
32,9.081234,9.072424,8.169694,-4.887583
33,8.249136,7.899969,6.107007,-7.114398
34,7.646262,6.945702,4.635704,-8.762183
35,6.844494,5.994596,2.857838,-10.304281
36,1.495182,10.869281,-7.667674,-0.412852
37,1.227261,9.787864,-7.886167,-2.459491
38,-3.743562,10.916663,-16.879217,-0.258474
39,-4.081146,10.911494,-16.879217,-0.258474
40,0.845733,15.500731,-7.445849,7.974223
41,0.354281,14.370637,-8.046825,5.711666
42,0.113117,13.128373,-8.184701,3.380443
43,-0.008937,11.982525,-8.114579,1.336976
44,0.125809,11.193426,-7.624243,-0.009770
45,0.005515,10.187750,-7.572135,-1.637366
46,-0.179640,9.396943,-7.625667,-2.841057
47,-1.405821,14.682177,-9.298539,5.482355
48,-1.527443,13.513647,-9.200126,3.527552
49,-1.355772,12.471268,-8.666034,1.856337
50,-1.335070,11.633179,-8.379880,0.565530
51,-1.227579,10.866863,-7.981291,-0.561213
52,-1.503528,9.920742,-8.146925,-1.892421
53,-1.579065,9.091859,-8.024590,-2.999621
54,-1.693084,8.179139,-7.960633,-4.173179
55,-1.773547,7.617149,-7.854042,-4.820882
56,-1.930628,7.520731,-7.854042,-4.820882
57,-2.087708,7.424314,-7.854042,-4.820882
58,-2.057563,6.611322,-7.613072,-5.743152
59,-4.858951,9.058663,-10.965917,-2.500320
60,-4.589379,8.497465,-10.357230,-3.136772
61,-4.387309,7.977935,-9.855866,-3.696430
62,-4.229659,7.051245,-9.428000,-4.724903
63,-4.079654,6.427321,-9.025927,-5.353638
64,-3.859184,5.755449,-8.556875,-6.014304
65,-3.856676,5.378445,-8.356750,-6.310170
66,-3.943773,6.180811,-8.265842,-5.255493
67,-3.749445,5.492544,-7.863163,-5.908429
68,-3.339995,5.065948,-7.237505,-6.248937
69,-3.254213,4.615448,-6.986491,-6.603380
70,-2.979638,4.377167,-6.541469,-6.717468
71,-2.826312,4.019989,-6.240302,-6.953637
72,-2.752950,3.832045,-6.033017,-7.004756
73,-2.552688,3.465952,-5.701648,-7.238111
74,-2.666721,3.321189,-5.701648,-7.238111
75,-2.446742,3.052753,-5.365520,-7.362569
76,-2.341066,2.663338,-5.153898,-7.603181
77,-2.083372,2.348208,-4.799899,-7.763186
78,-1.765326,2.098389,-4.398599,-7.854831
79,-1.701981,1.955757,-4.253704,-7.840980
80,0.792076,-2.441358,-1.813272,-11.853243
81,0.876898,-2.551567,-1.700031,-11.734607
82,1.083061,-2.720206,-1.478005,-11.673543
83,1.081431,-2.731617,-1.452476,-11.470571
84,1.147895,-2.819516,-1.366142,-11.342659
85,1.238477,-3.095878,-1.260736,-11.386920
86,1.296048,-3.004133,-1.187524,-11.104383
87,-1.552785,-3.117620,-3.659368,-11.009362
88,-1.458673,-3.216751,-3.514519,-10.904550
89,-1.594777,-4.300561,-3.570914,-11.646367
90,-1.493703,-4.488897,-3.424611,-11.608547
91,0.715365,-7.528357,-1.512195,-13.965764
92,0.740795,-7.525243,-1.465908,-13.730955
93,-0.235229,-10.836531,-2.245326,-16.231030
94,2.244903,-13.963012,-0.186423,-18.515652
95,5.279555,-11.658274,2.267615,-16.355067
96,5.054722,-11.449500,2.051428,-15.926288
97,5.083050,-11.226889,2.041359,-15.497284
98,4.934324,-11.062552,1.892448,-15.124691
99,4.781331,-10.879261,1.743865,-14.746477
100,4.671576,-10.764794,1.632253,-14.430547
101,4.517872,-10.549788,1.489699,-14.045289
102,4.522971,-10.284112,1.470970,-13.630752
103,4.434579,-9.952419,1.382377,-13.176313
104,4.218394,-9.642455,1.200545,-12.748649
105,4.135648,-9.420018,1.121589,-12.395564
106,4.198566,-9.334492,1.151289,-12.150961
107,4.221592,-9.577511,1.151289,-12.150961
108,4.148835,-9.351386,1.082155,-11.812340
