k,zx,zy,valid
0,1.848661,-0.783065,1
1,4.272003,-2.137771,1
2,-1.218176,3.308063,1
3,-0.376893,0.017152,1
4,4.206482,-3.002240,1
5,3.169194,2.651004,1
6,0.229738,0.922032,1
7,-2.128328,0.869866,1
8,0.591236,-0.802755,1
9,-2.000843,0.393882,1
10,-2.102851,4.173051,1
11,-2.393515,0.169010,1
12,0.722630,-3.024578,1
13,0.105108,0.659470,1
14,1.852584,-1.024540,1
15,1.061343,0.980841,1
16,-1.640426,-1.507672,1
17,-1.927320,-1.653188,1
18,-0.975542,-1.056274,1
19,-4.549627,-1.588405,1
20,-3.056879,-0.029393,1
21,0.220799,-3.446116,1
22,0.174784,0.229656,1
23,0.648776,-0.021268,1
24,-1.521473,1.349258,1
25,0.481092,-3.564697,1
26,-1.204906,-0.404300,1
27,-0.510017,-0.452067,1
28,-1.084229,-2.975362,1
29,-1.842292,0.030403,1
30,-0.594332,-0.081537,1
31,-3.463644,1.731913,1
32,1.337990,4.412931,1
33,0.853956,-2.727535,1
34,3.724815,3.154208,1
35,1.964828,-2.862475,1
36,2.304236,1.623676,1
37,-0.606937,-5.716923,1
38,0.412710,2.606967,1
39,-0.607612,0.057267,1
40,-0.839134,-0.017624,1
41,-1.334057,0.158114,1
42,0.637865,2.586695,1
43,2.085186,0.450169,1
44,2.387285,3.110831,1
45,1.851023,-0.733744,1
46,2.186941,1.174090,1
47,4.529265,-4.269238,1
48,-0.463605,1.004600,1
49,-0.106024,-1.761815,1
50,0.395820,1.383901,1
51,1.981638,2.222145,1
52,1.551294,1.851213,1
53,2.593950,4.250779,1
54,1.805584,2.345747,1
55,2.904619,-0.251885,1
56,-0.371635,-3.699177,1
57,4.331428,-0.130569,1
58,1.768892,0.899299,1
59,-1.673521,-1.186453,1
60,1.242209,2.927285,1
61,2.035936,3.388663,1
62,-4.001588,-0.398813,1
63,-0.533984,-1.294788,1
64,0.933988,-0.786141,1
65,4.055811,2.984289,1
66,-0.144174,-1.975272,1
67,-0.627042,-1.317745,1
68,-1.812701,3.172219,1
69,0.642626,1.161458,1
70,1.371773,5.800653,1
71,3.326924,0.705755,1
72,4.166794,1.419224,1
73,-0.567342,-0.841178,1
74,2.065029,0.111141,1
75,6.417980,2.104491,1
76,-0.464672,0.896844,1
77,1.960144,-0.266078,1
78,2.977687,1.663873,1
79,-0.964431,1.185839,1
80,5.308816,-1.290604,1
81,-0.368517,-0.298080,1
82,-0.301075,0.922861,1
83,2.852816,1.309197,1
84,0.044265,1.656834,1
85,1.920260,2.221432,1
86,-0.543639,0.758097,1
87,4.403582,1.202910,1
88,2.313751,-1.228536,1
89,5.989261,2.178474,1
90,-3.476503,-0.957118,1
91,0.962409,0.140659,1
