k,x,y,vx,vy
0,0.432808,1.788449,0.003462,0.014306
1,-1.143060,1.194540,-0.100385,-0.024849
2,-0.605148,-0.029486,-0.007033,-0.236398
3,-0.626542,1.184483,-0.013974,0.161661
4,-0.492861,1.991407,0.055995,0.581440
5,0.039993,1.719913,0.456076,0.368415
6,0.142361,0.842525,0.549947,-0.522265
7,0.180993,0.778435,0.585124,-0.590556
8,0.429940,0.989327,0.950146,-0.247908
9,0.421033,1.060156,0.900150,-0.112147
10,0.500563,0.685900,1.024517,-0.864108
11,0.703929,0.580216,1.430784,-1.060496
12,0.449781,0.505929,0.755503,-1.187253
13,0.692063,0.263153,1.328014,-1.739245
14,0.384206,-0.172505,0.452199,-2.789103
15,0.330249,-0.315373,0.282897,-3.023129
16,0.343882,-0.286909,0.304660,-2.780444
17,0.080266,-0.523332,-0.436551,-3.277355
18,0.216858,-0.476521,-0.037102,-2.968516
19,0.236793,-0.490780,0.019434,-2.845172
20,0.095647,-0.730053,-0.363848,-3.339037
21,0.442486,-0.413458,0.582652,-2.314330
22,0.630927,-0.045203,1.047775,-1.223686
23,0.928735,-0.104513,1.763232,-1.313712
24,0.597814,-0.303720,0.835234,-1.751963
25,1.018804,-0.157980,1.838708,-1.303251
26,0.957678,0.121534,1.600929,-0.561065
27,0.781769,0.367216,1.107093,0.049091
28,1.084097,0.319828,1.757519,-0.063195
29,1.248255,0.673927,2.050148,0.742879
30,1.368563,0.379578,2.225894,0.057652
31,1.121067,0.374397,1.593707,0.043941
32,1.232268,0.234906,1.761484,-0.252945
33,1.160596,-0.021509,1.540575,-0.772364
34,1.130191,0.043102,1.416958,-0.610698
35,1.037165,0.051700,1.177420,-0.569623
36,0.756488,-0.205102,0.590417,-1.043141
37,0.613669,-0.099505,0.298666,-0.804537
38,0.646055,-0.265125,0.347412,-1.080500
39,0.518561,-0.182539,0.104648,-0.892352
40,0.538941,0.005355,0.136966,-0.528750
41,0.440587,-0.089588,-0.037946,-0.674723
42,0.515267,-0.041730,0.089880,-0.570766
43,0.635711,0.109923,0.286823,-0.300085
44,0.480277,0.270081,0.024659,-0.029805
45,0.882456,0.075099,0.665153,-0.339755
46,0.891285,-0.092180,0.658157,-0.590675
47,1.159944,-0.349349,1.049985,-0.966952
48,1.047386,-0.250122,0.849019,-0.788544
49,0.960678,-0.232322,0.695889,-0.738965
50,1.057781,-0.115388,0.816498,-0.547995
51,1.148542,-0.123953,0.922477,-0.544585
52,1.360789,0.230053,1.193543,-0.034200
53,1.704124,0.254134,1.632609,-0.000163
54,1.775917,0.272559,1.685483,0.024730
55,1.578812,0.317428,1.378940,0.083663
56,1.578508,0.546059,1.342524,0.380083
57,1.589789,0.523896,1.322521,0.341844
58,1.764359,0.590123,1.509754,0.416916
59,1.854721,0.306400,1.584605,0.053578
60,1.610173,0.365303,1.246307,0.124401
61,1.745571,0.386458,1.379519,0.146911
62,1.698578,0.476059,1.290943,0.249832
63,1.717576,0.669321,1.282963,0.470085
64,1.702561,0.807877,1.236077,0.618966
65,1.678164,0.744736,1.180275,0.533169
66,1.667886,0.591111,1.142330,0.349187
67,1.753436,0.509331,1.211564,0.251177
68,1.812571,0.700982,1.249570,0.454392
69,1.678205,0.841718,1.078416,0.595786
