k,x,y,vx,vy
0,-0.972235,-2.848832,-0.007777,-0.022787
1,-0.830698,-1.344035,0.001560,0.076402
2,-1.460492,-0.139610,-0.107337,0.284384
3,-1.731918,-0.310098,-0.195291,0.226840
4,12.116528,13.688357,7.039980,7.536054
5,12.257328,13.839078,7.039980,7.536054
6,10.319673,11.725756,5.040389,5.357915
7,8.734930,10.248440,3.034234,3.472062
8,7.795879,9.151617,1.608767,1.809152
9,6.538802,8.406353,-0.528761,0.513545
10,15.242559,3.670985,15.825232,-8.392492
11,15.559064,3.503135,15.825232,-8.392492
12,13.719887,3.121630,11.049044,-8.865873
13,12.592084,2.194425,7.898672,-10.617394
14,12.750058,1.982077,7.898672,-10.617394
15,5.130399,1.228228,-11.435955,-11.963526
16,4.072448,0.945441,-13.528809,-12.073356
17,3.245142,0.977156,-14.947187,-11.377371
18,-2.187809,6.056343,-28.083740,2.201144
19,-1.984860,8.356301,-26.127477,7.972876
20,5.276506,8.091060,-6.290451,6.890546
21,4.252270,7.086099,-8.563717,3.999021
22,3.869463,6.128226,-9.093678,1.398840
23,3.497056,5.403889,-9.565246,-0.463128
24,2.966504,4.848273,-10.393135,-1.796431
25,2.733201,4.088200,-10.454255,-3.536170
26,2.729279,3.818374,-9.969622,-4.006485
27,2.330510,3.476411,-10.432213,-4.613988
28,1.834553,3.268675,-11.086453,-4.876893
29,1.612824,3.171138,-11.086453,-4.876893
30,-1.846758,3.136238,-18.159155,-4.740068
31,-3.733179,3.544286,-21.413888,-3.665619
32,2.475880,4.696179,-7.539023,-1.104418
33,-3.258256,6.705689,-18.959737,3.051204
34,-0.625772,7.715750,-12.930636,4.951087
35,-0.884384,7.814772,-12.930636,4.951087
36,-1.142997,7.913793,-12.930636,4.951087
37,-1.144597,7.129956,-12.449899,3.299723
38,-1.249986,6.261697,-12.187407,1.592065
39,-1.591892,5.748439,-12.362851,0.617767
40,-1.429973,4.956607,-11.647243,-0.788677
41,-1.398912,4.531110,-11.195205,-1.490217
42,-1.425243,4.648131,-10.863835,-1.243962
43,-1.355068,4.047489,-10.391355,-2.190336
44,-1.358135,3.361555,-10.061369,-3.225169
45,-1.387292,3.104656,-9.789368,-3.529299
46,-1.085155,2.845022,-9.017022,-3.822538
47,-0.898691,2.868692,-8.458511,-3.670090
48,-0.993709,3.092881,-8.347638,-3.225132
49,-1.007459,2.786286,-8.122621,-3.580705
50,-6.286173,4.727854,-15.506546,-0.675226
51,-6.079555,4.352948,-14.773495,-1.187904
52,-6.036958,3.875355,-14.301972,-1.820898
53,-5.812044,3.435339,-13.601078,-2.374527
54,-5.646487,3.019695,-13.010589,-2.871332
55,-5.286214,2.991745,-12.186665,-2.832190
56,-8.685724,6.976196,-16.311165,2.449395
57,-8.306590,6.632909,-15.403577,1.944652
58,-11.834002,2.458410,-19.482675,-3.393970
59,-11.505331,2.447394,-18.586207,-3.323004
60,-12.120196,0.509918,-18.885148,-5.623412
61,-11.716402,0.483863,-17.938341,-5.518720
62,-11.303613,0.439848,-17.017042,-5.439481
63,-10.894231,0.390659,-16.134526,-5.369324
64,-10.734271,0.272363,-15.574345,-5.381987
65,-9.557815,-1.054455,-13.871237,-6.777465
66,-9.227698,-1.031835,-13.185314,-6.598890
67,-6.653974,-2.300206,-10.024872,-7.864650
68,-6.425803,-2.127301,-9.553734,-7.501738
