k,yx,yy,Sx,Sy,NIS,q,r
475,47.001017,-77.145565,4.087296,4.087296,1996.560458,1.000000,4.000000
476,0.000000,0.000000,4.087106,4.087106,0.000000,1.000000,4.000000
477,-3.071717,9.940477,4.088814,4.088814,26.474308,1.000000,4.000000
478,-3.012864,6.875402,4.088588,4.088588,13.781898,1.000000,4.000000
479,-5.340665,8.947938,4.088368,4.088368,26.560304,1.000000,4.000000
480,-0.478857,11.840261,4.088153,4.088153,34.348296,1.000000,4.000000
481,0.548400,4.648589,4.087943,4.087943,5.359693,1.000000,4.000000
482,-2.471348,10.037016,4.087738,4.087738,26.138964,1.000000,4.000000
483,-4.924542,8.480933,4.087539,4.087539,23.529400,1.000000,4.000000
484,-0.598637,6.870069,4.087344,4.087344,11.634990,1.000000,4.000000
485,-4.915407,8.724593,4.087154,4.087154,24.535347,1.000000,4.000000
486,-2.205814,7.023654,4.086969,4.086969,13.261006,1.000000,4.000000
487,-7.097497,41.003659,4.086789,4.086789,423.724967,1.000000,4.000000
488,-4.068586,8.113494,4.086613,4.086613,20.159037,1.000000,4.000000
489,0.000000,0.000000,4.086441,4.086441,0.000000,1.000000,4.000000
490,-3.018765,9.534815,4.088139,4.088139,24.467282,1.000000,4.000000
491,-63.183576,54.891774,4.087931,4.087931,1713.646917,1.000000,4.000000
492,39.805835,-20.890374,4.087729,4.087729,494.385032,1.000000,4.000000
493,-29.157264,38.908395,4.087532,4.087532,578.346316,1.000000,4.000000
494,0.000000,0.000000,4.087340,4.087340,0.000000,1.000000,4.000000
495,-0.734492,6.547430,4.089055,4.089055,10.615735,1.000000,4.000000
496,-0.702994,3.062671,4.088826,4.088826,2.414911,1.000000,4.000000
497,0.939021,4.514710,4.088603,4.088603,5.200888,1.000000,4.000000
498,49.424110,56.475735,4.088385,4.088385,1377.622656,1.000000,4.000000
499,2.003670,3.929119,4.088172,4.088172,4.758281,1.000000,4.000000
500,2.574288,6.656643,4.087964,4.087964,12.460445,1.000000,4.000000
501,-3.868416,4.114157,4.087761,4.087761,7.801564,1.000000,4.000000
502,-1.370425,3.003119,4.087563,4.087563,2.665839,1.000000,4.000000
503,-6.014837,3.208525,4.087370,4.087370,11.369878,1.000000,4.000000
504,-5.554807,4.796694,4.087182,4.087182,13.178802,1.000000,4.000000
505,67.489621,65.028235,4.086999,4.086999,2149.137122,1.000000,4.000000
506,-4.855806,1.207379,4.086819,4.086819,6.126187,1.000000,4.000000
507,-6.160582,-0.730260,4.086645,4.086645,9.417519,1.000000,4.000000
508,-0.883353,-0.571694,4.086474,4.086474,0.270929,1.000000,4.000000
509,30.647777,-71.199153,4.086308,4.086308,1470.424015,1.000000,4.000000
510,35.617462,66.135702,4.086146,4.086146,1380.894007,1.000000,4.000000
511,-3.438386,0.755967,4.085988,4.085988,3.033290,1.000000,4.000000
512,-72.852157,-71.250182,4.085834,4.085834,2541.470021,1.000000,4.000000
513,-1.555323,3.553572,4.085684,4.085684,3.682836,1.000000,4.000000
514,-3.411607,2.965308,4.085538,4.085538,5.001083,1.000000,4.000000
