k,yx,yy,Sx,Sy,NIS,q,r
0,-0.519070,-0.915218,29.004000,29.004000,0.038169,1.000000,4.000000
1,2.084554,2.129586,7.453455,7.453455,1.191461,1.000000,4.000000
2,1.557610,0.723302,5.862227,5.862227,0.503105,1.000000,4.000000
3,-3.968781,-2.860798,5.283440,5.283440,4.530266,1.000000,4.000000
4,1.468253,0.242031,4.988342,4.988342,0.443904,1.000000,4.000000
5,2.717863,-0.939800,4.813035,4.813035,1.718251,1.000000,4.000000
6,0.294070,-0.347986,4.699955,4.699955,0.044165,1.000000,4.000000
7,-3.139738,-0.324888,4.623583,4.623583,2.154933,1.000000,4.000000
8,-4.049477,0.004151,4.570779,4.570779,3.587633,1.000000,4.000000
9,4.803487,3.013340,4.534005,4.534005,7.091677,1.000000,4.000000
10,0.707291,-2.028669,4.508548,4.508548,1.023780,1.000000,4.000000
11,-0.045949,-1.932400,4.491253,4.491253,0.831902,1.000000,4.000000
12,2.422498,-0.982461,4.479879,4.479879,1.525427,1.000000,4.000000
13,2.269483,2.680971,4.472769,4.472769,2.758505,1.000000,4.000000
14,-2.386869,2.795642,4.468656,4.468656,3.023897,1.000000,4.000000
15,-0.276308,1.135956,4.466553,4.466553,0.305995,1.000000,4.000000
16,1.197575,2.450358,4.465694,4.465694,1.665686,1.000000,4.000000
17,0.958768,2.867355,4.465482,4.465482,2.047027,1.000000,4.000000
18,-2.415338,-0.315944,4.465466,4.465466,1.328792,1.000000,4.000000
19,0.320769,-1.525972,4.465314,4.465314,0.544527,1.000000,4.000000
20,0.191546,-1.557971,4.464793,4.464793,0.551865,1.000000,4.000000
21,-2.200896,-0.006382,4.463751,4.463751,1.085182,1.000000,4.000000
22,-0.242225,-2.502066,4.462101,4.462101,1.416151,1.000000,4.000000
23,1.428726,-0.428577,4.459808,4.459808,0.498886,1.000000,4.000000
24,0.966557,3.007184,4.456873,4.456873,2.238652,1.000000,4.000000
25,0.221726,-2.711716,4.453326,4.453326,1.662255,1.000000,4.000000
26,0.459911,0.699537,4.449213,4.449213,0.157527,1.000000,4.000000
27,-2.913787,3.225945,4.444595,4.444595,4.251654,1.000000,4.000000
28,-1.978136,0.694302,4.439535,4.439535,0.989986,1.000000,4.000000
29,1.704456,0.535140,4.434099,4.434099,0.719773,1.000000,4.000000
30,1.993311,-1.816736,4.428351,4.428351,1.642557,1.000000,4.000000
31,2.512213,-0.745094,4.422353,4.422353,1.552653,1.000000,4.000000
32,-0.672264,-2.968293,4.416161,4.416161,2.097456,1.000000,4.000000
33,1.623109,-2.551612,4.409826,4.409826,2.073825,1.000000,4.000000
34,0.318194,0.181172,4.403395,4.403395,0.030447,1.000000,4.000000
35,1.056474,1.466845,4.396907,4.396907,0.743198,1.000000,4.000000
36,-1.839748,1.849099,4.390396,4.390396,1.549709,1.000000,4.000000
37,-1.271960,1.084866,4.383895,4.383895,0.637519,1.000000,4.000000
38,-1.695554,-3.150765,4.377426,4.377426,2.924600,1.000000,4.000000
39,0.710594,-2.496244,4.371013,4.371013,1.541102,1.000000,4.000000
40,0.187102,2.679364,4.364672,4.364672,1.652815,1.000000,4.000000
41,2.730195,2.143027,4.358419,4.358419,2.763968,1.000000,4.000000
42,-0.914538,3.857238,4.352265,4.352265,3.610688,1.000000,4.000000
43,-5.815861,-2.135132,4.346218,4.346218,8.831363,1.000000,4.000000
44,1.342815,3.862079,4.340287,4.340287,3.852005,1.000000,4.000000
45,1.883142,-0.607915,4.334477,4.334477,0.903404,1.000000,4.000000
46,-2.505688,-0.265216,4.328792,4.328792,1.466648,1.000000,4.000000
47,-0.859472,-0.511397,4.323233,4.323233,0.231359,1.000000,4.000000
48,0.285031,-2.529243,4.317803,4.317803,1.500372,1.000000,4.000000
49,-1.516174,-2.584584,4.312502,4.312502,2.082053,1.000000,4.000000
50,0.509071,-0.057175,4.307330,4.307330,0.060925,1.000000,4.000000
51,-3.619747,0.373496,4.302286,4.302286,3.077913,1.000000,4.000000
52,4.763919,-1.812421,4.297369,4.297369,6.045512,1.000000,4.000000
53,-0.923124,1.829962,4.292577,4.292577,0.978647,1.000000,4.000000
54,0.172521,-2.429604,4.287908,4.287908,1.383597,1.000000,4.000000
55,-1.431468,-0.732816,4.283359,4.283359,0.603760,1.000000,4.000000
56,-0.182963,1.353100,4.278929,4.278929,0.435706,1.000000,4.000000
57,1.953047,-0.144957,4.274613,4.274613,0.897252,1.000000,4.000000
58,2.674294,0.534738,4.270410,4.270410,1.741704,1.000000,4.000000
59,-1.466584,1.493689,4.266317,4.266317,1.027109,1.000000,4.000000
60,-0.564452,-4.942085,4.262330,4.262330,5.804996,1.000000,4.000000
61,0.033368,0.384137,4.258448,4.258448,0.034913,1.000000,4.000000
62,3.710433,1.007447,4.254666,4.254666,3.474366,1.000000,4.000000
63,2.348204,-2.388724,4.250982,4.250982,2.639406,1.000000,4.000000
64,2.521954,-2.735175,4.247393,4.247393,3.258808,1.000000,4.000000
65,-1.594779,-0.643281,4.243896,4.243896,0.696796,1.000000,4.000000
66,-2.066827,1.001676,4.240489,4.240489,1.243990,1.000000,4.000000
67,-1.307842,-1.664510,4.237169,4.237169,1.057556,1.000000,4.000000
68,-0.717580,-2.413419,4.233932,4.233932,1.497311,1.000000,4.000000
69,4.916180,1.804868,4.230777,4.230777,6.482585,1.000000,4.000000
70,3.312022,-1.332501,4.227701,4.227701,3.014651,1.000000,4.000000
71,-0.090747,3.864888,4.224702,4.224702,3.537669,1.000000,4.000000
72,1.260263,1.587465,4.221776,4.221776,0.973123,1.000000,4.000000
73,2.843787,-2.367689,4.218922,4.218922,3.245633,1.000000,4.000000
74,-0.433040,0.710503,4.216138,4.216138,0.164211,1.000000,4.000000
75,-2.161903,2.808738,4.213421,4.213421,2.981624,1.000000,4.000000
76,1.822751,0.232913,4.210770,4.210770,0.801912,1.000000,4.000000
77,0.953020,-1.951986,4.208182,4.208182,1.121267,1.000000,4.000000
78,0.003797,-0.568101,4.205655,4.205655,0.076743,1.000000,4.000000
79,1.346917,-0.344307,4.203187,4.203187,0.459826,1.000000,4.000000
80,-4.981517,1.662412,4.200778,4.200778,6.565243,1.000000,4.000000
81,-1.888735,1.201617,4.198424,4.198424,1.193592,1.000000,4.000000
82,0.497454,-1.657220,4.196124,4.196124,0.713477,1.000000,4.000000
83,1.131690,0.695469,4.193876,4.193876,0.420708,1.000000,4.000000
84,-0.870668,-1.304604,4.191680,4.191680,0.586890,1.000000,4.000000
85,-0.779445,-0.055478,4.189533,4.189533,0.145747,1.000000,4.000000
86,-1.519360,0.020883,4.187434,4.187434,0.551385,1.000000,4.000000
87,-1.082815,0.799738,4.185382,4.185382,0.432952,1.000000,4.000000
88,0.738932,0.978695,4.183374,4.183374,0.359486,1.000000,4.000000
89,-1.338943,0.700928,4.181411,4.181411,0.546244,1.000000,4.000000
90,1.737581,2.563295,4.179490,4.179490,2.294458,1.000000,4.000000
91,-3.884431,0.280239,4.177611,4.177611,3.630624,1.000000,4.000000
92,4.823105,-0.065648,4.175772,4.175772,5.571821,1.000000,4.000000
93,-3.779047,0.234399,4.173972,4.173972,3.434652,1.000000,4.000000
94,-1.713250,-0.302541,4.172210,4.172210,0.725457,1.000000,4.000000
95,-0.668193,-2.781841,4.170485,4.170485,1.962631,1.000000,4.000000
96,-4.349643,-1.675954,4.168796,4.168796,5.212109,1.000000,4.000000
97,1.190497,0.892498,4.167142,4.167142,0.531260,1.000000,4.000000
98,-0.428376,4.232031,4.165521,4.165521,4.343657,1.000000,4.000000
99,-0.020143,-0.048675,4.163934,4.163934,0.000666,1.000000,4.000000
100,-2.791451,0.182039,4.162379,4.162379,1.880015,1.000000,4.000000
101,2.031496,-1.513254,4.160856,4.160856,1.542210,1.000000,4.000000
102,-3.765885,-4.588391,4.159363,4.159363,8.471303,1.000000,4.000000
103,-1.711904,-3.378405,4.157899,4.157899,3.449876,1.000000,4.000000
104,-2.364606,-3.386583,4.156465,4.156465,4.104523,1.000000,4.000000
105,0.983513,-0.027383,4.155059,4.155059,0.232981,1.000000,4.000000
106,2.470833,0.070096,4.153680,4.153680,1.470967,1.000000,4.000000
107,1.933347,1.111022,4.152328,4.152328,1.197449,1.000000,4.000000
108,4.187683,-1.622208,4.151003,4.151003,4.858646,1.000000,4.000000
109,2.111952,-2.029438,4.149703,4.149703,2.067367,1.000000,4.000000
110,0.403964,-1.156050,4.148427,4.148427,0.361496,1.000000,4.000000
111,1.438440,-2.144924,4.147176,4.147176,1.608277,1.000000,4.000000
112,0.948341,0.399538,4.145949,4.145949,0.255426,1.000000,4.000000
113,1.404315,-1.087924,4.144745,4.144745,0.761369,1.000000,4.000000
