k,x,y,vx,vy
0,3.207951,0.364273,0.025660,0.002914
1,2.721872,-0.245083,-0.006404,-0.037244
2,0.683014,-1.272339,-0.358902,-0.214728
3,-0.051058,-0.238065,-0.596326,0.124496
4,-0.056234,0.383707,-0.592800,0.447956
5,0.470544,0.264299,-0.187527,0.351371
6,0.403261,0.010910,-0.251484,0.089211
7,0.316207,0.188525,-0.355904,0.313048
8,0.248589,0.190092,-0.448989,0.305827
9,0.006438,0.169186,-0.866676,0.257421
10,0.191104,0.334621,-0.458368,0.581412
11,0.502260,0.463253,0.253244,0.841341
12,0.290948,0.456277,-0.263494,0.784496
13,0.049729,0.291154,-0.858124,0.328820
14,-0.223159,0.422343,-1.527850,0.655170
15,-0.204988,0.503423,-1.396903,0.837843
16,-0.321272,0.596314,-1.638003,1.045617
17,-0.898685,0.591045,-3.134812,0.973667
18,-0.936754,0.481104,-3.067119,0.617945
19,-0.879435,0.283976,-2.742668,0.045155
20,-0.985869,0.177630,-2.882353,-0.245279
21,-0.757790,-0.006064,-2.118648,-0.723155
22,-0.725404,0.091757,-1.921960,-0.427739
23,-0.781554,0.116343,-1.967730,-0.342093
24,-0.788058,0.415381,-1.884477,0.433075
25,-0.665721,0.287109,-1.487278,0.093193
26,-0.353186,0.802658,-0.655951,1.340826
27,-0.329972,0.874865,-0.569657,1.448631
28,-0.281140,0.543653,-0.429850,0.612495
29,0.201523,0.266010,0.684481,-0.045071
30,0.339802,0.240561,0.960580,-0.099472
31,0.328212,0.256287,0.893898,-0.061119
32,0.200047,0.515735,0.585013,0.490205
33,0.070153,0.235928,0.292414,-0.108268
34,-0.093956,0.149258,-0.050790,-0.278913
35,-0.108653,0.352480,-0.077792,0.133194
36,-0.093227,0.468467,-0.045025,0.351850
37,0.093524,0.335244,0.309034,0.087208
38,-0.139328,0.343988,-0.132110,0.100128
39,-0.094532,0.128393,-0.046451,-0.292792
40,-0.097553,0.283292,-0.050147,-0.008693
41,-0.006511,0.302461,0.109108,0.024775
42,0.122087,0.458352,0.323311,0.288081
43,0.046331,0.407654,0.186828,0.194363
44,0.048939,0.415382,0.184994,0.200610
45,0.192487,0.479788,0.407983,0.296908
46,0.016392,0.365387,0.119896,0.108756
47,-0.034370,0.392170,0.038371,0.146495
48,0.203357,0.493842,0.394930,0.295075
49,0.088183,0.370348,0.213172,0.103979
50,0.156943,0.570119,0.306685,0.390611
51,0.363496,0.324380,0.592055,0.029587
52,0.326568,0.399227,0.523841,0.133449
53,0.427046,0.437086,0.647538,0.181814
54,0.384690,0.553230,0.572826,0.333795
55,0.650491,0.468842,0.910618,0.212854
56,0.710220,0.244851,0.964841,-0.085251
57,0.941493,0.287733,1.237172,-0.027969
58,0.888363,0.289362,1.138735,-0.025203
59,0.841131,0.326646,1.051643,0.021808
60,0.908912,0.148495,1.108893,-0.196900
61,0.787218,0.195993,0.935407,-0.134875
62,1.040137,0.022282,1.213555,-0.337972
63,1.191069,-0.082697,1.361737,-0.452880
64,1.293693,-0.151979,1.448642,-0.522302
65,1.275490,-0.208497,1.395047,-0.574643
66,1.243399,-0.037773,1.327863,-0.370582
67,1.179906,0.020725,1.228433,-0.297807
68,1.255522,-0.133985,1.284018,-0.459782
69,1.314642,0.099838,1.319933,-0.198773
70,1.244457,0.161184,1.217593,-0.129559
71,1.193083,0.185567,1.138418,-0.101356
72,1.271292,0.388886,1.195627,0.110541
73,1.236206,0.452892,1.135530,0.173487
74,1.350193,0.542271,1.227325,0.259885
75,1.442850,0.701681,1.294967,0.413034
76,1.630833,0.769756,1.453946,0.471703
77,1.669887,0.836063,1.463611,0.526808
78,1.965715,0.953501,1.718781,0.629143
79,2.002913,1.040515,1.721451,0.699552
80,2.010399,1.073480,1.696261,0.717292
81,1.970680,0.959816,1.628203,0.598991
82,1.872078,0.884365,1.508361,0.519108
83,1.959018,0.732857,1.559651,0.372852
84,2.109182,0.675219,1.665947,0.314692
85,2.193934,0.656762,1.711399,0.292819
86,2.206956,0.689583,1.692859,0.316393
87,2.191408,0.716915,1.650127,0.334560
88,2.345605,0.621750,1.753858,0.247382
89,2.439650,0.571862,1.803807,0.200932
90,2.411354,0.550286,1.749834,0.179472
91,2.537640,0.648092,1.825607,0.257675
92,2.526752,0.636108,1.786654,0.243591
93,2.458944,0.826180,1.702394,0.394301
94,2.370600,0.848100,1.603756,0.405611
95,2.372739,0.871384,1.579859,0.417723
96,2.460929,0.837681,1.624611,0.384465
97,2.466507,0.890094,1.603525,0.419504
98,2.514945,0.823898,1.616231,0.361603
99,2.484148,0.880740,1.567671,0.399768
100,2.479207,0.617641,1.539997,0.193066
101,2.584106,0.663948,1.596001,0.225146
102,2.509907,0.726727,1.516490,0.268810
103,2.374834,0.737822,1.393617,0.273059
104,2.316139,0.774026,1.329849,0.295704
105,2.253211,0.733775,1.264449,0.261980
106,2.280170,0.759258,1.265659,0.276647
107,2.372290,0.731393,1.313674,0.252644
108,2.451733,0.786268,1.351583,0.288166
109,2.500483,0.704338,1.366947,0.226132
110,2.514690,0.740628,1.357729,0.248430
111,2.714026,0.797569,1.477668,0.284634
112,2.766714,0.786368,1.493663,0.272954
113,2.723514,0.756267,1.443517,0.248552
114,2.724117,0.688723,1.424261,0.199152
115,2.814285,0.666126,1.465979,0.181175
116,2.820414,0.711148,1.450405,0.208976
117,2.735928,0.792131,1.374722,0.260192
118,2.739075,0.745993,1.358597,0.226190
119,2.818814,0.739761,1.393175,0.219116
120,2.844730,0.792712,1.391902,0.250849
121,2.852193,0.780092,1.378677,0.239402
122,2.965729,0.802406,1.434112,0.250704
123,3.121900,0.842744,1.515803,0.273338
124,3.126098,0.952115,1.499172,0.339498
125,3.098911,0.943863,1.462995,0.329980
126,3.061191,0.860244,1.420868,0.273237
127,2.960174,0.881116,1.339947,0.282869
128,2.938144,0.890666,1.309600,0.285288
129,2.950339,0.874812,1.300951,0.271966
130,2.974783,0.893361,1.299984,0.280021
131,3.086776,0.960713,1.352518,0.317746
132,3.190431,1.132293,1.399059,0.418127
133,3.162252,1.194704,1.365124,0.450786
134,3.144763,1.313920,1.338204,0.517018
135,3.072078,1.310699,1.278748,0.508910
136,3.069660,1.332462,1.262098,0.515800
137,3.040558,1.327818,1.229939,0.506948
138,2.934762,1.387958,1.153162,0.536389
139,3.031200,1.434416,1.196154,0.557324
140,2.973817,1.436685,1.148744,0.552147
141,3.056930,1.485942,1.183645,0.574325
142,3.011889,1.445763,1.143952,0.544480
143,3.040447,1.535279,1.147217,0.589692
144,2.952380,1.562785,1.083668,0.598687
145,3.012197,1.633723,1.105407,0.632294
146,3.064152,1.727259,1.122345,0.678199
147,3.129795,1.711016,1.146755,0.661355
148,3.184319,1.767501,1.164533,0.685699
149,3.176548,1.818216,1.147123,0.706437
150,3.162802,1.797714,1.126642,0.687105
151,3.171633,1.778555,1.119023,0.668809
152,3.209286,1.770685,1.127483,0.657040
153,3.224199,1.856826,1.123269,0.697327
154,3.158310,1.900962,1.074687,0.713927
155,3.241222,1.911183,1.108337,0.711703
156,3.278637,1.966064,1.116661,0.733895
157,3.266348,2.006295,1.097824,0.747798
158,3.255844,1.999255,1.080223,0.735870
159,3.310719,2.089149,1.098204,0.776500
160,3.236918,2.074841,1.046614,0.760426
161,3.239077,2.136860,1.036532,0.785564
162,3.239938,2.134322,1.025895,0.775794
163,3.233250,2.147447,1.011373,0.774518
164,3.213293,2.181553,0.989987,0.784425
165,3.198708,2.182011,0.971740,0.776343
166,3.140779,2.210447,0.930800,0.783174
167,3.070063,2.218091,0.883655,0.778942
168,3.161885,2.208387,0.922682,0.765634
169,3.296969,2.166590,0.983911,0.735653
170,3.378917,2.204162,1.016518,0.747623
171,3.501820,2.234993,1.070097,0.755917
172,3.540386,2.258488,1.079041,0.760283
173,3.491086,2.288365,1.042192,0.767910
174,3.562590,2.277479,1.068469,0.754297
175,3.566699,2.311288,1.059536,0.763987
176,3.617547,2.357895,1.074852,0.780165
177,3.622714,2.358988,1.066436,0.772688
178,3.740462,2.335318,1.116024,0.752566
179,3.772629,2.314920,1.121078,0.734371
180,3.804746,2.248911,1.126046,0.693031
181,3.836619,2.280878,1.130828,0.702289
182,3.901792,2.240840,1.152549,0.674684
183,3.903505,2.288990,1.141677,0.692342
184,3.943068,2.402077,1.150186,0.742820
185,3.969630,2.413003,1.151993,0.740825
186,4.017138,2.406874,1.164399,0.730205
187,4.041206,2.454035,1.164793,0.746686
188,4.001789,2.445245,1.133095,0.734695
189,3.992963,2.486287,1.117202,0.747993
190,3.903309,2.548049,1.060752,0.771583
191,3.908720,2.525136,1.052797,0.752282
192,3.887693,2.450592,1.031643,0.707246
193,3.987908,2.461424,1.071597,0.705583
194,4.074358,2.455627,1.104201,0.695600
195,3.994937,2.527297,1.053361,0.724529
196,3.980759,2.620648,1.035727,0.763983
197,3.988080,2.690321,1.029033,0.791167
198,4.046766,2.633436,1.048058,0.754868
199,4.032031,2.564359,1.030254,0.712886
200,4.096015,2.542971,1.051868,0.695125
201,4.123007,2.481806,1.054833,0.657755
202,4.253310,2.482478,1.109150,0.651546
203,4.199277,2.518875,1.071274,0.663158
204,4.260879,2.541384,1.091224,0.667749
205,4.331361,2.487261,1.115367,0.634267
206,4.341831,2.477607,1.109498,0.623191
207,4.415181,2.487179,1.134846,0.621758
208,4.447358,2.440210,1.139540,0.592344
209,4.507487,2.445730,1.158016,0.589213
210,4.481133,2.385904,1.133530,0.553799
211,4.505659,2.377683,1.134447,0.544261
212,4.559968,2.423926,1.150067,0.561728
213,4.525972,2.447052,1.121924,0.567599
214,4.503956,2.480976,1.099985,0.578739
215,4.524132,2.505034,1.099086,0.584897
216,4.538303,2.506635,1.095234,0.579918
217,4.488540,2.518723,1.059909,0.580160
218,4.401392,2.519466,1.006525,0.574808
219,4.459168,2.555403,1.025067,0.586847
220,4.496734,2.580283,1.033470,0.593319
221,4.506052,2.585833,1.027882,0.590210
