k,yx,yy,Sx,Sy,NIS,q,r
556,-0.378116,1.898226,4.080812,4.080812,0.918012,1.000000,4.000000
557,0.755004,-0.112298,4.080812,4.080812,0.142776,1.000000,4.000000
558,-3.488151,-1.548401,4.080811,4.080811,3.569080,1.000000,4.000000
559,2.686864,0.455113,4.080811,4.080811,1.819826,1.000000,4.000000
560,-1.020646,1.284319,4.080811,4.080811,0.659475,1.000000,4.000000
561,-0.526026,3.799657,4.080811,4.080811,3.605679,1.000000,4.000000
562,1.569714,1.678743,4.080811,4.080811,1.294395,1.000000,4.000000
563,0.067543,0.188224,4.080811,4.080811,0.009800,1.000000,4.000000
564,1.939798,1.557358,4.080810,4.080810,1.516409,1.000000,4.000000
565,0.759963,1.126452,4.080810,4.080810,0.452468,1.000000,4.000000
566,0.936632,-6.031765,4.080810,4.080810,9.130409,1.000000,4.000000
567,0.080778,1.239926,4.080810,4.080810,0.378342,1.000000,4.000000
568,1.707705,0.252162,4.080810,4.080810,0.730208,1.000000,4.000000
569,-1.374389,-1.169309,4.080810,4.080810,0.797937,1.000000,4.000000
570,-2.022121,1.222447,4.080810,4.080810,1.368197,1.000000,4.000000
571,-5.827461,0.243743,4.080809,4.080809,8.336267,1.000000,4.000000
572,1.487006,-0.302389,4.080809,4.080809,0.564257,1.000000,4.000000
573,0.900997,-2.561739,4.080809,4.080809,1.807069,1.000000,4.000000
574,-0.824674,4.356843,4.080809,4.080809,4.818203,1.000000,4.000000
575,3.592697,4.660411,4.080809,4.080809,8.485304,1.000000,4.000000
576,1.655651,-0.292849,4.080809,4.080809,0.692740,1.000000,4.000000
577,-2.943629,2.844841,4.080809,4.080809,4.106556,1.000000,4.000000
578,5.598227,0.682325,4.080809,4.080809,7.793973,1.000000,4.000000
579,-2.677089,2.448506,4.080808,4.080808,3.225337,1.000000,4.000000
580,2.294442,-4.094948,4.080808,4.080808,5.399190,1.000000,4.000000
581,-1.188096,3.735162,4.080808,4.080808,3.764698,1.000000,4.000000
582,-0.194640,-1.521449,4.080808,4.080808,0.576526,1.000000,4.000000
583,0.263728,-1.348702,4.080808,4.080808,0.462788,1.000000,4.000000
584,-0.569729,3.167328,4.080808,4.080808,2.537869,1.000000,4.000000
585,5.143063,-1.811581,4.080808,4.080808,7.286038,1.000000,4.000000
586,0.879486,2.087417,4.080808,4.080808,1.257302,1.000000,4.000000
587,-2.934414,3.275180,4.080808,4.080808,4.738667,1.000000,4.000000
588,-0.286384,-4.306658,4.080808,4.080808,4.565106,1.000000,4.000000
589,-0.534426,-1.738060,4.080807,4.080807,0.810248,1.000000,4.000000
590,0.004552,-1.279607,4.080807,4.080807,0.401248,1.000000,4.000000
591,-3.498161,-1.060293,4.080807,4.080807,3.274193,1.000000,4.000000
592,-1.257960,-0.857026,4.080807,4.080807,0.567769,1.000000,4.000000
593,-2.030694,2.432603,4.080807,4.080807,2.460610,1.000000,4.000000
594,0.037344,-0.276974,4.080807,4.080807,0.019141,1.000000,4.000000
595,-1.611675,-2.369014,4.080807,4.080807,2.011789,1.000000,4.000000
596,-1.429692,0.714075,4.080807,4.080807,0.625837,1.000000,4.000000
597,3.461393,1.591583,4.080807,4.080807,3.556743,1.000000,4.000000
598,0.368014,-0.179428,4.080807,4.080807,0.041077,1.000000,4.000000
599,0.824214,5.023718,4.080807,4.080807,6.350968,1.000000,4.000000
