k,x,y,vx,vy
0,1.293450,-2.403769,0.010346,-0.019227
1,-0.241764,-0.900442,-0.090831,0.079860
2,-0.110685,-1.256620,-0.067854,0.018001
3,0.474617,-0.540067,0.123765,0.251929
4,0.322209,-0.126467,0.042868,0.465326
5,0.295425,0.338227,0.022070,0.807964
6,0.637770,0.347114,0.366263,0.800642
7,0.552616,0.193310,0.248534,0.584462
8,0.163156,0.128507,-0.358332,0.466771
9,-0.137045,0.063856,-0.883254,0.334237
10,-0.322410,-0.357987,-1.222232,-0.531959
11,-0.211282,-0.667076,-0.921051,-1.194981
12,-0.028638,-0.460812,-0.440878,-0.645316
13,-0.003284,-0.477461,-0.354760,-0.654749
14,-0.266270,-0.685438,-1.024919,-1.165129
15,0.318140,-0.795430,0.600657,-1.398090
16,0.369566,-0.838537,0.708216,-1.439423
17,0.396109,-0.429885,0.742235,-0.237254
18,-0.085776,-0.437202,-0.623128,-0.244324
19,0.178679,-0.258088,0.134034,0.258778
20,0.419631,-0.195570,0.779282,0.414066
21,0.247048,-0.253301,0.276335,0.237623
22,0.061304,-0.309412,-0.226890,0.077493
23,0.116356,-0.619502,-0.072896,-0.727863
24,-0.193341,-0.762309,-0.854044,-1.052876
25,-0.347451,-1.150660,-1.194163,-1.964534
26,-0.414301,-0.910331,-1.298520,-1.285397
27,-0.038565,-0.711393,-0.344452,-0.751855
28,0.079693,-0.739903,-0.053935,-0.783132
29,0.208150,-0.449501,0.239891,-0.088880
30,0.194791,-0.542851,0.199655,-0.291813
31,0.311091,-0.321978,0.442791,0.198996
32,0.446235,-0.246681,0.709892,0.349833
33,0.417198,-0.076297,0.620548,0.687468
34,0.624051,-0.078192,1.013196,0.655877
35,0.640061,-0.023639,1.004798,0.737658
36,0.669595,0.137992,1.023010,1.021059
37,0.494814,0.313844,0.654630,1.314326
38,0.499655,0.480865,0.639402,1.574057
39,0.387792,0.225607,0.414317,1.056289
40,0.679453,0.257581,0.915120,1.075459
41,0.889059,0.351880,1.246114,1.201400
42,1.019152,0.464566,1.424318,1.351625
43,1.233799,0.588451,1.733330,1.512393
44,1.524819,0.529622,2.150321,1.367498
45,1.696457,0.565772,2.355427,1.381530
46,1.844787,0.342220,2.513688,0.988801
47,1.959128,0.604869,2.611942,1.361272
48,1.927316,0.578610,2.485469,1.280792
49,2.198132,0.637755,2.812007,1.330309
50,2.119684,0.455495,2.616724,1.027475
51,2.210057,0.613476,2.670885,1.223159
52,2.155910,0.604380,2.520434,1.176220
53,2.050432,0.503976,2.306186,1.005895
54,1.973805,0.462881,2.140367,0.923206
55,1.930152,0.454626,2.025541,0.887720
56,1.827636,0.591245,1.838740,1.042964
57,1.968564,0.574001,1.972548,0.994012
58,1.887688,0.684173,1.820447,1.108147
59,2.058775,0.624283,1.987993,1.006068
60,2.199811,0.606214,2.112021,0.959298
61,2.148619,0.932410,1.999356,1.329504
62,2.040356,0.983250,1.823294,1.358304
63,1.973704,1.154585,1.702655,1.526968
64,1.899700,1.030836,1.578094,1.349114
65,1.855232,1.217189,1.491719,1.530170
66,1.821923,1.243214,1.421007,1.525042
67,1.812413,1.148828,1.379125,1.387148
68,1.670425,0.973962,1.194484,1.166532
69,1.508428,0.932032,0.994836,1.096440
70,1.537011,0.954677,1.004040,1.097199
71,1.591107,0.805112,1.039605,0.917876
72,1.746089,1.028191,1.178076,1.129129
73,1.685795,0.867071,1.092659,0.942006
74,1.574017,0.901065,0.958268,0.957246
75,1.537640,1.006093,0.903108,1.042537
76,1.493382,0.973726,0.841982,0.990338
77,1.351518,0.942163,0.688212,0.940565
78,1.404335,0.840178,0.725597,0.824929
79,1.617276,0.923365,0.913302,0.888013
80,1.662350,1.172406,0.938365,1.104242
81,1.724654,0.944210,0.978600,0.872943
82,1.648820,1.170924,0.891431,1.064132
83,1.742897,1.130549,0.960316,1.008428
84,1.605234,1.184811,0.820161,1.038889
85,1.561903,1.265028,0.767373,1.091417
86,1.729013,1.287426,0.900047,1.091915
87,1.702995,1.109834,0.861972,0.919418
88,1.861286,1.266238,0.982698,1.037545
89,1.833087,1.411898,0.942163,1.143352
90,1.929444,1.437318,1.007155,1.145493
91,1.849992,1.464943,0.924488,1.149406
92,1.994339,1.530752,1.027918,1.184596
93,2.005313,1.535634,1.020118,1.169290
94,1.855311,1.532615,0.882785,1.148009
