k,zx,zy,valid
0,1.500369,-2.788310,1
1,-2.020183,0.841248,1
2,0.174770,-2.025111,1
3,2.303014,1.692038,1
4,-0.304631,1.527057,1
5,0.159432,2.578659,1
6,2.591634,0.305553,1
7,-0.040601,-0.895983,1
8,-2.600999,-0.407549,1
9,-2.332034,-0.490343,1
10,-1.641463,-3.728582,1
11,0.892612,-3.097195,1
12,1.647328,1.457704,1
13,0.285836,-0.509130,1
14,-2.450313,-2.348763,1
15,5.504332,-1.538662,1
16,0.708097,-0.968626,1
17,0.502480,3.329147,1
18,-4.354444,-0.459304,1
19,2.559162,1.323641,1
20,2.470184,0.297923,1
21,-1.375966,-0.822684,1
22,-1.594352,-0.836252,1
23,0.634738,-3.330543,1
24,-2.892020,-1.885152,1
25,-1.556551,-4.391541,1
26,-0.796895,1.579529,1
27,3.575567,1.309735,1
28,1.218597,-0.862517,1
29,1.401752,2.370733,1
30,0.025245,-1.397970,1
31,1.374719,1.825128,1
32,1.660074,0.438798,1
33,-0.004786,1.518399,1
34,2.552116,-0.233318,1
35,0.597182,0.393950,1
36,0.766301,1.642895,1
37,-1.539504,1.933364,1
38,0.412203,1.972382,1
39,-0.956111,-2.865806,1
40,3.787723,0.376563,1
41,3.024032,1.164226,1
42,2.213377,1.471285,1
43,3.384585,1.707431,1
44,4.538188,-0.517456,1
45,3.234763,0.671016,1
46,3.076223,-2.713610,1
47,2.751959,3.610417,1
48,0.869413,-0.094575,1
49,5.028277,1.066924,1
50,0.366685,-2.262965,1
51,2.713398,2.432039,1
52,0.709027,0.152971,1
53,-0.080795,-1.190327,1
54,0.268387,-0.387567,1
55,0.709655,0.077448,1
56,-0.223459,2.295836,1
57,3.485653,0.018990,1
58,0.107776,2.019802,1
59,4.081597,-0.608136,1
60,3.744069,0.023887,1
61,0.702557,5.684013,1
62,-0.288189,1.364147,1
63,0.330270,3.452258,1
64,0.152571,-1.463797,1
65,0.608310,3.830939,1
66,0.771683,1.167061,1
67,1.172684,-0.957466,1
68,-1.229046,-2.490439,1
69,-1.713499,-0.199114,1
70,1.689600,0.967266,1
71,2.196624,-2.247999,1
72,4.166370,4.720600,1
73,0.153643,-2.489419,1
74,-0.899054,1.181512,1
75,0.496648,2.615739,1
76,0.310674,-0.036246,1
77,-1.697803,-0.044857,1
78,2.163913,-1.509317,1
79,5.523604,2.236214,1
80,2.196426,5.780107,1
81,2.602311,-4.101184,1
82,-0.297024,5.438761,1
83,3.316026,-0.141562,1
84,-1.668331,1.896277,1
85,0.301255,2.519472,1
86,4.967755,1.299578,1
87,0.753182,-3.193297,1
88,4.938085,4.276801,1
89,0.777961,4.166082,1
90,3.656872,1.494209,1
91,-0.393019,1.571123,1
92,4.858460,2.505217,1
93,1.784933,1.103163,1
94,-2.102738,0.919293,1
95,3.332377,1.803482,1
96,2.330696,3.297381,1
97,1.283084,3.125573,1
98,4.076811,0.186121,1
99,3.067589,4.557743,1
100,4.254888,0.790333,1
101,0.929414,1.262112,1
102,5.008011,-0.354253,1
103,4.538233,2.718704,1
104,-0.374664,0.277090,1
105,7.463946,2.711700,1
106,7.336095,1.991825,1
