k,zx,zy,valid
0,-0.319238,0.225771,1
1,-0.707843,0.151187,1
2,-0.147468,1.898238,1
3,-0.051242,3.000469,1
4,-2.706103,-0.320475,1
5,0.808213,2.536920,1
6,2.294372,3.184393,1
7,-1.193213,0.775815,1
8,2.033342,-1.170099,1
9,1.396217,2.345141,1
10,-0.849768,5.390177,1
11,-2.372819,-0.350476,1
12,-0.431487,0.726325,1
13,-1.905012,-3.449751,1
14,4.108390,-6.074172,1
15,1.401488,-1.477798,1
16,2.265525,-0.943869,1
17,-1.136235,-0.670813,1
18,-0.842367,-1.511277,1
19,0.485746,3.553144,1
20,-2.020900,0.549804,1
21,-0.987073,0.159756,1
22,0.950471,-1.411305,1
23,4.098561,0.129775,1
24,1.133494,-0.794637,1
25,-1.229380,2.176910,1
26,2.707356,-1.723046,1
27,-0.691440,2.647990,1
28,-0.706406,-0.808111,1
29,-1.395440,-3.250138,1
30,1.077939,2.871633,1
31,-0.016566,-3.174015,1
32,-5.368698,3.042098,1
33,2.841604,1.208605,1
34,-0.422631,1.803906,1
35,0.571072,-2.810855,1
36,-0.813699,-0.760558,1
37,-0.789563,-0.039880,1
38,0.970270,0.499250,1
39,1.153690,-2.105649,1
40,-0.509381,-2.884541,1
41,1.817396,0.585744,1
42,0.377025,0.058644,1
43,4.331360,1.721417,1
44,3.441596,1.514811,1
45,1.236090,0.262049,1
46,0.694445,0.103640,1
47,-1.343094,-3.363247,1
48,3.374162,0.586274,1
49,2.972255,0.845036,1
50,-1.414767,2.136807,1
51,3.902264,0.524185,1
52,0.326779,1.924993,1
53,3.293832,0.092860,1
54,0.670834,2.605942,1
55,-2.749875,-1.175503,1
56,0.802905,3.232647,1
57,1.794826,2.641974,1
58,2.455398,4.397774,1
59,-1.355023,-1.042638,1
60,3.202994,1.167156,1
61,3.943863,-1.008143,1
62,-1.024510,0.840542,1
63,3.888040,0.908249,1
64,-0.354816,0.139918,1
65,4.326789,-0.402312,1
66,3.023768,3.754493,1
67,2.577544,0.171166,1
68,0.918731,-1.415236,1
69,1.340033,1.543596,1
70,-1.792996,1.124271,1
71,-1.091013,0.034725,1
72,-1.059036,3.292877,1
73,4.534880,-0.341414,1
74,-2.793410,-2.052936,1
75,1.250515,-0.017338,1
76,-0.576521,1.548682,1
77,-1.173033,1.439347,1
78,-0.105571,2.267746,1
79,-0.063851,-1.009991,1
80,2.534046,0.689311,1
81,-2.228942,2.767884,1
82,2.225326,3.348950,1
83,-0.670380,0.351225,1
84,2.359638,-0.611937,1
85,0.716595,-1.008130,1
86,1.568688,1.479884,1
87,-1.289058,0.599707,1
88,-0.958524,0.586306,1
89,3.011363,1.380851,1
90,3.046169,1.805422,1
91,1.092774,1.292647,1
92,0.587704,1.122701,1
93,5.129186,-0.022291,1
94,0.351345,-2.081591,1
95,2.368197,0.499297,1
96,4.112718,-2.563700,1
97,-4.303750,1.601823,1
98,-1.341247,0.081751,1
99,0.216081,2.392055,1
100,3.352374,-0.138755,1
101,-0.580418,-0.498739,1
102,2.840573,2.164923,1
103,5.044136,-0.207113,1
104,5.710930,-0.677551,1
105,3.205933,2.044463,1
106,3.852065,2.753797,1
107,2.564095,3.467785,1
108,2.573917,0.013931,1
109,5.104789,-0.752684,1
